text,label
"cf invokes cfe_msg_init with size of <number> <section> the 3 rd parameter of <code> is supposed to indicate the actual size of the structure / buffer being initialized . in general , this must be _at least_ the size of the primary header in order to be valid . cf ( at first ) passes this as <number> , then overwrites this with the real size later on . the problem is , a size of <number> is totally invalid , and to be correct , <code> should not be writing any values into a structure that is smaller than the size of a primary header , as this is an error . writing any value into a struct of size <number> is a write - beyond - bounds error , and thus the fact that the default cfe_msg_init ( ) even allows this is a bug . <section> run cf with a proper implementation of <code> - i . e . one that verifies the size is valid . when passed a size of <number> , none of the header fields will be set ( correct behavior ) . this results in the buffer being in an indeterminate state , and the msgid will not be set . <section> the msgid needs to be set by the call to <code> <section> <url> <section> joseph hickey , vantage systems , inc .",0
"fix # <number> , update minor out - of - family naming / consistency issues in cf <section> - fixes # <number> - add event for <code> failure during initialization ( and created a new matching <allcaps> eid </allcaps> : <code> ) - in <code> : use <code> instead of <code> and use the <code> conversion macro - cf was the only app remaining to use <code> - add <code> at the beginning of the initialization routine to zero - out the global data structure ( defensive programming , and for consistency - almost all of the cfs modules / apps do this ) - remove check of the return value of <code> reporting initialization success - this is very out - of - family for cfs and also inconsistent - cf does not check the return value of any other calls to <code> - remove null check in <code> after successful call to <code> - out - of - family with cfs and also redundant ( <code> with a successful return guarantees the returned pointer to be non - <code> ) minor changes : - comment in <code> noted incorrect parameter cannot be <code> - corrected this - rename <code> to <code> - rename <code> to <code> - rename <code> to <code> - rename software bus command pipe message pointer variables from <code> to <code> - rename <code> to <code> - move ' cmd ' to end of command function names ( e . g . <code> changed to <code> ) - rename <code> to <code> - more clear and specific , and in line with vast majority of cfs incl . cfe - rename <code> to <code> <section> cf does not verify length for non - command mids received in the app pipe ( <code> and <code> ) - it would be worthwhile to rectify this at some point . cfe and the other apps are generally inconsistent on this - some do not check non - command mids , some use a single verifylength function to check all mids arriving , some use separate verifylength functions for command and non - command mids . <repeated> <section> github ci actions all passing successfully ( incl . build + run , unit / functional tests etc . ) . <section> minor changes as noted above , no significant changes to behavior . aligning aberrant naming to the predominant patterns in cfs improves usability and eases future maintenance . <section> avi weiss <user>",2
"some minor out - of - family naming / consistency issues in cf could be updated <section> cf is the only app to still use <code> to timestamp the hk packet , rather than <code> : <url> no <code> to zero - out the global data structure upon initialization . cf checks the return value of the call to <code> at the end of a successful initialization - not incorrect but unnecessary . returns from <code> are only checked a handful of times across cfs out of several thousand instances . also , cf does not check returns from this function anywhere else in the source code . <url> in <code> , there is a check for <code> _and_ for a null pointer of the buffer passed in to <code> - this is guaranteed by <code> to not be possible and is therefore unnecessary . cfe and almost all other apps do not do this . <url> some other naming inconsistencies that could be updated to match standard cfs patterns such as common variables and function / command names also exist . <section> align with cfs where appropriate - consistency makes maintenance easier , and improves usability for consumers of cfs and the open - source apps . <section> avi weiss <user>",2
"cf draco rc4 : many fiile uploads caus cf to hang or have "" gap errors "" * [x ] i performed a cursory search to see if the bug report is relevant , not redundant , nor in conflict with other tickets . <section> on <allcaps> rst wfi fsw </allcaps> , when uploading many files ( <number> - <number> files ) , the cf application either stops responding ang hangs or it responds with ' gap errors ' . this is most easily seen when uploading a large number of table files . on <allcaps> rst wfi fsw </allcaps> , this bug can be tracked under <url> <section> this bug was originally seen by the <allcaps> wfi </allcaps> simulator team when trying to upload large numbers of <allcaps> ald </allcaps> files to the <allcaps> wfi fsw </allcaps> . this bug was reproduced in the <allcaps> wfi fsw </allcaps> lab <allcaps> cots </allcaps> gr740 string by uploading <number> to <number> sets of <number> table files . from <allcaps> wfi </allcaps> - <number> : "" the script wfif_fgs_table_dump_and_load_test . prc dumps and reloads all <allcaps> fgs </allcaps> tables ( <number> ) total in sequence . once in a while the script will hang because a table was not able to upload . <allcaps> cfdp </allcaps> page will sometimes show a "" gap "" error . "" <section> the cf application should be able to handle "" large "" numbers of file uploads without hanging or producing errors . <section> - roman <allcaps> rst wpc </allcaps> , and leon4 gr740 <allcaps> cots </allcaps> - <allcaps> rtems </allcaps> <number> - cf draco rc4 ( and draco rc2 ) , <allcaps> wfi fsw </allcaps> <number> <section> add any other context about the problem here . <section> nicholas yanchik , <allcaps> nasa </allcaps> goddard space flight center , <allcaps> wfi fsw pdl </allcaps> <email>",0
"support polling with no delay <section> polling has a timer that does not support zero delay , limiting performance : <url> <url> <url> <section> there ' s already a channel enable , no need to use interval to disable the channel . update to support <number> delay to maximize throughput when using the polling directory . <section> none <section> i can not say i really understand why <number> timeout wasn ' t supported to begin with . if anyone knows i ' d be interested to hear it . in rate constrained situations unnecessary delays on file transfers are a big impact . sending small files on a fast link could waste significant bandwidth by waiting a second between polling . <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps>",2
"silence logic around error event broken on semaphore timeout <section> if the semaphore times out there ' s no attempt to allocate a buffer . if a buffer is not allocated and silent is false , an error event is sent claiming there was no buffer available . <url> this silent logic does not make any sense to me , since it ' s passed in as <number> from all the non - file data pdus but <number> for data . if it was intended for the allocate buffer why only non - data pdus ? i doubt it was ever intended for the semaphore timeout . <section> i saw it when waiting for the semaphore to send an eof <allcaps> pdu </allcaps> . could probably see it on the metadata send , but i initialize w / a nonzero sem count . <section> no event on semaphore timeout , this is nominal behavior for flow control . <allcaps> tbh i </allcaps> ' m not a huge fan of a possible flooding event on the failure to get a buffer . i ' d rather see a combined approach of a counter and probably a single event sent at the maximum rate of each hk cycle only when the counter increments . <section> see above . <section> ubuntu <number> <section> none <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps>",0
"fix # <number> , remove local error return codes in cf_validateconfigtable ( ) <section> - fixes # <number> - removed the local error return codes and replaced with one of the new <allcaps> cfe </allcaps> macros indicating validation failure . <section> github ci actions all passing successfully . <section> <code> will now return a relevant error code that is intelligible to outside functions , if they want to take action on it . the function is noticeably simpler / cleaner now . <section> avi weiss <user>",2
"decoding segments using incorrect macro ( cf_pdu_max_tlv ) <section> while checking out the most recent version of the cf repository to test with a custom file sending application , i ran into this line while trying to figure out why <allcaps> nak </allcaps> ' s were acting strangely : <url> should not it look moreso like this ? there are other lines referencing the <code> macro , but those compare against the <code> struct member . when i modified it to this in my instance of cfs , all <allcaps> cfdp </allcaps> functions worked as expected : <code>",0
"add option for padding bytes / trailer at end of <allcaps> cf pdu </allcaps> <section> some deployment scenarios for cf may require some extra platform - specific trailing data to be appended to the end of the pdus , for example a custom <allcaps> crc </allcaps> or error check / correction code . <section> to facilitate this , cf should offer an option to add extra padding bytes to the end of the <allcaps> pdu </allcaps> so that the platform may fill these bytes with the desired trailing data . <section> joseph hickey , vantage systems , inc .",2
cf backwards compatibility it possible to simply update cf app ( <number> . 4 xx ) and have that new version of cf be backwards compatible with all the other apps <allcaps> cfe </allcaps> etc ?,3
