text,label
"fix # <number> , update command code underscores for consistency testing performed * * github ci actions all passing successfully ( incl . unit tests and build + run ) . <section> no change to behavior . improved consistency and clarity . <section> avi weiss <user>",2
"fix # <number> , convert <code> return codes and variables to <code> testing performed * * github ci actions all passing successfully . <section> no change to behavior ( no types have actually changed with this pr ) . <code> is more expressive and improves consistency with cfe / cfs . <section> avi weiss <user>",2
cs <code> return codes and variables should be converted to <code> expected behavior * * use the more expressive <code> and improve consistency with cfs . <section> avi weiss <user>,2
"fix # <number> , move function prototypes out of <code> testing performed * * github ci actions all passing successfully . <section> no change to app behavior . cs now more consistent with the other cfs apps . <section> avi weiss <user>",2
"function prototypes can be moved out of <code> expected behavior * * unless these are specifically being kept private , it seems better to keep cs consistent with the other apps and move these to the header file . <section> avi weiss <user>",2
"all <allcaps> cmd </allcaps> / <allcaps> tlm </allcaps> messages should put content in a "" payload "" sub - structure to match the patterns used in <allcaps> cfe </allcaps> and other modules , all <allcaps> cmd </allcaps> / <allcaps> tlm </allcaps> message definitions should put the content ( non - header ) parts into a separate struct called "" payload "" . <section> separate message content into a sub structure called "" payload "" . <section> this is benefit to tooling that can use the presence of this field to identify where the actual content starts ( e . g . something like <code> would work and be correct , as opposed to checking <code> which may not actually reflect where the content starts due to possible compiler - added padding between them ) . <section> joseph hickey , vantage systems , inc .",2
"incorrect size passed to "" strncmp "" the size passed to <code> here is not correct : <url> the <code> string being compared here is sized on <code> , not <code> , as declared here : <url> <section> build with <allcaps> gcc </allcaps> <number> and full warnings enabled , this is reported . <section> use <code> to avoid this possibility <section> debian <section> joseph hickey , vantage systems , inc .",0
"fix # <number> , adds null termination to table name processing - fixes # <number> <section> make build and lcov <section> no impact to behavior <section> - os : ubuntu <number> <section> n / a <section> n / a <section> justin figueroa , vantage systems",2
"cs_tableinit - cyclomatic complexity of <number> <allcaps> nasa </allcaps> guidelines in <allcaps> npr </allcaps> <number> . 2 d recommends maintaining a cyclomatic complexity in software , in particular flight software of <number> . cs_table_processing . c : : cs_tableinit <url> unnecessarily violates the recommendation with a cyclomatic complexity of <number> . <section> clean up cs_tableinit such that it has a cyclomatic complexity of <number> or less . <section> justin figueroa , vantage systems",2
"cs_processnewtablesdefinitiontable - cyclomatic complexity of <number> <allcaps> nasa </allcaps> guidelines in <allcaps> npr </allcaps> <number> . 2 d recommends maintaining a cyclomatic complexity in software , in particular flight software of <number> . cs_table_processing . c : : cs_processnewtablesdefinitiontable <url> unnecessarily violates the recommendation with a cyclomatic complexity of <number> . <section> clean up cs_processnewtablesdefinitiontable such that it has a cyclomatic complexity of <number> or less . <section> justin figueroa , vantage systems",2
"improper null termination of table names it is not guaranteed that the source or destination arguments of <code> for table entry names assure null - termination . many standard functions such as strcpy , strlen , strcmp among others rely on arrays of characters to be null terminated . <section> <code> <url> alternatively considered : fm strncpy approach <url> however , this approach will not necessarily handle non - terminated sources properly . <section> <url> <url> <section> imported from <allcaps> jsc </allcaps> static analysis audit <section> the source table data was loaded via <code> so yes it came from a file which should be considered "" untrusted input "" . therefore , there is no guarantee that defentry - > name ( the source here ) is null - terminated . however , the current implementation is relying on the assumption that the source and dest are the same length , and thus the function will not read more than it writes , so it ' s safe - ish . <section> justin figueroa , vantage systems",2
"table processing : strncmp incorrect size argument ( cfe_tbl_max_full_name_len ) while compiling the latest version of cs , my build environment gave me the following error : <code> <section> the bug relates to this line : <url> based on checking the types for both table entries ( <code> ) , it seems that it would make sense to instead do the strncmp like so : <code> after changing to this locally , my build works fine .",0
