text,label
update ci pipeline to use github actions the existing travis ci pipeline is out of date and no longer functional . we should migrate to using github actions to get the pipeline working again .,0
"support for multiple user - defined commands the current way the <allcaps> eci </allcaps> handles commands by using the eci_cmd_mid does not support any more than <number> custom command . this problem has to do with the limitation that when declaring the buffer / object to store the received command data , the <allcaps> eci </allcaps> can not determine which object to use by only using the eci_cmd_mid . in particular , the problem can be isolated to the behavior for non - eci_cmd_mid values in the default of the switch statement processing commands <url> <code> rcv_msg ` function , the same checks for the length and updates to the cmderrorcounter still happen so no other changes should be needed .",0
"broken links to example code in documentation at some point the links to the example code have been broken and now appear empty . this problem , on first glance , only seems to affect the <code> file referenced for the creating eci interface <url> but we should probably check to make sure this did not affect anything else .",0
<number> fix <allcaps> cds </allcaps> implementation * update name of <allcaps> cds </allcaps> table in <allcaps> eci </allcaps> code ( expected to be provided by eci_interface . h ) * add <allcaps> cds </allcaps> table to example as test case * fix undeclared status variable in <allcaps> cds </allcaps> handling * update spec to reflect new <allcaps> cds </allcaps> variable name,0
"fix <code> undefined the <allcaps> sil </allcaps> is currently in the process of implementing the <allcaps> eci </allcaps> ' s <allcaps> cds </allcaps> interface and currently cannot compile with <allcaps> eci </allcaps> because it does not define <code> , which is the structure <allcaps> eci </allcaps> expects to contain the definition of the <allcaps> cds </allcaps> elements . it defines that structure as <code> . normally the <allcaps> sil </allcaps> would need to align with <allcaps> eci </allcaps> definitions , however , the <allcaps> sil </allcaps> ' s name is better ( does not look like a macro , is clear that its a table ) , and so in this case the <allcaps> eci </allcaps> should be updated . i do not believe there are currently any test cases using <allcaps> cds </allcaps> in the <allcaps> eci </allcaps> repo , so this update should only require modification to the <allcaps> eci </allcaps> source code .",0
"fix <code> undefined <code> includes all <allcaps> eci </allcaps> header files after including <code> because some defines in <code> influence the code implemented in <code> . this is intended , however , <code> used <code> ( defined in <code> ) if commands are defined , which causes compilation to fail . need to update include order . also need to ensure an test suite includes and example of an app with a command to catch this in the future .",0
"add check for command <allcaps> apid </allcaps> when command queue defined the segfault in issue # <number> was caused by specifying a command <allcaps> mid </allcaps> with a message not defined as a command ( and which thus had no queue defined for it ) . the <allcaps> eci </allcaps> code blindly attempted to utilize the queue which did not exist , causing the segfault . during the course of resolving that issue it was determined that a check can be done here <url> to confirm the that there ' s a queue allocated if the <allcaps> mid </allcaps> indicates the message is a command . that check would look something like if <code> , issue an error event message warning the user about a misconfiguration , and either * skip the configuration of the queue for that message ( if we can establish that the app will still work without it ) * exit the app , if its going to be too broken to function work needs to be done to determine the correct course of action and implement this check .",2
"add support for custom <allcaps> ccsds </allcaps> commands through the <allcaps> eci </allcaps> header it ' s been a commonly requested internal feature to add support for custom commands as part of the <allcaps> eci </allcaps> . currently , the only commands supported are housekeeping and noop but these are standard across apps . this feature should not impact the performance of any other parts of the <allcaps> eci </allcaps> and can be included as part of the eci_interface header file . the structure exposed should look like : <code> where function code is a <number> byte value to identify the command and the function pointer is a c style function pointer to the function to execute once the command is received . to reduce the boiler plate code needed to be written , we also include an extra field containing the structure to fill with command information . more information on the <allcaps> ccsds </allcaps> packet protocol can be found here <url> under section <number> . <number> : "" packet secondary header "" . the <allcaps> cfs </allcaps> uses only the ancillary field of the secondary packet header and the relevant portion for this issue will be 0x 7 f00 > > <number> defined as the function code of the command message .",2
"add a tutorial on how to build the docs locally even though the new documentation automatically gets pushed into github pages , we still need instructions to build locally .",1
alter the sample app compiler flag to satisfy the cfs - groundsystem the latest commit of the cfs - groundsystem includes glibc specific features specifically the inclusion of the <code> . the addrinfo struct definition is only exposed in gcc when passed a gnu compliant standard ( the current test cmake definition uses <code> ) . more information on the topic of c standard compliance vs the <allcaps> gnu </allcaps> libraries can be found on this stack overflow post : <url>,0
