text,label
"fix # <number> , removes extraneous boolean logic in concat command <section> - fixes # <number> - removes boolean logic tracking file status which results in reduction of cyclomatic complexity to <number> from <number> by bundling logic in one single nested if / else according to file status . <section> - lcov - build - cert_testbed cfe_evs_concatfilescmd . json functional test successful <section> no impact to behavior <section> - os : ubuntu <number> <section> could be argued that the concat function is more readable as - is , but this way , the <allcaps> nasa </allcaps> recommendation of <number> max cyclomatic complexity per function is satisfied . <section> n / a <section> justin figueroa , vantage systems",2
"split header files into external and internal components <section> configuration and header files for this app currently have mixed scope - some items apply globally ( mission ) and some only affect the internal app behavior . <section> split headers into single scope , so they contain only public / global items ( i . e . those that affect <allcaps> cmd </allcaps> / <allcaps> tlm </allcaps> / table definitions ) or they contain private / internal items . the latter would be things that are only used within the local application code and do not affect the interface . <section> similar to nasa / hs # <number> . this helps stabilize the interface , so configuration items that do change the interface are clearly marked in a separate file and the user is more aware of the impact the changes will have . it ' s also important for <allcaps> eds </allcaps> , where some of these files are generated - keeping a single scope allows for simple source selection vs . <code> s . <section> joseph hickey , vantage systems , inc .",2
"fix # <number> , convert <code> return codes and variables to <code> <section> - fixes # <number> - most <code> return codes converted over to <code> - <code> <code> / <code> variables holding cfe return codes converted to <code> <section> github ci actions all passing successfully . <section> no change to behavior . <code> is more expressive and improves consistency with cfe / cfs . <section> avi weiss <user>",2
fm <code> return codes and variables should be converted to <code> <section> fm has quite a few return codes ( as well as local <code> / <code> variables which hold <allcaps> cfe </allcaps> return codes ) that can be easily converted over to the <code> typedef . <section> use the more expressive <code> and improve consistency with cfs . <section> avi weiss <user>,2
"fm_childconcatcmd - cyclomatic complexity of <number> * x ] i reviewed the [ contributing guide <url> . * x ] i reviewed the [ <allcaps> readme </allcaps> file <url> to see if the feature is in the major future work . * [x ] i performed a cursory search to see if the feature request is relevant , not redundant , nor in conflict with other tickets . <section> <allcaps> nasa </allcaps> guidelines in <allcaps> npr </allcaps> <number> . 2 d recommends maintaining a cyclomatic complexity in software , in particular flight software of <number> . fm_app . c : : fm_childconcatcmd unnecessarily violates the recommendation with a cyclomatic complexity of <number> . <section> clean up fm_childconcatcmd such that it has a cyclomatic complexity of <number> or less . <section> dan knutsen <allcaps> nasa </allcaps> goddard",2
"use generated stubs for all internal functions <section> fm divides its coverage test into separate units and uses stubs for all units other than the unit under test . however , this appears to be a mixture of hand - written and some generated stubs , and the hand written stubs can diverge from the implementation . <section> re - run the ut assert generate stubs script and use the generated stubs only . <section> this makes the ut stubs easier to maintain - any time a header file changes , just re - run the tool and re - commit the stubs . it is best not to modify the generated stub in any way , if it can be avoided . <section> joseph hickey , vantage systems , inc .",2
"internal <allcaps> api </allcaps> calls are not const - correct ( possible race condition ) <section> functions that accept a pointer as an input only , and do not modify that structure , should be qualified as <code> . in particular , this is true of the software bus messages - these could be distributed to multiple subscribers , and these must not be modified by receivers or else race conditions are introduced . there is at least one case of fm where the buffer is modified . this should be corrected along with adding <code> to all messages . <section> possible race condition if multiple entities subscribe to the same message ( config - dependent ) <section> should not modify input . non - modified input structs should be <code> in the declarations . <section> possible case of input buffer getting modified is here : <url> <section> n / a <section> pretty much most / all of the functions in <code> should accept <code> string inputs . <section> joseph hickey , vantage systems , inc .",0
"move "" fm_globaldata "" back into private / local data structures <section> the <code> object is only used within the fm app for private data storage . it should not be visible externally . however , it is currently defined here in the public <code> file : <url> <section> this should be defined in one of the internal header files , not in a public interface file . <section> public <allcaps> api </allcaps> should generally only be constants / <code> ' s , and typedefs . <allcaps> api </allcaps> calls only for libraries - apps do not have public <allcaps> api </allcaps> calls . extern data structs / globals should not be exposed in either apps or libs for a variety of reasons . <section> joseph hickey , vantage systems , inc .",2
"all <allcaps> cmd </allcaps> / <allcaps> tlm </allcaps> message should put content in a "" payload "" sub - structure <section> to match the patterns used in <allcaps> cfe </allcaps> and other modules , all <allcaps> cmd </allcaps> / <allcaps> tlm </allcaps> message definitions should put the content ( non - header ) parts into a separate struct called "" payload "" . <section> separate message content into a sub structure called "" payload "" . <section> this is benefit to tooling that can use the presence of this field to identify where the actual content starts ( e . g . something like <code> would work and be correct , as opposed to checking <code> which may not actually reflect where the content starts due to possible compiler - added padding between them ) . <section> joseph hickey , vantage systems , inc .",2
"inconsistent event id naming <section> copy of <url> after finding that there were <number> different event ids to indicate the same thing ( invalid message id ) in <url> i scrubbed the other common commands ( e . g . task initialisation [ <allcaps> init </allcaps> ] , <allcaps> noop </allcaps> , reset counters etc . ) and found the same issue there - almost every component / app had their own variation of the event id name for the exact same event . <section> apply consistent event id names to the events which are common to all / most components and apps . <section> invalid message id : <code> <code> <code> <code> <code> <code> <code> <code> <code> initialization : <code> <code> <code> <code> <code> <code> <code> <allcaps> noop </allcaps> : <code> <code> <code> <code> <code> <code> reset counters : <code> <code> <code> <code> <code> <code> <code> <code> <code> <code> <code> etc . <section> avi weiss <user>",2
