text,label
"use generated stubs hk unit testing currently uses a set of stubs for its internal units that are not generated by the tool <section> use the generated stubs directly whenever possible , as this makes future maintenance easier - when an <allcaps> api </allcaps> changes , just re - run the generator tool to update the stubs . <section> this requires some additional separation of items - global variable stubs should be in a separate compilation unit , as the tool does not generate these . <section> joseph hickey , vantage systems , inc .",2
"uninitialized variable in unit tests compiling the latest hk app with the latest <allcaps> gcc </allcaps> version ( <number> . x) produces a warning about uninitialized variable in the unit test : <code> <section> add hk to latest <allcaps> cfs </allcaps> bundle , build using default config . <section> should build cleanly <section> debian ( latest version , with <allcaps> gcc </allcaps> <number> ) <section> joseph hickey , vantage systems , inc .",0
simplify hk_sendcombinedhkcmd and remove stray printfs unnecessary variable : <url> stray printfs ( leftover debugging ? <sad> <url> <url> <section> clean / remove . <section> none <section> none <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps>,2
"fix # <number> , updates <allcaps> cla </allcaps> information for apache <number> deletes old hk clas , removes language in contributing . md of app - specific <allcaps> cla </allcaps> , adds link to new clas in pull_request_template . md and contributing . md - fixes # <number> - fixes <url> <section> visually inspected links in fork and in pr template . <section> all references to clas should be updated to the cfs app <allcaps> cla </allcaps> . <section> google chrome browser <section> none <section> justin figueroa , <allcaps> asrc </allcaps> federal",1
"update <allcaps> cla </allcaps> information have new clas given the change in <url> with the combined <allcaps> cla </allcaps> , <section> - [ ] update the instructions in each app ' s contributing . md - [ ] delete old <allcaps> cla </allcaps> pdfs - [ ] update pr and issue templates as needed <section> none <section> none <section> gerardo e . cruz - ortiz",1
remove cfe_psp_memset use for addresses in <allcaps> ram </allcaps> should just use memset / memcpy for addresses in <allcaps> ram </allcaps> . the <allcaps> psp </allcaps> functions serve no use in this context . <section> replace with memset / memcpy . <section> none <section> none <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps>,2
static analysis workflow style warnings style warnings in strict cppcheck static analysis workflow causing workflow failure : <code> <section> fix <section> none <section> none <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps>,2
apps should use cfe_msg_ptr macro instead of cast or local unwrapping apps typically cast to a cfe_msg_message_t or use * . msg . better to use abstracted cfe_msg_ptr . <allcaps> note </allcaps> - not backwards compatible with caelum so recommend not addressing in draco . imported from <allcaps> gsfccfs </allcaps> - <number>,2
hk count track times packet is not found in file hk_utils . c function hk_sendcombinedhkpacket recommendation : hk app hk packet could keep track of number of times packet is not found . hk_appdata . missingdatactr could be repurposed for this . finding from code review imported from <allcaps> gsfccfs </allcaps> - <number>,2
"mempoolhandle should be of type cfe_es_memhandle_t , not uint32 see <url> this causes hk to exit while running on a <number> bit platform , as an 8 byte pointer is written to this and overwrites the adjacent runstatus field .",0
