text,label
"updated <allcaps> mat </allcaps> table assumes "" commandheader "" first member name <section> depending on where the message definitions came from , and the type of <allcaps> hdr </allcaps> implementation used , the first element of a structure may or may not be named <code> . this is controlled by the specific msghdr implementation that was chosen . <section> build the <allcaps> mat </allcaps> using <allcaps> eds </allcaps> - generated structs - in these ( unfortunately ) there is an extra layer of nesting , so this fails . the first element still is ultimately a command header . <section> the <allcaps> tbl </allcaps> message definitions are defined by a combination of <allcaps> tbl </allcaps> itself and the <allcaps> msg hdr </allcaps> module selection . no assumptions in hs should be made about its structure . <section> <url> specifically the "" . commandheader "" part . <section> debian <section> should be able to just remove this part of the designated initializer . normally i would recommend use of designated initializers , but in this context it introduces a dependency / assumption that may not be correct . <section> joseph hickey , vantage systems , inc .",2
"fix # <number> , remove <code> - related macros <section> - fixes # <number> - removes the couple instances of the <code> - related macros which are being removed from cfe in <url> <section> github ci actions all passing successfully . <section> no change . <section> avi weiss <user>",2
"add <allcaps> eds </allcaps> file for hs application <section> an electronic data sheet ( <allcaps> eds </allcaps> ) file provides a standardized machine - readable <allcaps> xml </allcaps> description of the interfaces for an application . having this documented externally from the code allows many new features and capabilities . <section> every <allcaps> cfs </allcaps> app should include an <allcaps> eds </allcaps> file . <section> <allcaps> cfe </allcaps> core modules already have these files . <section> joseph hickey , vantage systems , inc .",2
"use generated stubs <section> hs unit testing currently uses a set of stubs for its internal units that are not generated by the tool <section> use the generated stubs directly whenever possible , as this makes future maintenance easier - when an <allcaps> api </allcaps> changes , just re - run the generator tool to update the stubs . <section> this requires some additional separation of items - global variable stubs should be in a separate compilation unit , as the tool does not generate these . <section> joseph hickey , vantage systems , inc .",2
"cppcheck unread variable errors in hs_monitor . c <section> cppcheck is currently reporting the following style issues : | severity | location | error id | issue | | - - - | - - - | - - - | - - - | | style | fsw / src / hs_monitors . c : <number> | unreadvariable | variable ' entryresult ' is assigned a value that is never used . | | style | fsw / src / hs_monitors . c : <number> | unreadvariable | variable ' resourcetype ' is assigned a value that is never used . | | style | fsw / src / hs_monitors . c : <number> | unreadvariable | variable ' nullterm ' is assigned a value that is never used . | <section> run cppcheck workflow <section> should run clean <section> github hosted runner <section> joseph hickey , vantage systems , inc .",0
"appmonstatusrefresh tests appear to check the wrong output <section> the <code> <allcaps> api </allcaps> call updates a field called <code> in the global data structure . declared here : <url> value is updated in the function here : <url> called from unit test here ( among others ) : <url> however - the unit tests then check the similarly - named field within the hk packet here : <url> note that this is _not the same member_ - - one is directly inside the global , the other is inside the hk packet . <section> test should verify the fields it was supposed to update . <section> note the tests is passing , this suggests the test might not be sufficient , because it is checking a different value than was set . the test conditions could have simply been written to pass without actually verifying expected output . <section> joseph hickey , vantage systems , inc .",0
"inconsistent event id naming <section> copy of <url> after finding that there were <number> different event ids to indicate the same thing ( invalid message id ) in <url> i scrubbed the other common commands ( e . g . task initialisation [ <allcaps> init </allcaps> ] , <allcaps> noop </allcaps> , reset counters etc . ) and found the same issue there - almost every component / app had their own variation of the event id name for the exact same event . <section> apply consistent event id names to the events which are common to all / most components and apps . <section> invalid message id : <code> <code> <code> <code> <code> <code> <code> <code> <code> initialization : <code> <code> <code> <code> <code> <code> <code> <allcaps> noop </allcaps> : <code> <code> <code> <code> <code> <code> reset counters : <code> <code> <code> <code> <code> <code> <code> <code> <code> <code> <code> etc . <section> avi weiss <user>",2
"use cfe_msg_cmd_hdr_init macro in message action table implementation <section> current raw buffer / command implementation in <allcaps> mat </allcaps> table is not portable across different endian systems and is somewhat challenging / messy to implement . <section> similar to nasa / sc # <number> , the message action table could use the <code> macro and real command types to simplify table implementation . suggestion : typedef a union that contains each of the message types in the table , then define the array w / the <allcaps> mat </allcaps> info and unioned element <code> <section> none <section> similar possible approach with <allcaps> sch </allcaps> <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps>",2
remove stray terminators <section> <url> <url> <section> remove <section> none <section> none <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps>,2
"hs_idletask has no cancellation point <section> the default <code> has no cancellation point , so hangs up on linux for cntrl - c . <section> add a cancellation point <section> none <section> none <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps> <user>",0
