text,label
"fix # <number> , refactor <code> to reduce <code> duplication testing performed * * github ci actions all passing successfully ( incl . build + run , unit / coverage tests etc . ) . <section> no change to behavior . <section> avi weiss <user>",2
"fix # <number> , refactor lc_tableinit to remove multiple returns testing performed * * github ci build + run , unit tests all passing successfully . <section> essentially no change to logic . previous early <code> exit points will now fail all the following tests for <code> and fall through to the end of the function , where <code> is returned . <section> avi weiss <user>",2
"buffer overflow in unit tests when using default config the unit test code sets the <code> member with a call to strncpy and a hardcoded size here : <url> however in the default platform config the size is only <number> : <url> <section> build and run using default / out - of - box config . <section> example configuration should not trigger buffer overflow <section> consider using <code> operator here , to adapt the <code> call to the real size of the target buffer . <section> joseph hickey , vantage systems , inc .",0
"lc "" isnan "" check relies on platform - defined behavior ( non - standard ) with floating point watchpoints , the watch point checking code looks for the ieee754 not - a - number ( nan ) value before doing other comparisons . however , the method used for checking this involves accessing the <code> value as a <code> , and checking the bits per ieee754 . this type of action is not standardized by the c language , and results of doing this are platform - defined . <section> n / a ( it does work as intended on most compilers , it is just not standard or portable "" by the book "" ) <section> should only rely on behavior that is specified by <allcaps> iso c </allcaps> . regarding nan , the c standard does guarantee that a nan is never equal to any other value , even itself . therefore , the generally recommended , portable way to check for nan is by checking that , e . g . : <code> <section> code at issue is here : <url> <section> code inspection when doing <allcaps> eds </allcaps> implementation <section> joseph hickey , vantage systems , inc .",0
remove remaining stray references to old event types expected behavior * * update to new event type constants or remove these commented - out tests . <section> <url> <url> <section> avi weiss <user>,2
"items instantiated in header causes duplicate definitions and link errors the unit test header file <code> instantiates objects directly in the header file , which breaks if it is ever included in more than one c file . <section> build lc with unit tests enabled , get lots of linker errors : ` ` <code> wdtable ' ; cmakefiles / coverage - lc - lc_action - testrunner . dir / lc_action_tests . c . <surprise> / home / joe / code / cfecfs / github / apps / lc / unit - test / utilities / lc_test_utils . h : <number> : first defined here / usr / bin / ld : libcoverage - lc_internal - stubs . a ( lc_test_utils . c . o ) <annoyed> home / joe / code / cfecfs / github / apps / lc / unit - test / utilities / lc_test_utils . h : <number> : multiple definition of <code> ` ` <section> build should work ? <section> <url> <section> ubuntu <section> i was just trying to build lc "" out of the box "" - not modified in any way - and it failed badly . not sure how this ever built or passed any validation testing with this the way it was . <section> joseph hickey , vantage systems , inc .",0
variables declared mid - function expected behavior * * all variables should be declared at the top of the function . <section> avi weiss <user>,2
"fix # <number> , refactor lc_sampleaps to remove extraneous if statement testing performed * * github ci actions ( incl . build + run , unit tests etc . ) all passing successfully . <section> intent of the code remains basically unchanged , although the logic has changed slightly . main change is that <code> is checked as valid before any sampling of action points , whereas previously this was only checked in the single action point sample condition - i . e . <code> <section> avi <user>",2
inconsistent event id naming expected behavior * * apply consistent event id names to the events which are common to all / most components and apps . <section> invalid message id : <code> <code> <code> <code> <code> <code> <code> <code> <code> initialization : <code> <code> <code> <code> <code> <code> <code> <allcaps> noop </allcaps> : <code> <code> <code> <code> <code> <code> reset counters : <code> <code> <code> <code> <code> <code> <code> <code> <code> <code> <code> etc . <section> avi weiss <user>,2
"multiple return statements in lc_createtaskcds and lc_tableinit multiple returns are a coding style violation , and the implementation is challenging to follow ( see # <number> and others ) . <url> <url> <section> single entry / exit point from functions . refactor to simplify flow . <section> none <section> could group w / multiple issues or tackle by file . <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps>",2
