text,label
"fix # <number> , adds local variables for command buffer processing a clear and concise description of what the contribution is . - fixes # <number> <section> error - free build <percent> lcov coverage <section> "" const - ness "" of command buffers are maintained . minimized undefined behavior by creating and localizing changes instead of changing const buffers . <section> - os : ubuntu <number> <section> n / a <section> n / a <section> justin figueroa , vantage systems",2
"fix # <number> , convert <code> return codes and variables to <code> testing performed * * github ci actions all passing successfully . <section> no change to behavior . <code> is more expressive and improves consistency with cfe / cfs . <section> avi weiss <user>",2
mm <code> return codes and variables should be converted to <code> expected behavior * * use the more expressive <code> and improve consistency with cfs . <section> avi weiss <user>,2
"fix # <number> , adds eventstring null termination a clear and concise description of what the contribution is . - fixes # <number> <section> * built app * tested lcov * ran passing cert_testbed <sad> code > test <section> null terminated <code> <section> - os : ubuntu <number> <section> followed similar null - terminated character array concatenation in : <url> <section> if included , identify any third party code and provide text file of license <section> - justin figueroa , vantage",2
"fix # <number> , use <code> for ' size ' variables testing performed * * github ci actions all passing successfully . <section> no change to behavior other than type changes outlined above . <section> avi weiss <user>",2
size variables should use the <code> type code snips * * <url> <url> <section> all size variables that can use <code> should do so - <code> is more expressive and more consistent with the relevant coding guidelines . <section> avi weiss <user>,2
mm command handlers cast away const several mm functions cast away const on their command buffer such that they can manipulate it internally . buffers should be copied to a local variable prior to manipulation . examples include : mm_loadmemfromfilecmd mm_dumpmemtofilecmd mm_symtbltofilecmd <section> audit mm and clean up . <section> dan knutsen <allcaps> nasa </allcaps> goddard,0
"fix # <number> , update initializations causing cppcheck failure testing performed * * github ci actions ( incl . build + run , unit tests etc . ) all passing successfully if separate issue <url> is suppressed image <img> the log from the successful build ( with the <allcaps> gcc </allcaps> suppressions that can not be included in this pr ) can be viewed here : <url> <section> no impact on code behavior . cppcheck now passes without error again . <section> avi <user>",2
new <allcaps> gcc </allcaps> warnings causing build failure [ - werror = stringop - overflow <happy> to reproduce * * run the build + run github action on the current main branch mm source code . <section> build + run workflow should run without errors . <section> avi <user>,2
inconsistent event id naming expected behavior * * apply consistent event id names to the events which are common to all / most components and apps . <section> invalid message id : <code> <code> <code> <code> <code> <code> <code> <code> <code> initialization : <code> <code> <code> <code> <code> <code> <code> <allcaps> noop </allcaps> : <code> <code> <code> <code> <code> <code> reset counters : <code> <code> <code> <code> <code> <code> <code> <code> <code> <code> <code> etc . <section> avi weiss <user>,2
"fix # <number> , use cfe_fs_initheader ( ) to initialize <allcaps> cfe </allcaps> header fix # <number> <section> unit testing <section> no impact to behavior <section> - os : ubuntu <number> <section> haven carlson - <allcaps> nasa </allcaps>",2
resolve issues building users guide with ubuntu <number> / doxygen <date> doxygen warnings for <code> <section> resove <section> none <section> none <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps>,1
implicit padding being added to multiple mm commands some mm commands assume a <number> bit aligned header while others are offset by <number> bits . an example would be the peek vs poke commands . <section> dan knutsen <allcaps> nasa </allcaps> goddard,2
"fix # <number> , updates <allcaps> cla </allcaps> information for apache <number> deletes old mm clas , removes language in contributing . md of app - specific <allcaps> cla </allcaps> , adds link to new clas in pull_request_template a clear and concise description of what the contribution is . - fixes # <number> - fixes <url> <section> visually inspected links in fork and in pr template . <section> all references to clas should be updated to the cfs app <allcaps> cla </allcaps> . <section> google chrome browser <section> none <section> justin figueroa , <allcaps> asrc </allcaps> federal",1
use fixed sizes for memory addresses and offsets in tbl / cmd / tlm same as nasa / cs # <number> . using cpuaddr in tbl / cmd / tlm results in different sized structures ( and possibly different alignment / padding ) . <section> use <code> and <code> <section> none <section> none <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps>,2
"update <allcaps> cla </allcaps> information have new clas given the change in <url> with the combined <allcaps> cla </allcaps> , <section> - [ ] update the instructions in each app ' s contributing . md - [ ] delete old <allcaps> cla </allcaps> pdfs - [ ] update pr and issue templates as needed <section> none <section> none <section> gerardo e . cruz - ortiz",1
remove cfe_psp_memset and cfe_psp_memcpy use on addresses in <allcaps> ram </allcaps> should just use memset / memcpy for addresses in <allcaps> ram </allcaps> . the <allcaps> psp </allcaps> functions serve no use in this context . <section> replace with memset / memcpy . <section> none <section> none <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps>,2
"mm messages - memory address being truncated to <number> bits on <number> bit machines <section> memory address ' s displayed in messages are ( sometimes ) being truncated to <number> bits on <number> bit machines <section> example from mm_app . c : cfe_evs_sendevent ( mm_sym_lookup_inf_eid , cfe_evs_eventtype_information , "" symbol lookup command : name = ' %s ' addr = 0x % 0 8 x"", cmdptr - > symname , ( unsigned int ) resolvedaddr ) ; <section> dan knutsen <allcaps> nasa </allcaps> goddard",0
