text,label
"cfe_psp_module_findbyname does not find base modules <section> <allcaps> psp </allcaps> modules can be enabled in two ways , either by adding to the <code> in targets . cmake ( for optional / platform - specific hardware access routines ) or a set of "" standard "" modules listed in <code> file under the <allcaps> psp </allcaps> . problem is that <code> only looks at the user - specified list ( from targets . cmake ) and not the list of standard modules . this is needed for hs because the <code> monitor ( for cpu utilization ) is now listed as a standard module for pc - linux <allcaps> psp </allcaps> , but this inadvertently made it un - findable . <section> run the current build of framework + hs app ( which relies on being able to locate the <code> module ) . hs does not find a module and disables <allcaps> cpu </allcaps> usage reporting . <section> hs should find the module and enable usage reporting <section> joseph hickey , vantage systems , inc .",0
"automate generation of integration candidate branch <section> generating the integration candidate branch is a very straightforward process , although it can be highly time consuming . automating this process can result in significant time savings . <section> use a github workflow to automatically merge a set of pull requests into the integration candidate branch and push it to github . <section> scripts can be used to simplify this process as well , but it requires setup by the person maintaining the repository and is not as portable . <section> dylan baker / <allcaps> nasa gsfc </allcaps> <number>",2
"add <allcaps> api </allcaps> for obtaining system health statistics <section> <allcaps> cfs </allcaps> apps ( such as hs in particular ) need to monitor and report the health of the system , in particular <allcaps> cpu </allcaps> usage . unfortunately this info can vary wildly and there is no standardized way of getting it via <allcaps> posix </allcaps> or other os apis - it is generally only obtainable via platform - specific access methods such as the <code> filesystem on linux . <section> design an <allcaps> api </allcaps> that can obtain system health statistics . initially this must support per - core <allcaps> cpu </allcaps> usage , but should be extendable to support arbitrary variables such as temperature , network + disk i / o stats , <allcaps> ram </allcaps> + swap use , etc . basically anything that is typically shown in a pc "" health monitor "" app . <section> initially the <allcaps> cpu </allcaps> usage stats would allow nasa / hs # <number> , nasa / hs # <number> , and nasa / hs # <number> to be resolved . <section> joseph hickey , vantage systems , inc .",2
"add example of hardware - based 1 hz signal <section> a few releases back the 1 hz configuration was changed to be initiated by <allcaps> cfe time </allcaps> itself , rather than started by the <allcaps> psp </allcaps> . this was done in order to resolve a race condition where the signal arrived before <allcaps> cfe time </allcaps> was ready to process it . however , as a result , we no longer have a good example of a "" real "" hardware - based 1 pps / 1 hz signal driving the <allcaps> cfe time </allcaps> 1 hz input , as the current example uses a software kernel timer only . <section> create an alternative to the <code> module that reads a 1 pps signal from an external reference such as a serial port - as a number of <allcaps> gps </allcaps> receivers do use a serial line to provide 1 pps along with location data . this probably still would not be directly usable but it would at least provide a ( closer ) example of how this could be achieved , that the user could modify for their particular setup . <section> there are two other ways this could be synced : <number> . use an external process like gpsd to sync the kernel clock to the 1 pps , then use <code> as - is . the result is that the 1 hz <allcaps> time </allcaps> signal will be in phase with the reference signal , but it will not occur at the same time . this phase delay may or may not acceptable depending on the application . this does have the advantage of having only a single time domain across the entire system ( kernel / os clocks and timers will all be synchronous with the <allcaps> gps </allcaps> time ) and it is totally transparent to apps - they just read time as normal . <number> . use an external sync routine ( last argument to <code> to wait for the 1 pps . this is similar to <number> but easier to implement ( no external dependencies ) however the result will be more jittery and apps must know that this timebase may not be synchronous with the os / kernel clock . <section> joseph hickey , vantage systems , inc .",2
"separate network logic in pc - rtems to support generic targets <section> the only non - generic implementation in pc - rtems is the network setup , which prevents use on a generic target . <section> isolate / separate network setup to support source selection or similar configuration option . consider configuring from target defs or similar to avoid changes required within psp . <section> could make an additional psp , but does not seem worth duplicating all the pc - rtems code that is not specific to pc ' s . <section> specific parts : <url> <url> might also benefit from making / mnt / eeprom a config param . <repeated> depends on how / where this is actually set up by the <allcaps> psp </allcaps> . would be nice to shift away from "" eeprom "" and use generic "" nonvol "" . <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps>",2
"cppcheck <number> style warnings , constparameter <section> from unrelated run : <url> <html> <body> < ! - - startfragment - - > severity | location | error id | issue - - | - - | - - | - - style | fsw / pc - linux / src / cfe_psp_memory . c : <number> | constparameter | parameter ' ptrtokernelsegment ' can be declared with const style | fsw / pc - linux / src / cfe_psp_memory . c : <number> | constparameter | parameter ' sizeofkernelsegment ' can be declared with const < ! - - endfragment - - > </body> </html> <section> squash warnings <section> none <section> none <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps>",2
remove obsolete <code> <section> <code> is no longer used for anything . <url> <section> remove <section> none <section> none <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps>,2
"wrong type of arguments to snprintf <section> function call with incorrect argument type . this argument should be of type ' unsigned int ' but is of type ' pcs_wind_tcb *'. <section> same behavior , fix error <section> <url> <section> vxworks <number> / mcp750 <section> from codeql use "" % 0 8 lx "" as the format and explicitly cast the argument as "" ( unsigned long ) "" <section> ariel adams , <allcaps> mcsg </allcaps> tech",2
"fix # <number> , create changelog file fixes # <number> <section> n / a <section> users can see important information on readme without changelog information . <section> ariel adams , <allcaps> mcsg </allcaps> tech",1
"cfe_psp_module_findbyname uses incorrect list limit / stop condition <section> the internal variable <code> is used as the limit for searching for a matching name in the <allcaps> psp </allcaps> module list here : <url> however , a while back the set of modules was split into two , so now we have separate lists : cfe_psp_base_module_list global_configdata . pspmodulelist the <code> value reflects the total number of entries ( sum ) of both lists . but the <code> function is only searching the second list ( global_configdata . pspmodulelist ) . this means that if there is no matching entry , it might read beyond the end of the list . <section> call <code> on a module name that does not actually exist in the system . the loop will segfault when it gets to the <allcaps> null </allcaps> entry that normally terminates the <code> . <section> the search should cover <code> and <code> like the init function does <section> init function uses a helper function that does each list at : <url> search function should mirror this . <section> ubuntu <number> <section> joseph hickey , vantage systems , inc . on behalf of alan cudmore ( <allcaps> gsfc </allcaps> )",0
