text,label
"older versions of make do not support "" abspath "" <section> the table build procedure uses the <allcaps> gnu </allcaps> make function <code> as documented here : <url> however , older versions of make ( e . g . <number> ) appear to not support this function as described - although make itself does not throw an error about this function , the result is an empty string . this in turn causes the command being executed to fail because its missing the argument , which is supposed to be a file name . <section> build the software using an older version of <allcaps> gnu </allcaps> make , an error such as this occurs : <code> <section> there should be a library filename between the "" x "" and the object filename . <section> the command in the makefile here is : <url> note that the <code> evaluated to the empty string . whereas on <allcaps> gnu </allcaps> make <number> . x this works as described in the documentation . <section> vxworks <number> , which ships a binary version of <allcaps> gnu </allcaps> make v3 . <number> . <section> joseph hickey , vantage systems , inc .",0
"occasional table build failures with parallel builds ( - j ) <section> when using the - j option to <code> , occasionally some table builds may fail . <section> depends on a configuration that uses a lot of table files ( > <number> ) . repeatedly do clean builds followed by <code> where x is a number greater than <number> or so . occasionally an error will occur due to a missing object . <section> should succeed <section> debian <section> initial analysis of a failed build seems to suggest it was trying to build the same intermediate table library twice , at the same time . as such either the <code> or <code> actions failed because one of them stepped on the files from the other parallel build . <section> joseph hickey , vantage systems , inc .",0
"table build logic is assuming "" . o "" extension for object files <section> the new scripts that are used to build table files assume a "" . o "" extension on object files . this is not always the case , as some other systems use "" . obj "" . <section> build using the vxworks <number> toolchain combined with the vxworks platform module - this sets up for an "" . obj "" extension . table file generation will fail due to a missing . o file . <section> should build successfully . <section> vxworks <number> ( <allcaps> gsfc </allcaps> build machine ) <section> the variable <code> should be used here . <section> joseph hickey , vantage systems , inc .",0
"fix # <number> , cfe functional test <number> fixes # <number> - cfe functional test <number> failing if the cfe functional tests are executed multiple times in a row , because of differences in pre - test log messages - cfe_es_writetosyslog can return cfe_es_err_sys_log_truncated during execution of cfe test <number> . functional test <number> was updated to allow for the cfe_es_err_sys_log_truncated return value - as that is an acceptable / nominal condition . <section> successfully executed functional tests multiple times in a row . <section> cfe functional test <number> should no longer intermittently fail . <section> dan knutsen <allcaps> nasa </allcaps> goddard",0
es functional test : test write to sys log failing intermittently <section> cfe functional test <number> ( test write to sys log ) is failing intermittently . <section> execute functional tests multiple times . <section> test should consistently pass if there is no anomalous config / behavior . <section> dan knutsen <allcaps> nasa </allcaps> goddard,0
"add source - routing feature to software bus <section> normally , software bus messages are fully assembled by clients , then passed to the software bus via e . g . <code> for delivery to subscribers . this routing to subscribers is currently done based on the <code> value that is present in the message - that is , the msgid is looked up in the routing table , which is in turn translated to a list of destinations ( subscribers ) to deliver that message to . <section> add an alternative <allcaps> api </allcaps> that allows the message to be routed to destination ( s ) that are are given explicitly in the <allcaps> api </allcaps> call . that is , allow the caller to specify the <code> that sb should use to route and deliver the message . specifically - this passed - in <code> for routing may be different than the msgid value contained in the message . <section> n / a <section> the use - case for this feature has to do with complex systems with distributed software bus services across many instances of <allcaps> cfe </allcaps> . in this context the destination may not be directly reachable from the source , but reachable through some sort of intermediate hop . this feature gives the needed flexibility to work with such an architecture , by allowing messages to be routed to an intermediate delivery assistant app that may not be the final destination of the message . <section> joseph hickey , vantage systems , inc .",2
"fix # <number> , adds utassert message descriptions to readme_functionaltes … - fixes # <number> - adds descriptions of each utassert message to the functional test readme markdown file for easier readability . <section> previewed markdown file <section> no impact to behavior . <section> - os : ubuntu <number> <section> description content resourced from : <url> <section> n / a <section> justin figueroa , vantage systems",1
"update readme_functionaltest . md to include <allcaps> utassert </allcaps> message descriptions <section> the cfe functional tests include assert messages that can be further clarified in the <allcaps> readme </allcaps> . <section> include and describe each enumerated assert message in the readme . <section> n / a <section> n / a <section> justin figueroa , vantage systems",1
update readme_functionaltest . md to include sample_app in startup script <section> the cfe functional tests are dependent on the inclusion of sample_app for the successful execution of all tests . <section> include sample_app in the example startup script and explain that there is a dependency . <section> dan knutsen <allcaps> nasa </allcaps> goddard,1
make the shared table used in the cfe functional tests configurable <section> projects typically will remove sample_app from their build . this creates an issue because the cfe functional tests are dependent on it such that tests will fail after removal . need a mechanism to easily swap out the sample_app table used in the functional tests such that projects can still run the tests as part of their ci / cd once sample_app is removed . <section> make the name of the table used in the cfe functional tests configurable such that projects can easily swap out the sample_app table with a table in their project specific build . <section> dan knutsen <allcaps> nasa </allcaps> goddard,2
counters included in cfe functional test summary does not add up to total test count <section> cfe functional test summary does does not contain information on all counters that increase the total test case count . this results in the appearance of missing tests when the results are read . <section> add an information statement that includes the test counters for the remaining tests that increase the total test count . <section> dan knutsen <allcaps> nasa </allcaps> goddard,2
