text,label
"fix # <number> , removes error on format style differences <section> - fixes # <number> - removes the exiting logic such that the workflow can not fail due to a claang difference . <section> observed that error does not happen when format - check is called and there is a claang - format - <number> style difference . <section> no error on style differences <section> - os : ubuntu <number> <section> n / a <section> the cfs repository is provided to bundle the cfs framework . it is utilized for bundling submodules , continuous integration testing , and version management and does not contain any software . code contributions should be directed to the appropriate submodule . <section> justin figueroa , vantage",2
missing <allcaps> pus </allcaps> lib repo can anyone let me know where is the repository for cfs <allcaps> pus </allcaps> application - it used to be in the following location : <url>,3
"add option for "" build - run - app "" reusable workflow to include dependent libraries <section> currently the "" build - run - app "" reusable workflow only checks out the app into the "" apps "" directory . however , some cfs applications , such as bp , also require inclusion of a support library ( e . g . bplib ) in order to build and run . <section> add an additional workflow input to specify additional library dependencies , which can be checked out and included in the build . <section> typically these would only libraries ( not other apps ) . <section> joseph hickey , vantage systems , inc .",2
"allow users to pass project args to the "" static - analysis "" cppcheck reusable workflow <section> the issue observed in nasa / osal # <number> is due to the fact that cppcheck is being executed in each c source file in isolation . in this case it does not see the definition of <code> and thus does not know how to examine this line . <section> cppcheck allows command line options to specify various project - specific preprocessor settings , such as <code> and <code> options to specify if a macro is set or unset , respectively , as well as <code> option ( s ) indicating where to find include files . furthermore , with cmake , the <code> option causes cmake to export a json file containing the full include path being used , which can then be passed to cppcheck via the <code> option . with this , the code will be examined using the configuration that is actually being compiled . <section> <number> . skip checking of ut stubs in general ( but stubs could have bugs like uninitialized vars and things that cppcheck could flag ) <number> . remove use of <code> , as this will not be checkable unless the definition of this macro is also supplied . <section> using <code> causes cppcheck to be much more thorough in its results . in particular , it now "" sees "" the <code> file and the ifdef macros that exist in there , and it will check each macro both ways . the upside to this is it finds more potential issues , particularly with ifdef branches that are not regularly used , but the downside is that it significantly increases the runtime of cppcheck as it tests all the permutations . this may need to be limited if it becomes excessive . <section> joseph hickey , vantage systems , inc .",2
"fix # <number> , fetch documentation archives * ] i signed and emailed the appropriate [ contributor license agreement <url> to <email> and copied <email> . <section> fixes # <number> <section> tested on fork image <img> tested locally in docker . <section> the issue is thrown at random times . thrown here : <url> but not here : <url> <section> fixes failing cfs documentation and guides workflow . it had an issue installing <allcaps> pdf </allcaps> generation dependencies . same behavior . <section> ariel adams , <allcaps> mcsg </allcaps> tech",1
"issues : questions cfs cannot find unit - test excecutables when attempting to run unit - tests on a cfs project with <number> custom application modeled closely after the sample_app template the output of running "" make test "" fails as it cannot find the test executable ' s . it would be great to know if the steps i am following below are insufficient to properly run the unit tests , or if the error in my log files below indicates another issue ? <section> steps to reproduce the behavior : <number> . make distclean <number> . make <allcaps> simulation </allcaps> = native enable_unit_tests = true prep <number> . make <number> . make test <section> all unit - tests pass . <section> - os : vmware ubuntu <number> - versions : cfs v6 . <number> . 0 a <section> the actual output i receive is the following for every possible test : lcov - - capture - - initial - - directory build / native - - output - file build / native / coverage_base . info capturing coverage data from build / native subroutine read_intermediate_text redefined at / usr / bin / geninfo line <number> . subroutine read_intermediate_json redefined at / usr / bin / geninfo line <number> . subroutine intermediate_text_to_info redefined at / usr / bin / geninfo line <number> . subroutine intermediate_json_to_info redefined at / usr / bin / geninfo line <number> . subroutine get_output_fd redefined at / usr / bin / geninfo line <number> . subroutine print_gcov_warnings redefined at / usr / bin / geninfo line <number> . subroutine process_intermediate redefined at / usr / bin / geninfo line <number> . found gcov version : <number> . <number> using intermediate gcov format scanning build / native for . gcno files . <repeated> geninfo : <allcaps> warning </allcaps> : no . gcno files found in build / native - skipping ! finished . info - file creation ( cd build / native & & ctest - o ctest . log ) test project / home / daniel / fp_cfs_vrcs / build / native start <number> : bin - sem - flush - test could not find executable bin - sem - flush - test looked in the following places : bin - sem - flush - test bin - sem - flush - test release / bin - sem - flush - test release / bin - sem - flush - test debug / bin - sem - flush - test debug / bin - sem - flush - test minsizerel / bin - sem - flush - test minsizerel / bin - sem - flush - test relwithdebinfo / bin - sem - flush - test relwithdebinfo / bin - sem - flush - test deployment / bin - sem - flush - test deployment / bin - sem - flush - test development / bin - sem - flush - test development / bin - sem - flush - test unable to find executable : bin - sem - flush - test <number> / <number> test # <number> : bin - sem - flush - test . <repeated> * * * not run <number> sec start <number> : bin - sem - test <section> <percent> tests passed , <number> tests failed out of <number> total test time ( real ) = <number> sec the following tests <allcaps> failed </allcaps> : <number> - bin - sem - flush - test ( not run ) <number> - bin - sem - test ( not run ) <number> - bin - sem - timeout - test ( not run ) <number> - count - sem - test ( not run ) <number> - file - api - test ( not run ) <number> - mutex - test ( not run ) <number> - osal - core - test ( not run ) <number> - queue - timeout - test ( not run ) <number> - sem - speed - test ( not run ) <number> - symbol - api - test ( not run ) <number> - timer - test ( not run ) <number> - osal_core_ut ( not run ) <number> - osal_loader_ut ( not run ) <number> - osal_filesys_ut ( not run ) <number> - osal_file_ut ( not run ) <number> - osal_network_ut ( not run ) <number> - osal_timer_ut ( not run ) <number> - my_app - my_app ( not run ) <number> - cfe_core_default_cpu1_es_ut ( not run ) <number> - cfe_core_default_cpu1_sb_ut ( not run ) <number> - cfe_core_default_cpu1_evs_ut ( not run ) <number> - cfe_core_default_cpu1_tbl_ut ( not run ) <number> - cfe_core_default_cpu1_time_ut ( not run ) <number> - cfe_core_default_cpu1_fs_ut ( not run ) errors while running ctest output from these tests are in : / home / daniel / fp_cfs_vrcs / build / native / testing / temporary / lasttest . log use "" - - rerun - failed - - output - on - failure "" to re - run the failed cases verbosely . make : * * * [ makefile : <number> : test ] error <number>",3
"use custom container for workflows * [ ] i performed a cursory search to see if the feature request is relevant , not redundant , nor in conflict with other tickets . <section> the documentation workflow and a couple of others keep failing sporadically due to dependency install failures . <section> a custom cfs - dependencies container that has the following toolkit - cmake - gcc - gcov - lcov - doxygen - latex - graphviz - etc . this will help with both dependency management and maybe even speed up some of our builds that install dependencies with every run . another benefit is that we can encourage the community to use these containers as their development environment . <section> use a standard doxygen container image for the documentation workflow <section> none <section> gerardo e . cruz - ortiz | <allcaps> nasa </allcaps>",2
"update <allcaps> cla </allcaps> information in apache <number> cfs app repositories <section> have new clas given the change in <url> with the combined <allcaps> cla </allcaps> , <section> - [ ] update the instructions in each app ' s contributing . md - [ ] delete old <allcaps> cla </allcaps> pdfs - [ ] update pr and issue templates as needed <section> none <section> none <section> gerardo e . cruz - ortiz",1
"add combined <allcaps> cla </allcaps> for cfs app repos <section> we just received updated clas for the apache <number> licensed applications . <section> need to upload the new clas , add them to contributing . md and then add links to the new forms in each app repository . <section> migrate to new org and set up shared community info <section> none <section> gerardo e . cruz - ortiz , <allcaps> nasa </allcaps>",1
"fix # <number> , add links to <allcaps> readme </allcaps> <section> - fix # <number> skimmed the <allcaps> nasa </allcaps> repos and added links ( including <allcaps> sbn </allcaps> - client ) <section> none , doc only <section> n / a <section> n / a <section> none <section> the cfs repository is provided to bundle the cfs framework . it is utilized for bundling submodules , continuous integration testing , and version management and does not contain any software . code contributions should be directed to the appropriate submodule . <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps>",1
