text,label
"fix # <number> , adds checkstatus helper functions <section> - fixes # <number> , this improvement reduces the cyclomatic complexity of the main ( ) function from <number> to <number> which is less than the recommended <number> cyclomatic complexity upper limit . the change accomplishes this improvement by adding two new status - checking helper functions . <section> ci <section> - no impact to behavior . this change distributes complexity to newly created helper functions . <section> - os : ubuntu <number> <section> * note , that this improvement does not reduce the overall complexity of the elf2cfetbl program . it just distributes the complexity across the two new helper functions which each have <number> cyclomatic complexity , potentially making the code easier to understand and maintain . * also note that the multiple <code> statements are replaced with <code> via the two new helper functions . calling <code> from main ( ) when no other non - daemon threads are running , will have the same effect as calling <code> . it will terminate the process . i chose to use <code> to make use of the new helper functions since elf2cfetbl does not appear to use multi - threading . <section> n / a <section> justin figueroa , vantage systems",2
"fix # <number> , reduce cyclomatic complexity of getelfheader <section> - fixes # <number> this change reduces the cyclomatic complexity by <number> . the changes specifically condense extraneous "" verbose "" if statements for printing header as well as extraneous status assignments when checking the elf magic number . <section> none <section> no expected impact to behavior . <section> - os : ubuntu <number> <section> the cyclomatic complexity for this function still remains above the recommended <number> , however the code is relatively clean and follows a pretty straightforward process . if desired , further reduction of cylomatic complexity by <number> can be achieved by creating new functions for the processor class type ] ( <url> verification and [ data encoding type <url> verification switch / case . <section> n / a <section> justin figueroa , vantage systems",2
"main - cyclomatic complexity of <number> <section> <allcaps> nasa </allcaps> guidelines in <allcaps> npr </allcaps> <number> . 2 d recommends maintaining a cyclomatic complexity in software , in particular flight software of <number> . elf2cfetbl . c : : main <url> unnecessarily violates the recommendation with a cyclomatic complexity of <number> . <section> clean up main such that it has a cyclomatic complexity of <number> or less . <section> leave as - is <section> imported from <allcaps> jsc </allcaps> static analysis audit <section> justin figueroa , vantage systems",2
"locateandreaduserobject - cyclomatic complexity of <number> <section> <allcaps> nasa </allcaps> guidelines in <allcaps> npr </allcaps> <number> . 2 d recommends maintaining a cyclomatic complexity in software , in particular flight software of <number> . elf2cfetbl . c : : locateandreaduserobject <url> unnecessarily violates the recommendation with a cyclomatic complexity of <number> . <section> clean up getelfheader such that it has a cyclomatic complexity of <number> or less . <section> leave as - is <section> imported from <allcaps> jsc </allcaps> static analysis audit <section> justin figueroa , vantage systems",2
"getsectionheader - cyclomatic complexity of <number> <section> <allcaps> nasa </allcaps> guidelines in <allcaps> npr </allcaps> <number> . 2 d recommends maintaining a cyclomatic complexity in software , in particular flight software of <number> . elf2cfetbl . c : : getsectionheader <url> unnecessarily violates the recommendation with a cyclomatic complexity of <number> . <section> clean up getelfheader such that it has a cyclomatic complexity of <number> or less . <section> leave as - is <section> imported from <allcaps> jsc </allcaps> static analysis audit <section> justin figueroa , vantage systems",2
"getelfheader - cyclomatic complexity of <number> <section> <allcaps> nasa </allcaps> guidelines in <allcaps> npr </allcaps> <number> . 2 d recommends maintaining a cyclomatic complexity in software , in particular flight software of <number> . elf2cfetbl . c : : getelfheader <url> unnecessarily violates the recommendation with a cyclomatic complexity of <number> . <section> clean up getelfheader such that it has a cyclomatic complexity of <number> or less . <section> leave as - is <section> imported from <allcaps> jsc </allcaps> static analysis audit <section> justin figueroa , vantage systems",2
"processcmdlineoptions - cyclomatic complexity of <number> <section> <allcaps> nasa </allcaps> guidelines in <allcaps> npr </allcaps> <number> . 2 d recommends maintaining a cyclomatic complexity in software , in particular flight software of <number> . elf2cfetbl . c : : processcmdlineoptions <url> unnecessarily violates the recommendation with a cyclomatic complexity of <number> . <section> clean up processcmdlineoptions such that it has a cyclomatic complexity of <number> or less . <section> leave as - is <section> imported from <allcaps> jsc </allcaps> static analysis audit <section> justin figueroa , vantage systems",2
uninitialized variable static analysis warning <section> uninitialized variable static analysis warning observed ( license restricts publishing warnings ) <section> fix <section> none <section> none <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps>,2
apply latest copyright header <section> updated copyright header <section> update <section> none <section> none <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps>,1
"remove explicit file name references in doxygen file comments to avoid warnings <section> file comment without a filename implies the comments apply to the current file . adding the file name makes doxygen try to match that file . the issue is there ' s multiple files with the same name , so doxygen gets confused unless you add full path . really it ' s just overhead since the point is to comment the current file . sample warning if you <code> from the bundle : ` ` <code> os - impl - binsem . c ' supplied as the second argument in the \ file statement matches the following input files : / home / jhageman / cfs / cfs - github / osal / src / os / posix / src / os - impl - binsem . c / home / jhageman / cfs / cfs - github / osal / src / os / rtems / src / os - impl - binsem . c / home / jhageman / cfs / cfs - github / osal / src / os / vxworks / src / os - impl - binsem . c please use a more specific name by including a ( larger ) part of the path ! ` ` ` <section> easiest to just remove the name since for every case the comment applies to the current file <section> none <section> none <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps>",1
apply header guard standard formatting <section> nonstandard guard used <section> apply standard <section> none <section> none <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps>,2
