text,label
"automate generation of integration candidate branch <section> generating the integration candidate branch is a very straightforward process , although it can be highly time consuming . automating this process can result in significant time savings . <section> use a github workflow to automatically merge a set of pull requests into the integration candidate branch and push it to github . <section> scripts can be used to simplify this process as well , but it requires setup by the person maintaining the repository and is not as portable . <section> dylan baker / <allcaps> nasa gsfc </allcaps> <number>",2
"remove cast when starting timebase callback <section> the cast was originally hiding a bug , as described in # <number> . in # <number> comments , <user> suggested we remove the cast . the commit was made to remove this cast , but somehow the changes were lost . <section> <url> <section> jose f . martinez pedraza / <allcaps> gsfc </allcaps> <number>",0
"add missing doxygen to new ut assert <allcaps> api </allcaps> <section> cfs documentation workflow is failing with some undocumented parameters : <code> <section> add documentation <section> this unfortunately is not found by <allcaps> osal ci </allcaps> workflows , it was found by <allcaps> cfs </allcaps> workflows only after merging to main . potentially need to tweak workflows so this type of thing gets detected by the <allcaps> osal </allcaps> checks and / or a way to point the <allcaps> cfs </allcaps> workflow at the ic branch so it can be identified before merge . <section> joseph hickey , vantage systems , inc .",0
"add utassert_sizet_eq <section> in many cases the code uses <code> to check values that are actually <code> in the implementation . this is mostly ok as long as the sizes are < 4 gib , which is almost always the case on flight systems that usually do not have a lot of memory . <section> to support larger systems in the future , ut assert should have a macro that compares <code> values natively without converting down to <code> first . <section> continue using <code> comparisons , accept limitation that this cannot be used for objects / sizes greater than 4 gib . <section> intent is to be proactive , this will probably become a limiting factor to somebody at some point . plus it is more correct to be able to compare <code> values in a type - safe manner . <section> joseph hickey , vantage systems , inc .",2
stray remaining use of ' goto ' in test code <section> noticed a single stray use of <code> remaining in the test code . <section> use of <code> is advised against by most coding guidelines . preference is to use other method of flow control . <section> <url> <section> avi weiss <user>,2
"scrub for mismatched function prototype / implementation parameter names expected behavior * * while not a risk to behavior , these mismatched parameter names may cause compiler errors in the future on some systems , and can be confusing for maintenance and application programming . <section> cases identified : image <img> <section> avi weiss <user>",2
break up pc rtems bsp to support generic / configurable use <section> the <allcaps> pc rtems osal </allcaps> bsp references pc686 bsp specific calls and does not easily support reconfiguration . see <url> for more context . <section> break up the implementation to support source selection and allow for exclusion of bsp specific calls . could eventually make it generic - rtems w / bsp specific options . <section> add a new bsp . <repeated> but this ends up copying almost all the pc - rtems code . <section> i have got something in work but needs cleanup / discussion to ensure it ' s headed in the right direction . <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps>,2
remove obsolete <code> <section> <code> is no longer used for anything . <url> <url> <url> <url> <section> remove <section> none <section> none <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps>,2
"add option to force rtems_floating_point on all tasks <section> even if a task itself does not use floating point , if the <allcaps> rtems </allcaps> kernel is compiled with floating point enabled underlying functions may use it . under the current scheme , there is not a way to force inclusion of the rtems_floating_point flag for all tasks . <section> add override option to always add flag regardless of the flags passed in to the function call . <section> i am not sure if this is a problem w / other systems . <repeated> could make the flag generic to os ' s ? <section> none <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps>",2
"add better support for pointer return values in ut assert <section> currently , ut assert only as built - in support for <number> - bit integer return values , in the form of <code> and <code> . the majority of <allcaps> cfe </allcaps> / <allcaps> cfs </allcaps> apis have a <number> - bit integer return value , so this has been good enough . however , there are also a fair number of <allcaps> cfe </allcaps> functions that return pointer values , and these <code> apis do not currently work for pointer returns . any stub that returns a pointer must have its own custom handler function to help set the return value , and so support is spotty . every function that has a pointer return may have a slightly different way to control the return value , and a different range of things that can be done by the test to modify its behavior . <section> add two new apis to ut assert : - <code> - <code> these would work like the current integer functions , respectively , but accept pointers with a size instead of an integer . this type of signature could support <allcaps> all </allcaps> types of return values , including <number> - bit , <number> - bit , <number> - bit , and potentially even larger structures ( even though code should not output large structures via return value , it could be done ) . <section> a halfway point could be to just add generic reusable handlers that return a pointer , and could be registered to any function . but that would not be as clean , and would still need a separate function for each type . <section> this can be added without breaking any currently - existing tests or stubs , because its only a new type of return record . it would not change anything about the existing logic , just extend it . <section> joseph hickey , vantage systems , inc .",2
"add doxygen dependencies to "" doc - prebuild "" abstract target <section> nasa / cfe # <number> adds an abstract target for dependencies of the documentation build . currently <allcaps> osal </allcaps> requires generating the file <code> before documentation builds are run , so this should be registered as a dependency . this only affects documentation builds of <allcaps> cfe </allcaps> and <allcaps> cfs </allcaps> apps that in turn include <allcaps> osal </allcaps> headers as part of the document . these are depending on some artifacts that are generated by the <allcaps> osal </allcaps> build recipe . <section> add dependencies so that <allcaps> cfe </allcaps> and <allcaps> cfs </allcaps> app documentation builds that refer to <allcaps> osal </allcaps> files will work . <section> see nasa / <allcaps> cfe </allcaps> # <number> and nasa / cf # <number> for more context <section> joseph hickey , vantage systems , inc .",2
variables declared mid - function expected behavior * * all variables should be declared at the top of the function . <section> avi weiss <user>,2
support for freertos <user> and <user> <url> i had this issue . can you please help me to get the support for freertos - <allcaps> cfs </allcaps> .,3
"cppcheck flagging ut_default_stub as unknown macro <section> in recent runs of cppcheck , the following error is being reported <code> <section> run static analysis workflow <section> should pass <section> github workflow <section> see <url> <section> joseph hickey , vantage systems , inc .",0
