text,label
registration of events with 0x0 0 0 0 filters is not all that helpful <section> registration of all events with <code> filters just loads the system without actually filtering anything . also fills the event filter buffer for the app and likely drops some since default limit is <number> . <section> remove zero entries from initialization and add a filter when / if needed ( or operationally via command ) . <section> none <section> none <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps>,2
apply latest copyright header <section> updated copyright header <section> update <section> none <section> none <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps>,1
"recommend using fcncode ( instead of commandcode ) terminology in the code the current implementation of the sample app mixes terminology , calling the field which identifies a command a <code> <url> whereas the <allcaps> cfe </allcaps> apis call it a <code> . since this app is the starting point for many people , it might make sense to use consistent terminology . since the <allcaps> cfe </allcaps> apis call it a <code> , it seems like the code should too .",2
update to preferred unit test patterns <section> uses lower level macros where generic output is preferred . <section> use macros with default outputs . <section> none <section> none <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps>,2
"return value of cfe_msg_getmsgid is not checked during processcommandpacket or verifycmdlength <section> cfe_msg_getmsgid returns a status value to indicate success or failure of the call , but neither of the usages in the sample app check if it is successful nor do they state that the return value is ignored by design . <section> n / a <section> sample app should either make use of the return value to verify success or should note the reason why this is not being done . <section> <url> <url> <section> n / a <section> alan gibson <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps> <number>",2
"overrun warning false alarm for cfe_msg_message_t <section> overrunning struct type cfe_msg_message_t of <number> bytes by passing it to a function which accesses it at byte offset <number> using argument 2 0 ul . <section> fix overrun <section> <url> <section> coverity : <url> <section> ariel adams , <allcaps> asrc </allcaps> federal",2
"update cfe_msg_message_t conversions to use cfe_msg_ptr macro <section> in nasa / cfe # <number> introduces a <code> macro which converts a cmd / tlm header object to a <code> pointer , which is intended to be used rather than assuming a specific member name ( e . g . <code> ) . <section> use the macro instead of assuming <code> member name . <section> required when using generated headers , as the member name may not be "" msg "" or may be further encapsulated . <section> joseph hickey , vantage systems , inc .",2
"improve consistency in application of cfe_sb_msgidtovalue / valuetomsgid conversions <section> a <code> value , like other ids , is supposed to be a unique type / opaque value that identifies a message within the sb application context . although it is currently implemented using an integer ( <code> specifically ) application should not assume this . instead , a set of macros and inline conversion functions ( cfe_sb_msgidtovalue and cfe_sb_valuetomsgid ) are provided for when the application needs to interpret the value as an integer for a valid purpose . <section> add conversions where they are currently missing <section> see nasa / cfe # <number> for full info . a separate issue + pr will be submitted for each framework app . <section> joseph hickey , vantage systems , inc .",2
"need to check the status of cfe_tbl_load ( ) call <section> sample_app does not actually check the status returned by the call to <code> . as a result , if the filename is wrong or missing , it is not obvious that the app has not initialized itself fully , because it still prints the "" <allcaps> sample </allcaps> app initialized "" message as usual . <section> start <allcaps> cfe </allcaps> framework as normal but without the sample app table file present in the / cf directory . the sample app still starts "" successfully "" as reported in the message but the table is not loaded . <section> the app should not report that it initialized if the table did not load . <section> the status is saved to a local variable here , but nothing is done with it : <url> <section> ubuntu <number> <section> surprising that this is not reported by static analysis , as it seems to be a case of variable assignment without use . also worth noting that table services itself _does_ send an event about the failure to load the table , but it does not have much detail : <code> if <allcaps> osal </allcaps> debug is enabled ( osal_config_debug_printf ) then the user does get a message on the console , at least on linux , with more detail ( "" no such file or directory "" ) . <section> joseph hickey , vantage systems , inc .",2
fix non - compliant header guards <section> leading <code> is reserved <section> replace with pattern used in <allcaps> osal </allcaps> <section> none <section> none <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps>,2
