text,label
registration of events with 0x0 0 0 0 filters is not all that helpful <section> registration of all events with <code> filters just loads the system without actually filtering anything . also fills the event filter buffer for the app and likely drops some since default limit is <number> . <section> remove zero entries from initialization and add a filter when / if needed ( or operationally via command ) . <section> none <section> none <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps>,2
apply latest copyright header <section> updated copyright header <section> update <section> none <section> none <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps>,1
apply header guard standard formatting <section> nonstandard guard used <section> apply standard <section> none <section> none <section> jacob hageman - <allcaps> nasa </allcaps> / <allcaps> gsfc </allcaps>,2
"overrun warning false alarms in to_lab_app . c <section> out - of - bounds access ( <allcaps> overrun </allcaps> ) in to_lab_app . c <section> fix overruns <section> overrunning struct type cfe_msg_message_t of <number> bytes by passing it to a function which accesses it at byte offset <number> using argument 2 0 ul . <url> overrunning struct type cfe_msg_message_t of <number> bytes by passing it to a function which accesses it at byte offset <number> using argument 8 0 ul . <url> overrunning array pipename of <number> bytes by passing it to a function which accesses it at byte offset <number> . <url> overrunning array totlmpipename of <number> bytes by passing it to a function which accesses it at byte offset <number> . <url> <section> coverity : <url> <section> ariel adams , <allcaps> asrc </allcaps> federal",2
"update cfe_msg_message_t conversions to use cfe_msg_ptr macro <section> in nasa / cfe # <number> introduces a <code> macro which converts a cmd / tlm header object to a <code> pointer , which is intended to be used rather than assuming a specific member name ( e . g . <code> ) . <section> use the macro instead of assuming <code> member name . <section> required when using generated headers , as the member name may not be "" msg "" or may be further encapsulated . <section> joseph hickey , vantage systems , inc .",2
"improve consistency in application of cfe_sb_msgidtovalue / valuetomsgid conversions <section> a <code> value , like other ids , is supposed to be a unique type / opaque value that identifies a message within the sb application context . although it is currently implemented using an integer ( <code> specifically ) application should not assume this . instead , a set of macros and inline conversion functions ( cfe_sb_msgidtovalue and cfe_sb_valuetomsgid ) are provided for when the application needs to interpret the value as an integer for a valid purpose . <section> add conversions where they are currently missing <section> see nasa / cfe # <number> for full info . a separate issue + pr will be submitted for each framework app . <section> joseph hickey , vantage systems , inc .",2
"remove references to cfe_es_registerapp <section> as part of nasa / osal # <number> and nasa / cfe # <number> the registration apis are getting fully deprecated and removed . applications no longer need to call os_taskregister , cfe_es_registerapp , or cfe_es_registerchildtask . <section> remove references to these functions . <section> will be required with nasa / osal # <number> and nasa / cfe # <number> <section> joseph hickey , vantage systems , inc .",2
"fix # <number> , add contributing guide <section> fix # <number> added a contributing guide that links to the main cfs contributing guide . <section> users should be able to view the contributing guide contents easily from the to_lab repo . <section> ariel adams , <allcaps> asrc </allcaps> federal",1
"add contributing guide <section> add a contributing guide for the to_lab repo . <section> create a contributing guide markdown file . in the guide , add a link to the cfs contributing guide . <section> ariel adams , <allcaps> asrc </allcaps> federal",1
"applications should use all - inclusive "" cfe . h "" header <section> the <allcaps> cfe </allcaps> documentation recommends that applications use the supplied <code> header which in turn provides all <allcaps> cfe </allcaps> core , <allcaps> psp </allcaps> , and <allcaps> osal </allcaps> apis as well as mission config . because some header names are getting changed in nasa / cfe # <number> , including the headers individually becomes a problem . <section> change to using the <code> all - inclusive header , which makes ci_lab work with the new directory structure , and should avoid future issues , and it matches what the documentation recommends . <section> change <code> - > <code> <section> needed for nasa / cfe # <number> <section> joseph hickey , vantage systems , inc .",2
