Title,Body,Labels,URL
CSV File Import Failure,"When trying to import CSV files through the command line and GUI, the files fail to fully import. The CSV files have been created by C_struct_to_CSV_conversion, and the issues seem to stem around structs that have arrays as parameters.

### Command Line
Structs in the CSV file will import properly up until the first struct to contain an array. Once a struct with an array is reached, a table will be created for it but no data will be imported. Any structs in the file listed afterwards will not be imported at all.

The following examples are errors that have appeared when attempting to import a CSV file through the command line: 
> CCDD : Invalid Input : Invalid characters in table 'CS_TableNameCmd_t' for column 'Array Size'; characters consistent with input type 'Array index' expected

> CCDD : Invalid Input : Index: 13, Size: 13

The command used: 
`$ java -jar CCDD_beta.jar -project myproject -host localhost -user myuser -password mypassword -import 'importFileType CSV -filename myfile' -shutdown`

### GUI
When attempting to import through the GUI,  a table is created for each struct. However, with structs containing arrays, all parameters will be imported up to the array itself and any parameters afterwards fail to import. Structs without arrays are imported normally.

Example data for an import:
<img width=""413"" alt=""image"" src=""https://github.com/nasa/CCDD/assets/128635337/ac17d150-e98b-4082-8bb7-7dc889e69e0b"">

Actual import:
<img width=""498"" alt=""image"" src=""https://github.com/nasa/CCDD/assets/128635337/1fd31888-3ccf-4889-841d-a8bcc3543e14"">
",,https://github.com/nasa/CCDD/issues/102
Error when exporting XTCE files from command line,"When attempting to export XTCE files from the command line, the following error occurs:

```
CCDD : CCDD Error : An unanticipated error occurred; cause 'java.lang.String cannot be cast to CCDD.CcddConstants$EndianType'  Error trace:   CcddXTCEHandler: exportTables() line 2656   CcddFileIOHandler: exportSelectedTables() line 3748   CcddCommandLineHandler: doCommand() line 1665   CcddCommandLineHandlerCommandHandler: handler() line 391   CcddCommandLineHandler: parseCommand() line 2795   CcddCommandLineHandler: parseCommand() line 2690   CcddMain: parseDbSpecificCommandLineCommands() line 978   CcddDbControlHandler: openDatabase() line 2760   CcddDbControlHandler: openDatabase() line 2516   CcddDbControlHandler: openDatabase() line 2500   CcddMain: () line 422   CcddMain: run() line 450
```

This is the command that generates the above error:
`$ java -jar CCDD.jar -project myproject -host localHost -user ccdduser -password ccdd -export ""-format xtce -tablepaths test_table -filepath test_xtce_output -version 1.0"" -shutdown`

This seems to only occur for XTCE format, and not when exporting csv or json files. Exporting from the GUI presents no issues.",,https://github.com/nasa/CCDD/issues/101
Fixed permissions for *nix systems.,Many of the .java files and various documents had an executable bit set. This update simply resets the permissions to a more appropriate 644 on *nix systems.,,https://github.com/nasa/CCDD/pull/100
"I mistakenly thought this was an update to a codelab, instead of an update to the actual test framework. Android DevRel doesn't own this repository, so I'm not sure we should be the ones to update it.","អ្នកប្រហែលជាចូលចិត្ត ស្បែក នេះ៖ ""iOS 14.5 by NT ""។ ទាញយកវានៅទីនេះ៖ https://www.realme.com ពី @Theme Stores Uploading - [ ] - 2022-06-22-214548188.mp4 …@```

```",,https://github.com/nasa/CCDD/issues/99
Options click ,https://github.com/pettarin/fsfs3/releases/download/v1.0.0/fsfs3_ebooks_v1.0.0.zip,,https://github.com/nasa/CCDD/issues/98
> https://github.com/pypa/packaging.python.org/blob/main/source/key_projects.rst#L97-L97,"> https://github.com/pypa/packaging.python.org/blob/main/source/key_projects.rst#L97-L97

Start 

_Originally posted by @raksme in https://github.com/raksme/Facebook-social-/issues/3#issuecomment-1159745035_",,https://github.com/nasa/CCDD/issues/97
EDS Format?,"This is more of a question than an issue.

The EDS export appears to refer to the CCSDS standard: <DataSheet xmlns=""http://www.ccsds.org/schema/sois/seds"" ... >
But the format does not comply with the current version of the Blue Book: [CCSDS 876.0-B-1](https://public.ccsds.org/Pubs/876x0b1.pdf) 
Most notably, the <Namespace> element is not in that spec, and it doesn't appear to handle PackageFile and Package elements.

I'm new to this, so maybe I'm using it wrong.
I'm trying to use CCDD to import/export EDS files compatible with:
https://github.com/jphickey/cfe-eds-framework
as embedded in:
https://github.com/OpenSatKit/cfsat/

The cfsat project does not have any DataSheet EDS documents, just packages, and CCDD doesn't like those files. 

Is there some other tool that is being used to convert CCDD generated XTCE or EDS file into a cFS build?",,https://github.com/nasa/CCDD/issues/96
Export Full DB and Import to New Project Fails (CSV and JSON),"**Version:**
![version](https://user-images.githubusercontent.com/101198782/157273928-bc15535b-9906-4326-9db8-c4c773d8e45b.PNG)
Git commit: f58e1f4b6ce12d2d2 Version 2.0.29.  Added back Halt dialog...

**Expected:**
If I export a full database in CSV or JSON, I expect to be able to create a new project, import the file, and restore the database to the same state without errors.

**Result:**
Using CSV files, there are errors that result in the new project being different than the original database.
Using JSON files, the import fails completely.

**Steps:**
1. Create and open a new project
2. Run through the steps in the tutorial (except the CSV table import) to create a project with macros and structures and commands
3. Export to CSV with 'Export Full Database' and 'Single File' and select all Tables. Full settings shown below.
![export](https://user-images.githubusercontent.com/101198782/157270381-5acb7af8-24cf-4e0a-9ede-a49d68189190.png)
[Step3.csv](https://github.com/nasa/CCDD/files/8207512/tutorial.csv)
4. Repeat export with JSON using same settings.
[tutorial.json.txt](https://github.com/nasa/CCDD/files/8207546/tutorial.json.txt)
5. Create and open a new project for CSV Import.
6. Import the CSV file generated in Step 3 and check 'Importing and Entire Database'
7. The following errors are seen:
![lowerlimit](https://user-images.githubusercontent.com/101198782/157271182-13324d29-422a-4917-a9c5-19de3c4234fe.png)
![macro](https://user-images.githubusercontent.com/101198782/157271183-6c386ce8-320e-4edd-abaf-d7f19740ea8b.png)
8. Export the full database with the same settings as above to generate files to compare. Files are attached.
[Step3.csv](https://github.com/nasa/CCDD/files/8207512/tutorial.csv)
[Step8.csv](https://github.com/nasa/CCDD/files/8207513/import_csv.csv)
9. Create and open a new project for JSON Import.
10. Import the JSON file generated in Step 4 and check 'Importing and Entire Database'
11. The following error is seen:
![json](https://user-images.githubusercontent.com/101198782/157271756-a5c2dd92-d4ae-4afc-b2bf-fca18e5f9805.PNG)
12. Unable to export new JSON file because no tables are present.
13. Log file is attached
[CCDD.log](https://github.com/nasa/CCDD/files/8207592/CCDD.log)
",,https://github.com/nasa/CCDD/issues/95
Cannot Import/Export EDS/XTCE,"Hello,

I was able to complete the tutorial (thank you again for the help with #93) and am now trying to interface CCDD with my cFS repository.

I first attempted to import a provided EDS from the cFS repo, [base_types.xml](https://github.com/nasa/cFE/blob/b66661cc6e8f695d5ca9fa56217f58a291d5884d/modules/core_api/eds/base_types.xml), which resulted in nothing happening. I can see in logs it attempts to import but I do not get any indication of errors. (Note: I tried with both .xml and .eds extensions)
```
localhost:5432|cFS|tstern|11/10/2021 09:56:20.453|Status|Importing table(s) from '/home/tstern/NASA/cFS/cfe/fsw/cfe-core/eds/base_types.eds'
localhost:5432|cFS|tstern|11/10/2021 09:56:20.453|Command|SELECT 1 FROM pg_tables WHERE tablename ~* E'^__groups$';
localhost:5432|cFS|tstern|11/10/2021 09:56:20.454|Command|SELECT * FROM __groups ORDER BY OID;
```
I see the exact same behavior when trying to import XTCE as well.

Trying to export XTCE or EDS, I do not get any output to logs at all and no indication of a failure. 

C_Headers and CSV both work without issue on import/export. I have not tested JSON import but export works there as well.

I did notice that the default schema locations in the Preferences->Other tab for both XTCE and EDS were 404 links so I updated those to live xsd pages which could be part of my issue if I did incorrectly. For reference I used ""https://www.omg.org/spec/XTCE/20180204/SpaceSystem.xsd"" as my XTCE xsd. 

I also noticed this is very similar to the behavior seen in #91

I would greatly apricate any and all help and am happy to assist in whatever way possible. 
",,https://github.com/nasa/CCDD/issues/94
Missing Primitive Data Types,"Still working through the provided tutorial. 

I got to step 3.5.1, where you have to select a primitive data type for your new variable; however I do not have any data types available in my tool.

Going to manage data types also shows no available data types, primitive or otherwise. 

Do we have to create the primitive data types by hand or should they be automatically populated?

If populated, is that something I might have missed during the install or maybe a misplaced environment variable that could be causing this?

Any and all help is greatly appreciated. Thank you.",,https://github.com/nasa/CCDD/issues/93
