Title,Body,Labels,URL
"Fix #401, use valid size when calling CFE_MSG_Init","**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/CF/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Use the offset of the payload start, which by definition must include at least enough space for the primary header.  This ensures that the value will pass any size check enforced in CFE_MSG_Init.

Fixes #401

**Testing performed**
Found and Tested as part of the stakeholder software delivery

**Expected behavior changes**
CF sends PDUs successfully (with valid msgid)

**Contributor Info - All information REQUIRED for consideration of pull request**
Joseph Hickey, Vantage Systems, Inc.","CCB:Approved, Equuleus-rc1",https://github.com/nasa/CF/pull/402
CF invokes CFE_MSG_Init with size of 0,"**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/CF/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Describe the bug**
The 3rd parameter of `CFE_MSG_Init()` is supposed to indicate the actual size of the structure/buffer being initialized.  In general, this must be _at least_ the size of the primary header in order to be valid.

CF (at first) passes this as 0, then overwrites this with the real size later on.

The problem is, a size of 0 is totally invalid, and to be correct, `CFE_MSG_Init()` should not be writing any values into a structure that is smaller than the size of a primary header, as this is an error.  Writing any value into a struct of size 0 is a write-beyond-bounds error, and thus the fact that the default CFE_MSG_Init() even allows this is a bug.

**To Reproduce**
Run CF with a proper implementation of `CFE_MSG_Init()` - i.e. one that verifies the size is valid.  When passed a size of 0, none of the header fields will be set (correct behavior).  This results in the buffer being in an indeterminate state, and the MsgId will not be set.

**Expected behavior**
The MsgId needs to be set by the call to `CFE_MSG_Init`

**Code snips**
https://github.com/nasa/CF/blob/38cfee8a2284fc7605e6fb2b2556b528dcf62499/fsw/src/cf_cfdp_sbintf.c#L120-L121

**Reporter Info**
Joseph Hickey, Vantage Systems, Inc.
",bug,https://github.com/nasa/CF/issues/401
"Fix #288, Remove unnecessary `CF_UnionArgs_Payload_t` union","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- Fixes #288 
`CF_UnionArgs_Payload_t` has been removed, given that only a single member of the 3 is used in CF. That member variable - `byte` - has been moved into the `CF_UnionArgsCmd_t` struct, which was the only place where `CF_UnionArgs_Payload_t` was used.

- Re-introduced from https://github.com/nasa/CF/pull/341. https://github.com/nasa/CF/issues/393, https://github.com/nasa/CF/pull/395 reverted this PR due to integration issues. Resubmitting here for consideration in next release.

**Testing performed**
GitHub CI actions (incl. Build + Run, Unit Tests etc.) all passing successfully.

**Expected behavior changes**
No impact on logic.
Code is simplified and clearer.

**Contributor Info**
Avi Weiss @thnkslprpt",Equuleus-rc2,https://github.com/nasa/CF/pull/400
"Fix #382, Align CF Command Counter implementation to cFS standard","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- Fixes #382
  - Command counters renamed
    - `cmd` renamed to `CommandCounter`
    - `err` renamed to `CommandErrorCounter`
  - Command counters changed from size 16 to size 8, and moved out of their own struct into the HK packet directly (this is how all other cFS components/apps implemented the counters)
  - `hk` renamed to `HkPacket` (most cFS components/apps use this common name for the housekeeping packet)

Note: if the `CamelCase` is an issue, can still implement these changes as `snake_case`, although I guess now is as good a time as any to start converting CF variables to `CamelCase`. If so I can open a new issue to flag that all variables should be changed over - all at once (if someone wants to implement that) or gradually as changes are made.
CF is the only cFS app/component to use `snake_case` for naming variables.

Re-introduced from #383.#394, #397 reverted this PR.

**Testing performed**
GitHub CI actions all passing successfully (incl. Build + Run, Unit Tests etc.).

**Expected behavior changes**
`Command`/`CommandError` counters now held directly in the HK packet, instead of through an additional struct member.

This PR improves consistency across cFS, and makes future maintenance easier as variables are named and located as expected.

**Contributor Info**
Avi Weiss @thnkslprpt",Equuleus-rc2,https://github.com/nasa/CF/pull/399
"Fix #288, Remove unnecessary CF_UnionArgs_Payload_t union","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Fixes #288 
`CF_UnionArgs_Payload_t` has been removed, given that only a single member of the 3 is used in CF. That member variable - `byte` - has been moved into the `CF_UnionArgsCmd_t` struct, which was the only place where `CF_UnionArgs_Payload_t` was used.
Re-introduced from #341. #393, #395 reverted this PR.

**Testing performed**
GitHub CI actions (incl. Build + Run, Unit Tests etc.) all passing successfully.

**Expected behavior changes**
No impact on logic.

**Contributor Info**
@thnkslprpt",Equuleus-rc2,https://github.com/nasa/CF/pull/398
"Fix #394, revert merge of PR #383.","**Checklist (Please check before submitting)**

* [X] I reviewed the [Contributing Guide](https://github.com/nasa/CF/blob/main/CONTRIBUTING.md).
* [X] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Fixes #394.

**Expected behavior changes**
Reverts #383.

**Contributor Info - All information REQUIRED for consideration of pull request**
Dylan Z. Baker - NASA/GSFC","CCB:Approved, Equuleus-rc1",https://github.com/nasa/CF/pull/397
Revert,"**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/CF/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
-Fixes #393 
-Fixes #394 

**Testing performed**
cert_testbed/cfe_bvt  `./runCTFscript.sh cFE_CF*`

**Expected behavior changes**
No integration issues

**System(s) tested on**
 - OS: Ubuntu 20.04

**Additional context**
N/A

**Third party code**
N/A

**Contributor Info - All information REQUIRED for consideration of pull request**
Justin Figueroa, Vantage Systems
",,https://github.com/nasa/CF/pull/396
"Fix #393, revert merge of PR #341.","**Checklist (Please check before submitting)**

* [X] I reviewed the [Contributing Guide](https://github.com/nasa/CF/blob/main/CONTRIBUTING.md).
* [X] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Fixes #393.

**Expected behavior changes**
Reverts #341.

**Contributor Info - All information REQUIRED for consideration of pull request**
Dylan Z. Baker - NASA/GSFC","CCB:Approved, Equuleus-rc1",https://github.com/nasa/CF/pull/395
Move PR #383 into Equuleus-rc2,"**Checklist (Please check before submitting)**

* [X] I reviewed the [Contributing Guide](https://github.com/nasa/CF/blob/main/CONTRIBUTING.md).
* [X] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Describe the bug**
There were some integrations issues with this pull request.

**Expected behavior**
PR #383 is reverted and a new pull request is created to integrate it into the following release.

**Reporter Info**
Dylan Z. Baker/NASA GSFC",,https://github.com/nasa/CF/issues/394
Move PR #341 into Equuleus-rc2,"**Checklist (Please check before submitting)**

* [X] I reviewed the [Contributing Guide](https://github.com/nasa/CF/blob/main/CONTRIBUTING.md).
* [X] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Describe the bug**
There were some integrations issues with this pull request.

**Expected behavior**
PR #341 is reverted and a new pull request is created to integrate it into the following release.

**Reporter Info**
Dylan Z. Baker/NASA GSFC",CCB:Approved,https://github.com/nasa/CF/issues/393
