Title,Body,Labels,URL
"Fix #74, cmd and tlm messages use payload sub-structure","**Checklist (Please check before submitting)**

* [X] I reviewed the [Contributing Guide](https://github.com/nasa/CS/blob/main/CONTRIBUTING.md).
* [X] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Fix #74, adds Payload substructure to all command and telemetry messages

**Testing performed**
unit testing

**Expected behavior changes**
 no impact to behavior

**System(s) tested on**
 - OS: Ubuntu 18.04


**Contributor Info - All information REQUIRED for consideration of pull request**
Haven Carlson - NASA
",CCB:Ready,https://github.com/nasa/CS/pull/88
"Fix #75, Moved command validation out of command functions","**Checklist (Please check before submitting)**

* [X] I reviewed the [Contributing Guide](https://github.com/nasa/CS/blob/main/CONTRIBUTING.md).
* [X] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Fixes #75, validate command before calling the command function instead of after.

**Testing performed**
Unit testing

**Expected behavior changes**
no impact to behavior

**System(s) tested on**
 - OS: Ubuntu 18.04

**Contributor Info - All information REQUIRED for consideration of pull request**
Haven Carlson - NASA
","CCB:Approved, Equuleus-rc2",https://github.com/nasa/CS/pull/87
"Fix #26, Use `CFE_ES_MemAddress_t` instead of `cpuaddr` in tables/tlm/cmd structs","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- Fixes #26
  - Convert `cpuaddr` types in tables/cmd/tlm structs to fixed-size `CFE_ES_MemAddress_t`
    - removed the `Filler32` in `CS_Res_EepromMemory_Table_Entry_t` (I assume it was there to align to the 64-bit `cpuaddr` which is is longer necessary (unless/until `CFE_ES_MemAddress_t` and `CFE_ES_MemOffset_t` are redefined as 64-bits in https://github.com/nasa/cFE/issues/2093. Another option is to just leave it in now for future compatibility with 64-bit alignment.

**Testing performed**
GitHub CI actions all passing successfully (incl. Build + Run, Unit/Coverage Tests etc.).

**Expected behavior changes**
Exposed structs will no longer change size based on the definition of `cpuaddr`.

**Contributor Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/CS/pull/86
"Fix #84, Remove side-effects and superfluous initializations","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- Fixes #84
  - updates a couple of generic types to their typedefs
  - removes superfluous initializations (converts them to simple declaration/definition)
  - adds `Status`/`Result` variable to remove side-effects inside conditionals where it makes sense

**Testing performed**
GitHub CI actions all passing successfully (incl. Build + Run, Unit/Functional Tests etc.).

**Expected behavior changes**
No change to behavior.
Code will be more readable, clearer and easier to maintain.

**Contributor Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/CS/pull/85
"Superfluous assignments, side-effects. type updates etc.","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Describe the bug**
Some issues that can be easily cleaned up to improve readability and ease maintenance by simplifying the code.
- superfluous initializations (when the variable is immediately or always assigned a value before being used)
- side-effects in conditionals that can be easily removed **_and_** end up more readable
- a couple of types can be updated (`size_t`, `CFE_MSG_FcnCode_t`)

**Code snips**
Can be `size_t`:
https://github.com/nasa/CS/blob/bd4dd1ce688e9af683e63132b37306b21f320ab2/fsw/inc/cs_tbldefs.h#L370

Can be `CFE_MSG_FcnCode_t`:
https://github.com/nasa/CS/blob/bd4dd1ce688e9af683e63132b37306b21f320ab2/fsw/src/cs_app.c#L268

Several functions with multiple CS calls that could be made clearer and more compliant with an additional Status/Result variable. e.g.:
https://github.com/nasa/CS/blob/bd4dd1ce688e9af683e63132b37306b21f320ab2/fsw/src/cs_app_cmds.c#L215-L241

**Expected behavior**
Clear up where it makes sense.

**Reporter Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/CS/issues/84
"Fix #82, Convert integers holding boolean truth values to `bool`","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- Fixes #82
  - 3 integer variables which only ever hold boolean truth values have been converted to `bool`

**Testing performed**
GitHub CI actions all passing successfully.

**Expected behavior changes**
No change to behavior.
- intent of these variables is more clear
- improved type-safety
- eases future maintainability

**Contributor Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/CS/pull/83
Integers representing boolean truth values should be converted to `bool`,"**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Describe the bug**
There are a few variables in CS represented by integers when they only ever hold boolean `true`/`false` values.

**Code snips**
https://github.com/nasa/CS/blob/bd4dd1ce688e9af683e63132b37306b21f320ab2/fsw/inc/cs_tbldefs.h#L84
https://github.com/nasa/CS/blob/bd4dd1ce688e9af683e63132b37306b21f320ab2/fsw/inc/cs_msg.h#L51-L52

**Expected behavior**
Integers representing boolean truth values should be converted `bool` - this makes the intent clearer and improves maintainability.

**Reporter Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/CS/issues/82
"Fix #80, Update Command Code underscores for consistency","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- Fixes #80  
  - A few command codes with inconsistent underscores separating words were updated to better fit the cFS/cFE naming conventions

**Testing performed**
GitHub CI actions all passing successfully (incl. Unit Tests and Build + Run).

**Expected behavior changes**
No change to behavior.
Improved consistency and clarity.

**Contributor Info**
Avi Weiss @thnkslprpt","enhancement, CCB:Approved, Equuleus-rc1",https://github.com/nasa/CS/pull/81
Command Code/Enum naming convention inconsistencies,"**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Describe the bug**
- Similar to LC issue: https://github.com/nasa/LC/issues/70
  - CS also has a few command code macros that are not consistent with the enumeration identifiers or the command function name (all are cases of 2 words being combined into 1).

**Code snips**
`CS_OneShotCmd()`
`CS_OneShotCmd_t`
`CS_ONESHOT_CC` (should be `CS_ONE_SHOT_CC`)

`CS_EnableCfeCoreCmd()`
`CS_ENABLE_CFECORE_CC` (should be `CS_ENABLE_CFE_CORE_CC`)

...and a couple more.

**Expected behavior**
Identifiers should conform to the cFS/cFE naming convention with regard to consistent use of underscores to make mnemonics clear and readable.

**Reporter Info**
Avi Weiss @thnkslprpt",Equuleus-rc1,https://github.com/nasa/CS/issues/80
"Fix #78, Convert `int32` return codes and variables to `CFE_Status_t`","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- Fixes #78 
  - `int32` return codes converted over to `CFE_Status_t` (incl. in the test code)
  - `int32` `status`/`return` variables holding cFE return codes converted to `CFE_Status_t` (incl. in the test code)
  - removed the `CS_SUCCESS` macro (and replaced with `CFE_SUCCESS)` which was in the ""error codes"" section (there were only a few uses anyway). It seems clearer to just use `CFE_SUCCESS` for all success returns in the app and from calls to CFE etc.
  - removed some trailing whitespace from the yaml files to avoid any future warnings

_Does `CS_SUCCESS` need to be deprecated even though it's equivelent to `CFE_SUCCESS,` i.e. `== 0`)?_

**Testing performed**
GitHub CI actions all passing successfully.

**Expected behavior changes**
No change to behavior (no types have actually changed with this PR).
`CFE_Status_t` is more expressive and improves consistency with cFE/cFS.

**Contributor Info**
Avi Weiss @thnkslprpt","enhancement, CCB:Approved, Equuleus-rc1",https://github.com/nasa/CS/pull/79
