Title,Body,Labels,URL
Non-distinct identifiers static analysis warning,"**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/DS/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Describe the bug**
DS_CloseFileCmd conflict here:
https://github.com/nasa/DS/blob/2a6c6a2df5b2f00915a06f0a5ac30b9c327c725d/fsw/src/ds_cmds.c#L963-L965

**To Reproduce**
Static analysis

**Expected behavior**
Unique identifiers.  TBH calling this variable a Cmd is misleading, it's a pointer to the payload.  Suggest changing to PayloadPtr for all of these command processing routines (which would resolve this issue as well).

**System observed on:**
CodeSonar static analysis

**Additional context**
None

**Reporter Info**
Jacob Hageman - NASA/GSFC",,https://github.com/nasa/DS/issues/115
"Fix #113, Use `size_t` for size parameters and variables","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- Fixes #113
  - Updated a few parameters and local variables which represent size to use the more expressive `size_t` typedef.
    - `DS_TableEntryUnused()` parameter `BufferSize` was signed previous to this change, but it is actually used in DS with `size_t` types being passed in to that parameter
    - Updated loop counter variable `i` in `DS_TableEntryUnused()` to unsigned for clarity/defensiveness

Note: there is a signed/unsigned comparison in `DS_FileWriteData()`, but I know there are many other cases of this in cFS currently.

**Testing performed**
GitHub CI actions all passing successfully (incl. Build + Run, Unit/Functional Tests etc.).

**Expected behavior changes**
No change to overall behavior.
Code is more compliant with relevant coding standards (JPL, MISRA etc. which all prefer the more expressive typedefs where possible).

**Contributor Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/DS/pull/114
Use `size_t` for size parameters/variables,"**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Describe the bug**
A few variables/parameters representing size could be updated to the more expressive `size_t` typedef.

**Code snips**
`DataLength` should be `size_t`:
https://github.com/nasa/DS/blob/2a6c6a2df5b2f00915a06f0a5ac30b9c327c725d/fsw/src/ds_file.h#L121-L127

`MaxFileSize` should be `size_t`:
https://github.com/nasa/DS/blob/2a6c6a2df5b2f00915a06f0a5ac30b9c327c725d/fsw/src/ds_table.h#L353-L357

...and a few other local variables.

**Expected behavior**
Update to `size_t` where possible.

**Reporter Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/DS/issues/113
Fix #111: Use correct length filename for too large test,"**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/DS/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Fixes https://github.com/nasa/DS/issues/111

**Testing performed**
See reproduction steps from linked issue

**Expected behavior changes**
Tests should pass if OSAL_CONFIG_MAX_PATH_LEN is increased

**System(s) tested on**
- Hardware: Intel Xeon CPU E5-2687W v4 @ 3.00GHz
- OS: CentOS 7
- Versions: trunk DS, cFE Draco rc-3

**Additional context**
Add any other context about the contribution here.
Related cFE issue: https://github.com/nasa/cFE/issues/2372


**Contributor Info - All information REQUIRED for consideration of pull request**
Full name and company/organization/center of all contributors (""Personal"" if individual work)
Isaac Rowe, NASA JSC/Jacobs Technology
",Equuleus-rc2,https://github.com/nasa/DS/pull/112
OSAL path length variables cause tests to fail,"**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/DS/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Describe the bug**
A clear and concise description of what the bug is.

For certain values of `OSAL_CONFIG_MAX_FILE_NAME` and `OSAL_CONFIG_MAX_PATH_LEN`, DS tests fail.

**To Reproduce**
Steps to reproduce the behavior:
1. Build cFS distribution with  `OSAL_CONFIG_MAX_FILE_NAME` set to 64 and  `OSAL_CONFIG_MAX_PATH_LEN` set to 128
2. `ctest coverage -VV --test-dir build/intel64/default_intel64/ -R coverage-ds-ds_file`

**Expected behavior**
A clear and concise description of what you expected to happen.
Expect test to pass.

**Code snips**
If applicable, add references to the software.
```
111: [BEGIN] 25 DS_FileCreateName_Test_PathBaseSeqTooLa
111: [ PASS] 25.001 ds_file_tests.c:736 - DS_FileCreateName(FileIndex)
111: [ FAIL] 25.002 ds_file_tests.c:742 - strlen(DS_AppData.DestFileTblPtr->File[FileIndex].Pathname) + strlen(DS_AppData.DestFileTblPtr->File[FileIndex].Basename) + DS_SEQUENCE_DIGITS + strlen(""/"") (64) == DS_TOTAL_FNAME_BUFSIZE (128)
111: [ FAIL] 25.003 ds_file_tests.c:743 - CallCount CFE_EVS_SendEvent() (0) == 1 (1)
111: [ FAIL] 25.004 ds_file_tests.c:744 - context_CFE_EVS_SendEvent[0].EventType (0) == CFE_EVS_EventType_ERROR (3)
111: [ FAIL] 25.005 ds_file_tests.c:745 - context_CFE_EVS_SendEvent[0].EventID (0) == DS_FILE_NAME_ERR_EID (14)
111: [  END] 25 DS_FileCreateName_Test_PathBaseSeqTooLa TOTAL::5     PASS::1     FAIL::4     MIR::0     TSF::0     TTF::0     WARN::0   
111: 
111: [BEGIN] 26 DS_FileCreateName_Test_PathBaseSeqExtTo
111: [ PASS] 26.001 ds_file_tests.c:765 - DS_FileCreateName(FileIndex)
111: [ FAIL] 26.002 ds_file_tests.c:772 - strlen(DS_AppData.DestFileTblPtr->File[FileIndex].Pathname) + strlen(DS_AppData.DestFileTblPtr->File[FileIndex].Basename) + strlen(DS_AppData.DestFileTblPtr->File[FileIndex].Extension) + DS_SEQUENCE_DIGITS + strlen(""/"") (64) == DS_TOTAL_FNAME_BUFSIZE (128
111: [ FAIL] 26.003 ds_file_tests.c:773 - CallCount CFE_EVS_SendEvent() (0) == 1 (1)
111: [ FAIL] 26.004 ds_file_tests.c:774 - context_CFE_EVS_SendEvent[0].EventType (0) == CFE_EVS_EventType_ERROR (3)
111: [ FAIL] 26.005 ds_file_tests.c:775 - context_CFE_EVS_SendEvent[0].EventID (0) == DS_FILE_NAME_ERR_EID (14)
111: [  END] 26 DS_FileCreateName_Test_PathBaseSeqExtTo TOTAL::5     PASS::1     FAIL::4     MIR::0     TSF::0     TTF::0     WARN::0   

111: [BEGIN] 36 DS_FileCloseDest_Test_PlatformConfigMov
111: [ PASS] 36.001 ds_file_tests.c:998 - DS_AppData.FileStatus[FileIndex].FileAge (0) == 0 (0)
111: [ PASS] 36.002 ds_file_tests.c:999 - DS_AppData.FileStatus[FileIndex].FileSize (0) == 0 (0)
111: [ PASS] 36.003 ds_file_tests.c:1000 - DS_AppData.FileStatus[FileIndex].FileName[0] (0) == 0 (0)
111: [ FAIL] 36.004 ds_file_tests.c:1001 - context_CFE_EVS_SendEvent[0].EventID (0) == DS_MOVE_FILE_ERR_EID (61)
111: [ FAIL] 36.005 ds_file_tests.c:1002 - context_CFE_EVS_SendEvent[0].EventType (0) == CFE_EVS_EventType_ERROR (3)
111: [ FAIL] 36.006 ds_file_tests.c:1003 - CallCount CFE_EVS_SendEvent() (0) == 1 (1)
111: [  END] 36 DS_FileCloseDest_Test_PlatformConfigMov TOTAL::6     PASS::3     FAIL::3     MIR::0     TSF::0     TTF::0     WARN::0   

111: [  END] 52 SUMMARY              TOTAL::159   PASS::148   FAIL::11    MIR::0     TSF::0     TTF::0     WARN::0   
111: COMPLETE: 52 tests Segment(s) executed
111: 
111: OS_BSP_Initialize():Maximum user msg queue depth = 1024
1/1 Test #111: coverage-ds-ds_file ..............***Failed    0.01 sec
```

**System observed on:**
 - Hardware: Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz
 - OS: CentOS 7 Linux
 - Versions: draco-rc3 tags for cFE, OSAL, and DS. Also tried with draco-rc4 DS.

**Additional context**
Add any other context about the problem here.
Related cFE issue: https://github.com/nasa/cFE/issues/2372

**Reporter Info**
Full name and company/organization if applicable
Isaac Rowe, JSC/Jacobs Technology
",,https://github.com/nasa/DS/issues/111
"Fix #107, Convert command success events to `INFORMATION` type","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- Fixes #107
  - Updates command events (except Reset - see note below) to `INFO` type rather than `DEBUG` which is the nominal pattern across cFE/cFS although currently there are a couple of apps that don't comply, and a couple of cFE components that only partially comply.

**Note:** cFE and most (but not all) apps leave the Reset command as `DEBUG` - should this remain the case, or should it be changed as well to `INFO`  as the operator might still want to be informed that the Reset command occurred successfully when `DEBUG` events are turned off.

**Testing performed**
GitHub CI actions all passing successfully (incl. Build + Run, Unit/Functional Tests etc.).

**Expected behavior changes**
Align command event types to cFS guidelines as per cFE Developer's Guide [s7.2](https://github.com/nasa/cFE/blob/main/docs/cFE%20Application%20Developers%20Guide.md#72-event-types)

**Contributor Info**
Avi Weiss @thnkslprpt","CCB:Approved, Equuleus-rc1",https://github.com/nasa/DS/pull/110
Check the need of CFE_SB_MessageStringGet() to ensure null term,"              OK to squash the warning but I suspect we also have a null termination concern here.
Recommend to add another issue to check if this should really be `CFE_SB_MessageStringGet()`  (this ensures null term on the output string)

_Originally posted by @jphickey in https://github.com/nasa/DS/pull/108#pullrequestreview-1413729983_
            ",,https://github.com/nasa/DS/issues/109
"Fix #94, Use sizeof destination instead of source","**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/DS/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Fixes #94 

**Testing performed**
Pipeline verification

**Expected behavior changes**
Successful compilation when compiling with -Werror=sizeof-pointer-memaccess

**System(s) tested on**
Pipeline

**Contributor Info - All information REQUIRED for consideration of pull request**
Jose F Martinez Pedraza - NASA GSFC 582
","CCB:Approved, Equuleus-rc1",https://github.com/nasa/DS/pull/108
Convert command success events to INFORMATION type,"**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/DS/blob/main/CONTRIBUTING.md).
* [x] I reviewed the [README file](https://github.com/nasa/DS/blob/main/README.md) to see if the feature is in the major future work.
* [x] I performed a cursory search to see if the feature request is relevant, not redundant, nor in conflict with other tickets.

**Is your feature request related to a problem? Please describe.**
Command success events in DS are `CFE_EVS_EventType_DEBUG`, example:
https://github.com/nasa/DS/blob/64181647ab455653fbc04b20a43406764862673b/fsw/inc/ds_events.h#L284-L287
https://github.com/nasa/DS/blob/64181647ab455653fbc04b20a43406764862673b/fsw/src/ds_cmds.c#L106

cFE pattern (AFAIK) is event success creates `CFE_EVS_EventType_INFORMATION`.

**Describe the solution you'd like**
Since these are triggered by command only, flooding isn't anticipated and it's useful to see the event nominally.  Would then match nominal pattern in cFE.

**Describe alternatives you've considered**
Change all command success responses to DEBUG, or even add a new command success type.  Consistency is key.

**Additional context**
In concert w/ reporting time stamps in event messages, this makes it easier to quickly verify RTS timing/behavior.  Even without it in the log, the time tagged event messages provide a similar benefit.

**Requester Info**
Jacob Hageman - NASA/GSFC",,https://github.com/nasa/DS/issues/107
Reject duplicate message ID in filter table validation,"**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/DS/blob/main/CONTRIBUTING.md).
* [x] I reviewed the [README file](https://github.com/nasa/DS/blob/main/README.md) to see if the feature is in the major future work.
* [x] I performed a cursory search to see if the feature request is relevant, not redundant, nor in conflict with other tickets.

**Is your feature request related to a problem? Please describe.**
DS doesn't reject duplicate message ID entry in the filter table.  Although SB does report the duplicate:
```
66/1/CFE_SB 7: Duplicate Subscription,MsgId 0x901 on DS_CMD_PIPE pipe,app DS
```
When DS does the lookup it only returns the first hit:
https://github.com/nasa/DS/blob/64181647ab455653fbc04b20a43406764862673b/fsw/src/ds_table.c#L1120-L1135

**Describe the solution you'd like**
Since duplicate message ID in filter table isn't supported, should clearly reject an attempt by the user to do so.  I suggest failing filter table validation.

**Describe alternatives you've considered**
None

**Additional context**
Can send to multiple destinations from a single entry, and supports changing those destinations via command so no additional functionality needed there.  Just should reject multiple filter table entries with the same MID (user error).

**Requester Info**
Jacob Hageman - NASA/GSFC",,https://github.com/nasa/DS/issues/106
