Title,Body,Labels,URL
"Fix #109, Uninitialized FileStats in FM_GetVolumeFreeSpace","**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/FM/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- Fix #109

**Testing performed**
CI

**Expected behavior changes**
No static analysis uninitialized variable warnings

**System(s) tested on**
CI

**Additional context**
None

**Third party code**
None

**Contributor Info - All information REQUIRED for consideration of pull request**
Jacob Hageman - NASA/GSFC","CCB:Approved, Equuleus-rc2",https://github.com/nasa/FM/pull/110
Uninitialized FileStats in FM_GetVolumeFreeSpace,"**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/FM/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Describe the bug**
Uninitialized variable warning in CodeSonar:
https://github.com/nasa/FM/blob/98283b6f71122dc9b3ecfe4be966b5b282ba22ae/fsw/src/fm_cmd_utils.c#L536

from:
https://github.com/nasa/FM/blob/98283b6f71122dc9b3ecfe4be966b5b282ba22ae/fsw/src/fm_cmd_utils.c#L541

**To Reproduce**
Run static analysis

**Expected behavior**
No uninitialized variable warnings

**System observed on:**
Static analysis

**Additional context**
None

**Reporter Info**
Jacob Hageman - NASA/GSFC",,https://github.com/nasa/FM/issues/109
"Fix #86, Removes extraneous boolean logic in concat command","**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/FM/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- Fixes #86
  - Removes boolean logic tracking file status which results in reduction of cyclomatic complexity to 9 from 17 by bundling logic in one single nested if/else according to file status.
 
**Testing performed**
- lcov
- build
- cert_testbed cFE_EVS_ConcatFilesCmd.json functional test successful

**Expected behavior changes**
No impact to behavior

**System(s) tested on**
 - OS: Ubuntu 22.04

**Additional context**
Could be argued that the concat function is more readable as-is, but this way, the NASA recommendation of 15 max cyclomatic complexity per function is satisfied. 

**Third party code**
N/A

**Contributor Info - All information REQUIRED for consideration of pull request**
Justin Figueroa, Vantage Systems
","enhancement, CCB:Approved, Equuleus-rc1",https://github.com/nasa/FM/pull/108
"Fix #106, Consolidate HK variables that are duplicated in the global struct","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- Fixes #106 
  - Consolidates the variables common to both the global struct and the housekeeping packet to only exist (and be updated/accessed) in the housekeeping struct

**Testing performed**
GitHub CI actions all passing successfully (incl. Build + Run, Unit/Functional Tests etc.).

**Expected behavior changes**
No change to behavior other than storage location of the variables as outlined above.

Simpler pattern, reduces duplication and eases future maintenance.

**Contributor Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/FM/pull/107
HK struct members that are duplicated in the Global struct could be consolidated,"**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Describe the bug**
All of the housekeeping struct members except `NumOpenFiles` are duplicated (identically) in the global struct.

**Code snips**
https://github.com/nasa/FM/blob/e7afedcfdf9ba50eac8a9bdda6ce70a4d1ef709d/fsw/inc/fm_msg.h#L547-L563
https://github.com/nasa/FM/blob/e7afedcfdf9ba50eac8a9bdda6ce70a4d1ef709d/fsw/src/fm_app.h#L66-L79

**Expected behavior**
Consolidate duplicated struct members to only exist (and be updated/accessed) in the housekeeping struct.

This more parsimonious approach is taken by several of the apps (CF, CS, MM, SC) as well as EVS and SB in the cFE.

**Reporter Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/FM/issues/106
"Fix #104, Make padding explicit in `FM_MonitorReportEntry_t` & `FM_ChildQueueEntry_t`","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- Fixes #104
  - Implicit padding being added in `FM_MonitorReportEntry_t` & `FM_ChildQueueEntry_t` has been made explicit

**Testing performed**
GitHub CI actions all passing successfully (incl. Build + Run, Unit/Functional Tests etc.).

**Expected behavior changes**
No change.

**Contributor Info**
Avi Weiss @thnkslprpt","CCB:Approved, Equuleus-rc1",https://github.com/nasa/FM/pull/105
Compiler-added implicit padding in `FM_MonitorReportEntry_t` & `FM_ChildQueueEntry_t`,"**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Describe the bug**
It seems that there is implicit padding being added by the compiler in `FM_MonitorReportEntry_t` & `FM_ChildQueueEntry_t`.

**Code snips**
https://github.com/nasa/FM/blob/e7afedcfdf9ba50eac8a9bdda6ce70a4d1ef709d/fsw/inc/fm_msg.h#L512-L518
https://github.com/nasa/FM/blob/e7afedcfdf9ba50eac8a9bdda6ce70a4d1ef709d/fsw/inc/fm_msg.h#L656-L669

**Expected behavior**
Make implicit padding explicit.

**Reporter Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/FM/issues/104
"Fix #102, Move variables declared mid-function to the top","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Fixes #102
A few stray variables in the test code that were declared mid-function were moved to the top of their respective functions.

**Testing performed**
GitHub CI actions all passing successfully.

**Expected behavior changes**
All variables declared top of function as per cFS conventions/guidelines - eases future maintenance and improves consistency.

**Contributor Info**
Avi Weiss @thnkslprpt","CCB:Approved, Equuleus-rc1",https://github.com/nasa/FM/pull/103
Variables declared mid-function in test code,"**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Describe the bug**
A few cases of variables declared mid-function in the test code.

**Expected behavior**
All variables should be declared at the top of the function - eases future maintenance and improves consistency.

**Reporter Info**
Avi Weiss @thnkslprpt",Equuleus-rc1,https://github.com/nasa/FM/issues/102
Split header files into external and internal components,"**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/FM/blob/main/CONTRIBUTING.md).
* [x] I reviewed the [README file](https://github.com/nasa/FM/blob/main/README.md) to see if the feature is in the major future work.
* [x] I performed a cursory search to see if the feature request is relevant, not redundant, nor in conflict with other tickets.

**Is your feature request related to a problem? Please describe.**
Configuration and header files for this app currently have mixed scope - some items apply globally (mission) and some only affect the internal app behavior.  

**Describe the solution you'd like**
Split headers into single scope, so they contain only public/global items (i.e. those that affect CMD/TLM/Table definitions) or they contain private/internal items.  The latter would be things that are only used within the local application code and do not affect the interface.

**Additional context**
Similar to nasa/HS#84.   This helps stabilize the interface, so configuration items that do change the interface are clearly marked in a separate file and the user is more aware of the impact the changes will have.  It's also important for EDS, where some of these files are generated - keeping a single scope allows for simple source selection vs. `#ifdef`s.

**Requester Info**
Joseph Hickey, Vantage Systems, Inc.

",enhancement,https://github.com/nasa/FM/issues/101
