Title,Body,Labels,URL
"Fix #108, Remove multiple returns from `HS_AppInit()`, `HS_SbInit()` and `HS_TblInit()`","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- Fixes #108
  - `HS_AppInit()`, `HS_SbInit()` and `HS_TblInit()` refactored to have a single exit point

**Testing performed**
GitHub CI actions all passing successfully (incl. Build + Run, Unit/Coverage Tests etc.).

**Expected behavior changes**
No change to function logic/behavior other than removing the early returns.

**Contributor Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/HS/pull/109
"Factor out multiple returns from `HS_AppInit()`, `HS_SbInit()` and `HS_TblInit()`","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Describe the bug**
The only places multiple returns remain in HS are in `HS_AppInit()`, `HS_SbInit()` and `HS_TblInit()`. This is unnecessary.

**Expected behavior**
Refactor to a single exit point.

**Reporter Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/HS/issues/108
"Fix #106, Lowers HS_UTIL_PER_INTERVAL_HOGGING from 9900 --> 7500","**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/HS/blob/main/CONTRIBUTING.md).
* [x ] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Lowers HS_UTIL_PER_INTERVAL_HOGGING from 9900 --> 7500.
Fix #106 

**Testing performed**
Started a test app that enters into an infinite loop to induce a CPU Hogging and verified that the expected event message was triggered.

**Contributor Info - All information REQUIRED for consideration of pull request**
Dan Knutsen
NASA Goddard
","CCB:Approved, Equuleus-rc1",https://github.com/nasa/HS/pull/107
Lower threshold required to declare CPU Hogging,"**Checklist (Please check before submitting)**

* [x ] I reviewed the [Contributing Guide](https://github.com/nasa/HS/blob/main/CONTRIBUTING.md).
* [x ] I reviewed the [README file](https://github.com/nasa/HS/blob/main/README.md) to see if the feature is in the major future work.
* [x ] I performed a cursory search to see if the feature request is relevant, not redundant, nor in conflict with other tickets.

**Is your feature request related to a problem? Please describe.**
Lower the CPU utilization threshold required for HS to declare 'Hogging'. 

**Describe the solution you'd like**
Lower HS_UTIL_PER_INTERVAL_HOGGING from 9900 to 7500.

**Requester Info**
Dan Knutsen
NASA Goddard
",Equuleus-rc1,https://github.com/nasa/HS/issues/106
"Fix #104, Removal of HS6013, HS6014, and HS6015","**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/HS/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Removes HS6013, HS6014, and HS6015 from hs_FunctionalRequirements.csv. 
Fixes #104 

**Contributor Info - All information REQUIRED for consideration of pull request**
Full name and company/organization/center of all contributors (""Personal"" if individual work)
Dan Knutsen
NASA Goddard
","CCB:Approved, Equuleus-rc1",https://github.com/nasa/HS/pull/105
Removal of HS6013 and HS6014,"**Checklist (Please check before submitting)**

* [x ] I reviewed the [Contributing Guide](https://github.com/nasa/HS/blob/main/CONTRIBUTING.md).
* [x ] I reviewed the [README file](https://github.com/nasa/HS/blob/main/README.md) to see if the feature is in the major future work.
* [x ] I performed a cursory search to see if the feature request is relevant, not redundant, nor in conflict with other tickets.

**Is your feature request related to a problem? Please describe.**
Need to update hs_FunctionalRequirements.csv to remove HS6013 and HS6014.  The set utility diagnostics and set utility parameters commands were removed in the latest version of the app.

**Requester Info**
Dan Knutsen
NASA Goddard
","requirements, Equuleus-rc1",https://github.com/nasa/HS/issues/104
"Fix #102, rename files according to convention","**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/HS/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Updates the HS file naming to be consistent with the documented recommendations.

This also removes ""hs_custom.h"" as it was no longer used (remnant).

Fixes #102

**Testing performed**
Build and sanity check

**Expected behavior changes**
None

**System(s) tested on**
Debian

**Contributor Info - All information REQUIRED for consideration of pull request**
Joseph Hickey, Vantage Systems, Inc.
","CCB:Approved, Equuleus-rc1",https://github.com/nasa/HS/pull/103
Update header file naming based on documented convention,"**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/HS/blob/main/CONTRIBUTING.md).
* [x] I reviewed the [README file](https://github.com/nasa/HS/blob/main/README.md) to see if the feature is in the major future work.
* [x] I performed a cursory search to see if the feature request is relevant, not redundant, nor in conflict with other tickets.

**Is your feature request related to a problem? Please describe.**
Header file names need to be adjusted to match the convention described in nasa/cfe#2306

**Describe the solution you'd like**
Rename the files

**Additional context**
Improving consistency between CFS apps for file names and content

**Requester Info**
Joseph Hickey, Vantage Systems, Inc.

",Equuleus-rc1,https://github.com/nasa/HS/issues/102
"Fix #100, Convert `int32` return codes and variables to `CFE_Status_t`","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- Fixes #100
  - most `int32` return codes converted over to `CFE_Status_t`
  - `int32` `status`/`return` variables holding cFE return codes converted to `CFE_Status_t`

**Testing performed**
GitHub CI actions all passing successfully.

**Expected behavior changes**
No change to behavior.
`CFE_Status_t` is more expressive and improves consistency with cFE/cFS.

**Contributor Info**
Avi Weiss @thnkslprpt","CCB:Approved, Equuleus-rc1",https://github.com/nasa/HS/pull/101
HS  `int32` return codes and variables should be converted to `CFE_Status_t`,"**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Describe the bug**
HS has quite a few return codes (as well as local `status`/`return` variables which hold CFE return codes) that can be easily converted over to the `CFE_Status_t` typedef.

**Expected behavior**
Use the more expressive `CFE_Status_t` and improve consistency with cFS.

**Reporter Info**
Avi Weiss @thnkslprpt",Equuleus-rc1,https://github.com/nasa/HS/issues/100
