Title,Body,Labels,URL
Create test,"**Checklist (Please check before submitting)**

* [ ] I reviewed the [Contributing Guide](https://github.com/nasa/PSP/blob/main/CONTRIBUTING.md).
* [ ] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
A clear and concise description of what the contribution is.
- Include explicitly what issue it addresses [e.g. Fixes #X]

**Testing performed**
Steps taken to test the contribution:
1. Build steps '...'
1. Execution steps '...'

**Expected behavior changes**
A clear and concise description of how this contribution will change behavior and level of impact.
 - API Change: xxx (if applicable)
 - Behavior Change: xxx (if applicable)
 - Or no impact to behavior

**System(s) tested on**
 - Hardware: [e.g. PC, SP0, MCP750]
 - OS: [e.g. Ubuntu 18.04, RTEMS 4.11, VxWorks 6.9]
 - Versions: [e.g. cFE 6.6, OSAL 4.2, PSP 1.3 for mcp750, any related apps or tools]

**Additional context**
Add any other context about the contribution here.

**Third party code**
If included, identify any third party code and provide text file of license

**Contributor Info - All information REQUIRED for consideration of pull request**
Full name and company/organization/center of all contributors (""Personal"" if individual work)
 - Note CLAs apply to only software contributions.
",,https://github.com/nasa/PSP/pull/401
"Fix #399, Fixes errors in IC Bundle workflow file","**Checklist (Please check before submitting)**

* [X] I reviewed the [Contributing Guide](https://github.com/nasa/PSP/blob/main/CONTRIBUTING.md).
* [X] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Addresses issue #399.

**Testing performed**
Generated IC branch in fork.

**Expected behavior changes**
No additional ""#"" is placed in front of ""#define CFE_PSP_IMPL_BUILD_NUMBER ..."" in fsw/mcp750-vxworks/inc/psp_version.h
No additional ""#"" is placed in front of ""#define CFE_PSP_IMPL_BUILD_NUMBER ..."" in fsw/pc-linux/inc/psp_version.h
No additional ""#"" is placed in front of ""#define CFE_PSP_IMPL_BUILD_NUMBER ..."" in fsw/pc-rtems/inc/psp_version.h

**System(s) tested on**
GitHub

**Contributor Info - All information REQUIRED for consideration of pull request**
Dylan Z. Baker/NASA GSFC",,https://github.com/nasa/PSP/pull/400
Formatting Issues with ICBundle Workflow,"**Describe the bug**
Similar to nasa/cFE#2419. There are some small formatting issues that should be corrected in the changelog/version.h updates made by the ICBundle workflow:
1. An additional ""#"" is placed in front of ""#define CFE_PSP_IMPL_BUILD_NUMBER ..."" in fsw/mcp750-vxworks/inc/psp_version.h
2. An additional ""#"" is placed in front of ""#define CFE_PSP_IMPL_BUILD_NUMBER ..."" in fsw/pc-linux/inc/psp_version.h
3. An additional ""#"" is placed in front of ""#define CFE_PSP_IMPL_BUILD_NUMBER ..."" in fsw/pc-rtems/inc/psp_version.h

**To Reproduce**
Steps to reproduce the behavior:
1. Push a code change to a user-owned feature branch
2. Submit a pull request for that code change
3. Go to the ""Actions"" tab in GitHub and run the ""Integration Candidate Bundle Generation"" workflow with the PR number as the input argument for the field labeled ""The pull request numbers to include (Comma separated):""
4. Wait for the workflow to complete
5. Inspect the newly updated/generated ""integration-candidate branch""
6. Observe the changes made to the fsw/mcp750-vxworks/inc/psp_version.h, fsw/pc-linux/inc/psp_version.h, and fsw/pc-rtems/inc/psp_version.h files by the workflow

**Expected behavior**
1. No additional ""#"" is placed in front of ""#define OS_BUILD_NUMBER ..."" in fsw/mcp750-vxworks/inc/psp_version.h
2. No additional ""#"" is placed in front of ""#define OS_BUILD_NUMBER ..."" in fsw/pc-linux/inc/psp_version.h
3. No additional ""#"" is placed in front of ""#define OS_BUILD_NUMBER ..."" in fsw/pc-rtems/inc/psp_version.h

**System observed on:**
GitHub

**Reporter Info**
Dylan Z. Baker/NASA GSFC",,https://github.com/nasa/PSP/issues/399
Implement VxWorks Sysmon,"**Describe the solution you'd like**
Implement a VxWorks Sysmon to calculate CPU utilization. 

**Describe alternatives you've considered**
None. 

**Additional context**
Add any other context about the feature request here.

**Requester Info**
Full name and company/organization if applicable
Anh Van, GSFC NASA",,https://github.com/nasa/PSP/issues/398
"Fix #396, Implement RTEMS Sysmons","**Checklist (Please check before submitting)**

* [ x] I reviewed the [Contributing Guide](https://github.com/nasa/PSP/blob/main/CONTRIBUTING.md).
* [ x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
A clear and concise description of what the contribution is.
Fixes 396, Implemented a rtems sysmon
Not fully tested for SMP

**Testing performed**
Steps taken to test the contribution:
1. Build with Rtems 5/6
2. Modify sample app to call and run rtems_sysmon
3. Make SIMULATION=i686-rtems6/i686-rtems5 prep
4. Make insall
5. run on qemu


**Expected behavior changes**
None

**System(s) tested on**
 - Simulated:
 - i686 - rtems5/6 

**Additional context**
Add any other context about the contribution here.

**Third party code**
If included, identify any third party code and provide text file of license

**Contributor Info - All information REQUIRED for consideration of pull request**
Full name and company/organization/center of all contributors (""Personal"" if individual work)
 - Note CLAs apply to only software contributions.

Anh Van, GSFC
",,https://github.com/nasa/PSP/pull/397
Implement RTEMS SYSMON,"**Is your feature request related to a problem? Please describe.**

**Describe the solution you'd like**
Implement a version of linux_sysmon for rtems 

**Describe alternatives you've considered**
None

**Additional context**
None

**Requester Info**
Full name and company/organization if applicable
Anh Van. GSFC
",,https://github.com/nasa/PSP/issues/396
RTEMS.cmake: add quotes around ${RTEMS_BSP_C_FLAGS}.,"Without the quotes, only the first argument is actually passed to the compiler by rtems-syms.

**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/PSP/blob/main/CONTRIBUTING.md).
* [X] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
A clear and concise description of what the contribution is.
- This change ensures that all flags from `RTEMS_BSP_C_FLAGS` are passed from `rtems-syms` to the compiler.

**Testing performed**
Steps taken to test the contribution:
1. Only tested to check if compilation succeeds.

**Expected behavior changes**
A clear and concise description of how this contribution will change behavior and level of impact.
 - API Change: N/A
 - Behavior Change: xxx (if applicable)

Before: The only flag that `rtems-syms` passes to the compiler is `-march=armv7-a`. This causes a crash because the compiler assumes the wrong floating point ABI.
```
/home/jacob/projects/rtems/6/bin/rtems-syms -vvv -e -c -march=armv7-a -mthumb -mfpu=neon -mfloat-abi=hard -mtune=cortex-a7 -fno-common -fdata-sections -ffunction-sections -C /home/jacob/projects/rtems/6/bin/arm-rtems6-gcc -o cmTC_56657.exe-dl-sym.o cmTC_56657.exe-prelink
    RTEMS Kernel Symbols 6.ac1fee4f04fe
    kernel: cmTC_56657.exe-prelink
    cache:load-sym: object files: 1
    cache:load-sym: symbols: 1459
    Filtered symbols: 1074
    symbol C file: /tmp/ccaneeaa.c
    symbol O file: cmTC_56657.exe-dl-sym.o
    execute: /home/jacob/projects/rtems/6/bin/arm-rtems6-gcc -march=armv7-a -O2 -c -o cmTC_56657.exe-dl-sym.o /tmp/ccaneeaa.c 
```

After: All flags are correctly passed to the compiler. The floating point ABI is correctly specified.
```
/home/jacob/projects/rtems/6/bin/rtems-syms -vvv -e -c ""-march=armv7-a -mthumb -mfpu=neon -mfloat-abi=hard -mtune=cortex-a7 -fno-common -fdata-sections -ffunction-sections"" -C /home/jacob/projects/rtems/6/bin/arm-rtems6-gcc -o cmTC_ed3ae.exe-dl-sym.o cmTC_ed3ae.exe-prelink
RTEMS Kernel Symbols 6.ac1fee4f04fe
kernel: cmTC_ed3ae.exe-prelink
cache:load-sym: object files: 1
cache:load-sym: symbols: 1463
Filtered symbols: 1075
symbol C file: /tmp/ccNoeeaa.c
symbol O file: cmTC_ed3ae.exe-dl-sym.o
execute: /home/jacob/projects/rtems/6/bin/arm-rtems6-gcc -march=armv7-a -mthumb -mfpu=neon -mfloat-abi=hard -mtune=cortex-a7 -fno-common -fdata-sections -ffunction-sections -O2 -c -o cmTC_ed3ae.exe-dl-sym.o /tmp/ccNoeeaa.c 
```

**System(s) tested on**
 - Hardware: Raspberry Pi 3.
 - OS: Building on Ubuntu 22.04 for RTEMS 6.
 - Versions: PSP `draco-rc4`.

**Additional context**
N/A

**Third party code**
N/A

**Contributor Info - All information REQUIRED for consideration of pull request**
Full name and company/organization/center of all contributors (""Personal"" if individual work)
 - Jacob Killelea / Personal","CCB:Approved, Equuleus-rc2",https://github.com/nasa/PSP/pull/395
Static Analysis Warnings,"**Describe the bug**
Several coding violations were flagged by software assurance.  We need to adjudicate the warnings defined in the attached spreadsheet.

[StaticAnalysisWarnings.xlsx](https://github.com/nasa/PSP/files/11757770/StaticAnalysisWarnings.xlsx)

**Reporter Info**
Dan Knutsen
NASA Goddard",,https://github.com/nasa/PSP/issues/394
CFE_PSP_Module_FindByName does not find base modules,"**Describe the bug**
PSP modules can be enabled in two ways, either by adding to the `${cpuname}_PSP_MODULELIST` in targets.cmake (for optional/platform-specific hardware access routines) or a set of ""standard"" modules listed in `psp_module_list.cmake` file under the PSP.

Problem is that `CFE_PSP_Module_FindByName()` only looks at the user-specified list (from targets.cmake) and not the list of standard modules.

This is needed for HS because the `linux_sysmon` monitor (for cpu utilization) is now listed as a standard module for pc-linux PSP, but this inadvertently made it un-findable.

**To Reproduce**
Run the current build of framework + HS app (which relies on being able to locate the `linux_sysmon` module).  HS does not find a module and disables CPU usage reporting.

**Expected behavior**
HS should find the module and enable usage reporting

**Reporter Info**
Joseph Hickey, Vantage Systems, Inc.

",bug,https://github.com/nasa/PSP/issues/393
PSP Integration candidate: Caelum-rc4+dev47,"**Checklist (Please check before submitting)**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/PSP/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- PR #391. Addresses Issue #390

**Testing performed**
[cFS Bundle Checks](https://github.com/nasa/cFS/pull/669/checks)
[PSP Checks](https://github.com/nasa/PSP/pull/392/checks)

**Expected behavior changes**
See PRs

**System(s) tested on**
Ubuntu 22.04

**Additional context**
Add any other context about the contribution here.

**Third party code**
If included, identify any third party code and provide text file of license

**Contributor Info - All information REQUIRED for consideration of pull request**
@dzbaker",,https://github.com/nasa/PSP/pull/392
