Title,Body,Labels,URL
"Fix #99, cmd and tlm messages use payload sub-structure","**Checklist (Please check before submitting)**

* [X] I reviewed the [Contributing Guide](https://github.com/nasa/SC/blob/main/CONTRIBUTING.md).
* [X] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Fix #99, adds Payload substructure to all command and telemetry messages

**Testing performed**
unit testing

**Expected behavior changes**
 no impact to behavior

**System(s) tested on**
 - OS: Ubuntu 18.04

**Contributor Info - All information REQUIRED for consideration of pull request**
Haven Carlson - NASA
",CCB:Ready,https://github.com/nasa/SC/pull/100
"All CMD/TLM messages should put content in a ""Payload"" sub-structure","**Checklist (Please check before submitting)**

* [X] I reviewed the [Contributing Guide](https://github.com/nasa/SC/blob/main/CONTRIBUTING.md).
* [X] I reviewed the [README file](https://github.com/nasa/SC/blob/main/README.md) to see if the feature is in the major future work.
* [X] I performed a cursory search to see if the feature request is relevant, not redundant, nor in conflict with other tickets.

**Is your feature request related to a problem? Please describe.**
To match the patterns used in CFE and other modules, all CMD/TLM message definitions should put the content (non-header) parts into a separate struct called ""Payload"".

**Describe the solution you'd like**
Separate message content into a sub structure called ""Payload"".

**Additional context**
This is benefit to tooling that can use the presence of this field to identify where the actual content starts (e.g. something like `offsetof(MsgType, Payload)` would work and be correct, as opposed to checking `sizeof(CFE_MSG_CommandHeader_t)` which may not actually reflect where the content starts due to possible compiler-added padding between them).

**Requester Info**
Haven Carlson - NASA",,https://github.com/nasa/SC/issues/99
"Fix #80, Unit tests read past array bounds and general cleanup","**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/SC/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- Fix #80 

Also consolidated ""result"" asserts using modern APIs, removed low-value/high-maintenance checks on event string and type (ID is sufficient to confirm path).

Recommend a follow-on issue to replace the rest of the UtAssert_True uses.

**Testing performed**
CI (including coverage)

**Expected behavior changes**
Greatly reduced technical debt wrt unit tests (large reduction in lines, and consistent table initialization)

**System(s) tested on**
CI

**Additional context**
Note this should make the remaining bug fixes and updates easier, by reducing ut change overhead.

Could squash if CCB wants, just tried to break down the changes a little.

**Third party code**
None

**Contributor Info - All information REQUIRED for consideration of pull request**
Jacob Hageman - NASA/GSFC","CCB:Approved, Equuleus-rc2",https://github.com/nasa/SC/pull/98
"Fix #96, Moved command validation out of command functions","**Checklist (Please check before submitting)**

* [X] I reviewed the [Contributing Guide](https://github.com/nasa/SC/blob/main/CONTRIBUTING.md).
* [X] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Fixes #96, validate command before calling the command function instead of after.

**Testing performed**
Unit testing

**Expected behavior changes**
 no impact to behavior

**System(s) tested on**
OS: Ubuntu 18.04

**Contributor Info - All information REQUIRED for consideration of pull request**
Haven Carlson - NASA",CCB:Ready,https://github.com/nasa/SC/pull/97
Apps should check/verify msg BEFORE calling handler,"**Checklist (Please check before submitting)**

* [X] I reviewed the [Contributing Guide](https://github.com/nasa/SC/blob/main/CONTRIBUTING.md).
* [X] I reviewed the [README file](https://github.com/nasa/SC/blob/main/README.md) to see if the feature is in the major future work.
* [X] I performed a cursory search to see if the feature request is relevant, not redundant, nor in conflict with other tickets.

**Is your feature request related to a problem? Please describe.**
Copy of https://github.com/nasa/CS/issues/75

The CFE core and sample app (which is supposed to be the example of ""best practice"") do validation on the message before calling the handler. For example:

    case SAMPLE_APP_NOOP_CC:
        if (SAMPLE_APP_VerifyCmdLength(&SBBufPtr->Msg, sizeof(SAMPLE_APP_NoopCmd_t)))
        {
            SAMPLE_APP_Noop((SAMPLE_APP_NoopCmd_t *)SBBufPtr);
        }

This is different from SC, which does a similar check, but done inside each handler, for example:
https://github.com/nasa/SC/blob/c7a3864fda27532005f75c7615cf785f7b9aa851/fsw/src/sc_cmds.c#L498-L506

**Describe the solution you'd like**
CFS Apps should follow the best practices/patterns set forth in the framework code. (there are reasons for the pattern being recommended practice)

**Requester Info**
Haven Carlson - NASA",,https://github.com/nasa/SC/issues/96
"Fix #18, Make compiler-added padding in `SC_AtpControlBlock_t` explicit","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- Fixes #18
  - Implicit padding was being added in `SC_AtpControlBlock_t` - this PR makes it explicit

**Testing performed**
GitHub CI actions all passing successfully (incl. Build + Run, Unit/Functional Tests etc.).

**Expected behavior changes**
No change.

**Contributor Info**
Avi Weiss @thnkslprpt","CCB:Approved, Equuleus-rc1",https://github.com/nasa/SC/pull/95
"Fix #93, UT support for larger SC_RTS_BUFF_SIZE","**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/SC/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- Fix #93 

UT change only.  Updates logic to properly test buffer fill cases.

**Testing performed**
CI + a setting with SC_RTS_BUFF_SIZE = 500

**Expected behavior changes**
None

**System(s) tested on**
- Ubuntu 20.04

**Additional context**
None

**Third party code**
None

**Contributor Info - All information REQUIRED for consideration of pull request**
Jacob Hageman - NASA/GSFC","CCB:Approved, Equuleus-rc1",https://github.com/nasa/SC/pull/94
Support larger SC_RTS_BUFF_SIZE configurations in unit test,"**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/SC/blob/main/CONTRIBUTING.md).
* [x] I reviewed the [README file](https://github.com/nasa/SC/blob/main/README.md) to see if the feature is in the major future work.
* [x] I performed a cursory search to see if the feature request is relevant, not redundant, nor in conflict with other tickets.

**Is your feature request related to a problem? Please describe.**
Unit tests only work if `SC_RTS_BUF_SIZE` can be used up with < 2 packets of size `SC_PACKET_MAX_SIZE`
 
**Describe the solution you'd like**
Support larger settings

**Describe alternatives you've considered**
None

**Additional context**
None

**Requester Info**
Jacob Hageman - NASA/GSFC
",Equuleus-rc1,https://github.com/nasa/SC/issues/93
"Fix #52, UT fix to support SC_LAST_RTS_WITH_EVENTS == SC_NUMBER_OF_RTS","**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/SC/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- Fix #52

**Testing performed**
CI and tested with SC_LAST_RTS_WITH_EVENTS == SC_NUMBER_OF_RTS

**Expected behavior changes**
None

**System(s) tested on**
 - Ubuntu 20.04

**Additional context**
None

**Third party code**
None

**Contributor Info - All information REQUIRED for consideration of pull request**
Jacob Hageman - NASA/GSFC","CCB:Approved, Equuleus-rc1",https://github.com/nasa/SC/pull/92
Should `CFE_EVS_Register()` be called with `CFE_EVS_NO_FILTER` or `CFE_EVS_EventFilter_BINARY`?,"**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Describe the bug**
Shouldn't SC be calling `CFE_EVS_Register()` with `CFE_EVS_EventFilter_BINARY` for the `FilterScheme` parameter? (rather than `CFE_EVS_NO_FILTER`)

They both end up as the integer zero, so the check here will treat them the same:
https://github.com/nasa/cFE/blob/7479d221692672d66946081f1cc5eb7c1d2acf9b/modules/evs/fsw/src/cfe_evs.c#L59-L68

A couple of other apps (CS and DS) actually just call it directly with `0` like so:
`Result = CFE_EVS_Register(NULL, 0, 0);
`
...which also seems wrong (they should also just use `CFE_EVS_EventFilter_BINARY` directly).

**Code snips**
https://github.com/nasa/SC/blob/487169bb8a2ea5a532a829e85fc529c86243dac4/fsw/src/sc_app.c#L172

**Reporter Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/SC/issues/91
