Title,Body,Labels,URL
Update the SCH codebase to a more recent cFS revision (March 2023),"Hello,

We learned that the SCH codebase had not been updated since June 2019, so we updated it to have it at least compile with our customized cFS build system.

We hope that this work will help someone like us to get to a working SCH faster.

If there was any interest in integrating this work, we would be happy to resolve any issues with this patch. Before doing any integration, we would highly recommend setting up Clang Format for SCH, using the `.clang-format` from the parent cFS repository. With the formatting in place, it would be much easier to work with the needed diffs.

This contribution is made on behalf of Reflex Aerospace GmbH (Berlin) where I am employed as a software engineer.

---

This changeset contains 90%+ fixes that are needed to have this SCH working against the more recent cFS setup as of March 2023.

The cFS revision that this is compiled against: 192f2ea3061bfe722b8ed1d72b7adecbf36d4f6e

https://github.com/nasa/cFS/commit/192f2ea3061bfe722b8ed1d72b7adecbf36d4f6e

Known issues:

- The changeset contains minor formatting issues but I am deciding to ignore them because the SCH itself needs to be Clang Formatted and I didn't find an existing .clang-format in the repository.
- This changeset does not touch anything related to setting up the table files in the CMake build system. There are other patches that are attempting to fix those issues: https://github.com/nasa/SCH/pull/6/files
- We are still reworking the SCH codebase to fit our needs, so it may be that a few lines were missed and they will not compile.",,https://github.com/nasa/SCH/pull/26
Update SCH to be compatible with latest CFE ,Current SCH will not build with lastest [cFE Draco-RC4](https://github.com/nasa/cFE/releases/tag/draco-rc4) release,,https://github.com/nasa/SCH/issues/25
"Fix #23, Moves interface definition files to inc","**Checklist (Please check before submitting)**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- Fixes #57

**Testing performed**
No testing performed.

**Expected behavior changes**
No expected behavior change.

**System(s) tested on**
-Ubuntu 18.04

**Additional context**
https://github.com/nasa/SCH/issues/5 remains unaddressed ?

**Third party code**
If included, identify any third party code and provide text file of license

**Contributor Info - All information REQUIRED for consideration of pull request**
-Justin Figueroa, Vantage",,https://github.com/nasa/SCH/pull/24
"Move interface definition files to ""inc"" location","**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Is your feature request related to a problem? Please describe.**
The interface definition files of all open source apps currently exist in the ""src"" directory.

**Describe the solution you'd like**
Create an ""inc"" dir to go with the ""src"" dir.  Move the interface definitions into this location: ""_msg.h"", ""_msgdefs.h"", ""_tbldefs.h"", and ""_events.h"". Consider moving header files in both ""platform_inc"" and ""mission_inc"" to ""inc""

**Describe alternatives you've considered**
Leaving as is.

**Additional context**
N/A

**Requester Info**
Justin Figueroa, Vantage Systems
",,https://github.com/nasa/SCH/issues/23
Implement Requirement SCH9001,"**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Is your feature request related to a problem? Please describe.**
Requirement SCH9001 is not implemented. 

**Describe the solution you'd like**
Upon any Initialization, the SCH Application shall inhibit processing of the Schedule Definition Table until the cFE indicates that all of the applications have started.

**Additional context**
SCH_CustomEarlyInit and SCH_CustomLateInit does not inhibit the processing of SDT until cFE apps started. SCH_AppMain calls on SCH_AppInit that intializates cFE events, software bus, etc. But I do not see where it inhibits the processing of SDT. 

**Reporter Info**
Ariel Adams, MCSG Tech
",,https://github.com/nasa/SCH/issues/22
Implement Requirements SCH2006 and SCH2007,"**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Is your feature request related to a problem? Please describe.**
Requirements SCH2006 and SCH2007 are not implemented. 

**Describe the solution you'd like**
SCH2006: Upon receipt of a SDT Load, SCH shall validate the entries of the table and if any   entry is invalid, the table is declared invalid and rejected.
SCH2006.1: SCH shall identify any ""Unused"" SDT entry that contains data other than   ""Unused"" as invalid
SCH2006.2: SCH shall identify any ""Enabled"" or   ""Disabled"" SDT entry that contains a Frequency of zero as invalid
SCH2006.3: SCH shall identify any ""Enabled"" or ""Disabled"" SDT entry that   contains a Frequency Offset greater than the entry's specified Frequency as   invalid.
SCH2006.4: SCH shall identify any ""Enabled"" or   ""Disabled"" SDT entry that contains a Message Index of zero or   greater than the maximum number of Messages in the Message Definition Table   as invalid.
SCH2006.5: SCH shall identify any ""Enabled"" or ""Disabled"" SDT entry that   contains an undefined Activity Type as invalid.

SCH2007: Upon receipt of a Message Definition Table Load, SCH shall validate the entries of   the table and if any table entry is invalid, reject the table
SCH2007.1: SCH shall identify any ""Unused"" MDT entry that contains data other than   ""Unused"" as invalid
SCH2007.2: SCH shall identify any MDT entry that has a   message definition with a Message ID that is greater than   <MISSION_DEFINED> maximum Message ID as invalid
SCH2007.3: SCH shall identify any MDT entry that has a message definition with a Message ID   that is less than <MISSION_DEFINED> minimum Message ID as invalid
SCH2007.4: SCH shall identify any MDT entry that has a   message length greater than <PLATFORM_DEFINED> maximum message length   as invalid
SCH2007.5: SCH shall identify any MDT entry that has a message length that is an odd number   of bytes as invalid

**Additional context**
It looks as though this requirement is being met in SCH_AcquirePointers - it's handling table loads through table services during the housekeeping cycle, not through an explicit command. The sub-requirements are not being met. 

**Reporter Info**
Ariel Adams, MCSG Tech
",,https://github.com/nasa/SCH/issues/21
Implemented Requirement SCH2003,"**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Is your feature request related to a problem? Please describe.**
Requirement SCH2003 is not implemented. 

**Describe the solution you'd like**
SCH shall identify the spacecraft Major Frame Signal as ""noisy"" when two Major Frame Signals occur consecutively that are separated from the previous Major Frame Signal by less than <PLATFORM_DEFINED, 990> milliseconds (running fast) and/or greater than <PLATFORM_DEFINED, 1010> milliseconds (running slow)

**Additional context**
Only condition found was: ""If we are NOT synchronized to the MET (i.e. - the Minor Frame timer has an acceptable resolution), then the Major Frame signal should only occur in the last slot of the schedule table. If we ARE synchronized to the MET (i.e. - the Minor Frame timer is  not as good as we would like), then the Major Frame signal should occur within a window of slots at the end of the table.""

**Reporter Info**
Ariel Adams, MCSG Tech
",,https://github.com/nasa/SCH/issues/20
Implement Requirement SCH2001,"**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Is your feature request related to a problem? Please describe.**
Requirement SCH2001 is not implemented. 

**Describe the solution you'd like**
The Schedule Definition Table shall schedule activities with a minimum minor frame resolution of <PLATFORM_DEFINED, 10> milliseconds and a major frame resolution of <PLATFORM_DEFINED, 1> second.

**Reporter Info**
Ariel Adams, MCSG Tech
",,https://github.com/nasa/SCH/issues/19
Implement Requirements SCH3003 and SCH3003.1,"**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Is your feature request related to a problem? Please describe.**
Requirements SCH3003 and SCH3003.1 are not implemented.

**Describe the solution you'd like**
SCH3003: SCH shall allow the user to combine one or more groups of activities in the Schedule Definition Table into one or more Multi-Groups.
SCH3003.1: SCH shall support a maximum of 24 Multi-Groups.

**Additional context**
Should be implemented by SCH_EnableGroupCmd in sch_cmds.c. This allows a group to be enabled, but does not allow users to combine groups. Groups are also not limited. 

**Reporter Info**
Ariel Adams, MCSG Tech
",,https://github.com/nasa/SCH/issues/18
Implement Requirements SCH3000 and SCH3000.1,"**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Is your feature request related to a problem? Please describe.**
Requirements SCH3000 and SCH3000.1 are not implemented. 

**Describe the solution you'd like**
SCH3000: SCH shall associate each activity with a single Group and zero to 24 Multi-Groups.
SCH3000.1: SCH shall support a maximum of 255 Groups

**Additional context**
Should be implemented in SCH_ValidateScheduleData, but is not. 

**Reporter Info**
Ariel Adams, MCSG Tech
",,https://github.com/nasa/SCH/issues/17
