Title,Body,Labels,URL
"Fix #2423, avoid use of abspath make function","**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/cFE/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
The abspath function does not work in GNU make v3.80, which is still used as it is packaged with the Wind River tools as part of VxWorks 6.x.

The `$(abspath ...)` function was used in two places related to generating tables - first for extraction of the ELF file from an intermediate lib, second for conversion of that ELF file to a table file.  In the first case, the path should already be absolute, as it comes from CMake. In the second case, the path should always be relative, because it is intended to match another pattern rule starting with ""elf/%"".  For the second rule, prefixing with $(CURDIR) should achieve the same effect.

Fixes #2423

**Testing performed**
Build with both older (v3.80) and newer (v4.3) versions of GNU make

**Expected behavior changes**
Successfully builds using make v3.80

**System(s) tested on**
GSFC Vxworks development machine

**Contributor Info - All information REQUIRED for consideration of pull request**
Joseph Hickey, Vantage Systems, Inc.
",CCB:Ready,https://github.com/nasa/cFE/pull/2424
"Older versions of make do not support ""abspath""","**Describe the bug**
The table build procedure uses the GNU make function `$(abspath <file>)` as documented here: https://www.gnu.org/software/make/manual/html_node/File-Name-Functions.html#index-abspath-1

However, older versions of make (e.g. 3.8) appear to not support this function as described - although make itself does not throw an error about this function, the result is an empty string.  This in turn causes the command being executed to fail because its missing the argument, which is supposed to be a file name.

**To Reproduce**
Build the software using an older version of GNU make, an error such as this occurs:

```
cd elf/lx_es1_stub/ && /usr/bin/ar x  cfe_test_tbl.c.o
/usr/bin/ar: cfe_test_tbl.c.o: No such file or directory
```

**Expected behavior**
There should be a library filename between the ""x"" and the object filename.

**Code snips**
The command in the makefile here is: https://github.com/nasa/cFE/blob/8852743153ddafcc7b12054f59bc86a361480f99/cmake/tables/elf2cfetbl_rules.mk#L5

Note that the `$(abspath $(<))` evaluated to the empty string.  Whereas on GNU make 4.x this works as described in the documentation.

**System observed on:**
VxWorks 6.9, which ships a binary version of GNU make v3.8.

**Reporter Info**
Joseph Hickey, Vantage Systems, Inc.
",bug,https://github.com/nasa/cFE/issues/2423
"Fix #2421, adjust dependencies on table lib","**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/cFE/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Instead of having the intermediate table library build as part of the ""all"" target, attach it as a dependency under the custom rule.  This way it will only be built in the context of the cfetables top level target, not both.

Fixes #2421

**Testing performed**
Build a configuration with lots of tables (> 100) repeatedly from a clean start using various `-j` values.

**Expected behavior changes**
Builds succeed, no race conditions/sporadic failures.

**System(s) tested on**
Debian

**Additional context**
This excludes the intermediate library from the `all` target and instead attaches it explicitly under the generate tables rule.  So it should avoid the case of having two legs of a parallel build both finding the dependency and attempting to build it.

**Contributor Info - All information REQUIRED for consideration of pull request**
Joseph Hickey, Vantage Systems, Inc.
",CCB:Ready,https://github.com/nasa/cFE/pull/2422
Occasional table build failures with parallel builds (-j),"**Describe the bug**
When using the -j option to `make`, occasionally some table builds may fail.

**To Reproduce**
Depends on a configuration that uses a lot of table files (> 100).  Repeatedly do clean builds followed by `make -j<X> install` where X is a number greater than 3 or so.  Occasionally an error will occur due to a missing object.

**Expected behavior**
Should succeed

**System observed on:**
Debian

**Additional context**
Initial analysis of a failed build seems to suggest it was trying to build the same intermediate table library twice, at the same time.  As such either the `ranlib` or `ar` actions failed because one of them stepped on the files from the other parallel build.

**Reporter Info**
Joseph Hickey, Vantage Systems, Inc.

",bug,https://github.com/nasa/cFE/issues/2421
"Fix #2419, Fixes errors in IC Bundle workflow file","**Checklist (Please check before submitting)**

* [X] I reviewed the [Contributing Guide](https://github.com/nasa/cFE/blob/main/CONTRIBUTING.md).
* [X] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Addresses issue #2419. Also restores incorrectly altered Changelog history in CHANGELOG.md.

**Testing performed**
Generated IC branch in fork.

**Expected behavior changes**
No additional ""#"" is placed in front of ""#Changelog"" in Changelog.md
No additional ""#"" is placed in front of ""#define CFE_BUILD_NUMBER ..."" in modules/core_api/fsw/inc/cfe_version.h
Additional occurrences of the string ""Changelog"" are not replaced in the Changelog.md file, as it is now replacing ""#Changelog"".

**Contributor Info - All information REQUIRED for consideration of pull request**
Dylan Z. Baker - NASA GSFC 582",CCB:Ready,https://github.com/nasa/cFE/pull/2420
Formatting Issues with ICBundle Workflow,"**Describe the bug**
There are some small formatting issues that should be corrected in the changelog/version.h updates made by the ICBundle workflow:
1. An additional ""#"" is placed in front of ""#Changelog"" in Changelog.md
2. An additional ""#"" is placed in front of ""#define CFE_BUILD_NUMBER ..."" in modules/core_api/fsw/inc/cfe_version.h
3. Additional occurrences of the string ""Changelog"" are replaced in the Changelog.md file

**To Reproduce**
Steps to reproduce the behavior:
1. Push a code change to a user-owned feature branch
2. Submit a pull request for that code change
3. Go to the ""Actions"" tab in GitHub and run the ""Integration Candidate Bundle Generation"" workflow with the PR number as the input argument for the field labeled ""The pull request numbers to include (Comma separated):""
4. Wait for the workflow to complete
5. Inspect the newly updated/generated ""integration-candidate branch""
6. Observe the changes made to the Changelog.md and modules/core_api/fsw/inc/cfe_version.h files by the workflow

**Expected behavior**
1. No additional ""#"" is placed in front of ""#Changelog"" in Changelog.md
2. No additional ""#"" is placed in front of ""#define CFE_BUILD_NUMBER ..."" in modules/core_api/fsw/inc/cfe_version.h
3. Additional occurrences of the string ""Changelog"" are not replaced in the Changelog.md file

**System observed on:**
GitHub

**Reporter Info**
Dylan Z. Baker/NASA GSFC",,https://github.com/nasa/cFE/issues/2419
cFE Integration candidate: Caelum-rc4+dev54,"**Checklist (Please check before submitting)**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/cFE/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- PR #2416. Addresses Issue #2415

**Testing performed**
[cFS Bundle Checks](https://github.com/nasa/cFS/pull/690/checks)
[cFE Checks](https://github.com/nasa/cFE/pull/2418/checks)

**Expected behavior changes**
See PRs

**System(s) tested on**
Ubuntu 20.04

**Additional context**
Add any other context about the contribution here.

**Third party code**
If included, identify any third party code and provide text file of license

**Contributor Info - All information REQUIRED for consideration of pull request**
@jphickey",Equuleus-rc1,https://github.com/nasa/cFE/pull/2418
Default CFE_MSG_Init function will initialize a message with size of 0,"**Describe the bug**
The 3rd argument to `CFE_MSG_Init()` indicates the actual/real size of the structure that should be initialized.  All of the operations that deal with a primary header assume it must be _at least_ this size, and write to the primary header.

However, CFE_MSG_Init() does not confirm that the size is at least the minimum required.  It will still write fields (e.g. MsgID) into the primary header, even if the size passed in is 0.

**To Reproduce**
Call default `CFE_MSG_Init()` with size specified as 0.  The MsgID is still written into the primary header.  

This is basically a buffer overflow, as the function wrote to memory that was beyond the end of the buffer.

**Expected behavior**
The function should never write beyond the end of the buffer.  Passing a size of 0 should not initialize/write anything because there is no buffer to write to.

**Code snips**
Implementation of CFE_MSG_Init - note this proceeds to ""InitDefaultHdr"" regardless of size.
https://github.com/nasa/cFE/blob/a8b20ac7a0bdc2b765d824b3ff49e78934ce03c9/modules/msg/fsw/src/cfe_msg_init.c#L34-L45

**System observed on:**
Debian

**Additional context**
Related issue in CF that was relying on this bug -- this is being fixed in nasa/CF#401

**Reporter Info**
Joseph Hickey, Vantage Systems, Inc.
",,https://github.com/nasa/cFE/issues/2417
"Fix #2415, use correct object extension in table build","**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/cFE/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Do not assume "".o"" for object files, use ${CMAKE_C_OUTPUT_EXTENSION}

Fixes #2415

**Testing performed**
Build tables for VxWorks (using .obj extension)

**Expected behavior changes**
Build should succeed now

**System(s) tested on**
GSFC VxWorks build host

**Contributor Info - All information REQUIRED for consideration of pull request**
Joseph Hickey, Vantage Systems, Inc.","CCB:Approved, Equuleus-rc1",https://github.com/nasa/cFE/pull/2416
"Table build logic is assuming "".o"" extension for object files","**Describe the bug**
The new scripts that are used to build table files assume a "".o"" extension on object files.  This is not always the case, as some other systems use "".obj"".

**To Reproduce**
Build using the vxworks 6.9 toolchain combined with the VxWorks platform module - this sets up for an "".obj"" extension.  Table file generation will fail due to a missing .o file.

**Expected behavior**
Should build successfully.

**System observed on:**
VxWorks 6.9 (GSFC build machine)

**Additional context**
The variable `${CMAKE_C_OUTPUT_EXTENSION}` should be used here.

**Reporter Info**
Joseph Hickey, Vantage Systems, Inc.

",bug,https://github.com/nasa/cFE/issues/2415
