Title,Body,Labels,URL
IC: Caelum-rc4+dev54,"**Checklist (Please check before submitting)**

* [ ] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [ ] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**

*Combines:*

cFE v7.0.0-rc4+dev356
osal v6.0.0-rc4+dev223


**Includes:**

*cFE*
- nasa/cFE#2416

*osal*
- nasa/osal#1397
- nasa/osal#1399

**Testing performed**

Bundle Checks <https://github.com/nasa/cFS/pull/690/checks>

**Expected behavior changes**
See PRs

**System(s) tested on**
Ubuntu 20.04

**Additional context**
None

**Code contributions**
The cFS repository is provided to bundle the cFS Framework.  It is utilized for bundling submodules, continuous integration testing, and version management and does not contain any software.  Code contributions should be directed to the appropriate submodule.

**Contributor Info - All information REQUIRED for consideration of pull request**
@jphickey",,https://github.com/nasa/cFS/pull/690
"Header Guards for C++ applications to call CFE, OSAL, PSP","**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [x] I reviewed the [cFS README.md file](https://github.com/nasa/cFS/blob/main/README.md) to see if the feature is in the major future work.
* [x] I performed a cursory search to see if the feature request is relevant, not redundant, nor in conflict with other tickets.

**Describe the solution you'd like**
Wrap all public headers in CFE, OSAL, and PSP in hedaer guards that allow inclusion from C++ translation units:
```c
#ifdef __cplusplus
extern ""C"" {
#endif

<content>

#ifdef __cplusplus
}
#endif
```

**Describe alternatives you've considered**
The alternative is to wrap the `#includes` in the calling apps with the header guards. 

**Additional context**
- https://lists.nasa.gov/archives/list/cfs-community@lists.nasa.gov/thread/HMXU7ORGRU5ZWPAXIBNCI2MEDL5WL6RW/
- https://github.com/nasa/cFS/discussions/659
- https://lists.nasa.gov/archives/list/cfs-community@lists.nasa.gov/thread/OANSPI46GVMPNNNSB467P5LD23F274GO/
- https://lists.nasa.gov/archives/list/cfs-community@lists.nasa.gov/thread/3BRMUGGE2TOLGKIP6NIQNZV4UWTJIUAF/

**Requester Info**
Isaac Rowe, NASA JSC, Jacobs Technology",,https://github.com/nasa/cFS/issues/688
"Fast-Tracked cFE Pull Request nasa/cFE#2398, nasa/cFE#2399, nasa/cFE#2404: Resolves nasa/cFE#2393, nasa/cFE#2395. Reverts nasa/cFE#2399","**Checklist (Please check before submitting)**

* [X] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [X] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Setting this value to 0 allows it to get the same result regardless of the setting of CFE_MISSION_TIME_CFG_DEFAULT_UTC.
For a user that has customized cfe_msgids.h, this will get conflicting values. If/when users have migrated to module-specific msgid files, this will be OK, but for now this can break things.

Fixes nasa/cFE#2393, nasa/cFE#2395

**Testing performed**
Build with CFE_MISSION_TIME_CFG_DEFAULT_UTC == true
Build using override of `cfe_msgids.h` (only).

**Expected behavior changes**
Build and test succeeds
No conflicting msgids if user has overridden `cfe_msgids.h` but not `cfe_test_msgids.h`

**System(s) tested on**
Debian

**Contributor Info - All information REQUIRED for consideration of pull request**
@jphickey",,https://github.com/nasa/cFS/pull/686
Fast-Tracked cFE Pull Request: Resolves cFE#2391.,"**Checklist (Please check before submitting)**

* [X] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [X] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
This allows the script to pick up the file if it was named simply ""cfe_msgids.h"" or ""cfe_platform_cfg.h"", rather than insisting it be named with a platform-specific prefix

Fixes nasa/cFE#2391

**Testing performed**
Build and run with stakeholder configuration

**Expected behavior changes**
A file named `cfe_msgids.h` is picked up by the build system, as expected.

**System(s) tested on**
Debian

**Contributor Info - All information REQUIRED for consideration of pull request**
@jphickey",CCB:Approved,https://github.com/nasa/cFS/pull/685
Fast-Tracked cFE Pull Request: Resolves cFE#2388.,"**Checklist (Please check before submitting)**

* [X] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [X] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Reverts cFE#2356
- Fixes cFE#2388

**Testing performed**
N/A

**Expected behavior changes**
#2315 is removed.

**System(s) tested on**
N/A

**Contributor Info - All information REQUIRED for consideration of pull request**
Dylan Z. Baker - NASA GSFC","CCB:Ready, CCB:FastTrack",https://github.com/nasa/cFS/pull/682
IC: Caelum-rc4+dev53,"**Checklist (Please check before submitting)**

* [ ] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [ ] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**

*Combines:*

cFE v7.0.0-rc4+dev342

**Includes:**

*cFE*
- nasa/cFE#2369
- nasa/cFE#2272
- nasa/cFE#2276

**Testing performed**

Bundle Checks <https://github.com/nasa/cFS/pull/681/checks>

**Expected behavior changes**
See PRs

**System(s) tested on**
Ubuntu 20.04

**Additional context**
None

**Code contributions**
The cFS repository is provided to bundle the cFS Framework.  It is utilized for bundling submodules, continuous integration testing, and version management and does not contain any software.  Code contributions should be directed to the appropriate submodule.

**Contributor Info - All information REQUIRED for consideration of pull request**
@dmknutsen
@thnkslprpt",,https://github.com/nasa/cFS/pull/681
"Fix #679, Increase wait time in test workflow","**Checklist (Please check before submitting)**

* [x ] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [x ] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Increase the wait time required to call a test 'frozen'. This will prevent tests from erroneously being called 'frozen' and allow the tests to complete successfully..
Fixes Issue #679 

**Testing performed**
Executed tests to ensure each tests completes in the allotted time.

**Contributor Info - All information REQUIRED for consideration of pull request**
Dan Knutsen
NASA Goddard
",CCB:Approved,https://github.com/nasa/cFS/pull/680
Github workflow does not allow enough time for all Functional tests to run,"**Checklist (Please check before submitting)**

* [x ] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [ x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Describe the bug**
build-cfs-deprecated.yml and build-cfs.yml workflows need to be updated to prevent functional tests from exiting prematurely.  The current wait time of 60 seconds is not enough time to allow all of the tests to run successfully. 

**To Reproduce**
Execute the functional tests via the workflow

**Expected behavior**
Tests complete successfully.

**Reporter Info**
Dan Knutsen
NASA Goddard
",,https://github.com/nasa/cFS/issues/679
Section 1.8 of userguide.pdf has duplicate entries. ,"Very minor issue, there is a duplication of entries in 1.8 of the cfe-userguide.pdf page 52. I only mention it as I thought there was a difference in the entries and spent a few minutes trying to understand it. 
![screen](https://github.com/nasa/cFS/assets/20270893/1e2c0b07-c2a3-4b27-842b-3211134b88e1)
",,https://github.com/nasa/cFS/issues/678
IC: Caelum-rc4+dev52,"**Checklist (Please check before submitting)**

* [ ] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [ ] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**

*Combines:*

cFE v7.0.0-rc4+dev334
osal v6.0.0-rc4+dev217

**Includes:**

*cFS*
- #680
- #676

*cFE*
- nasa/cFE#2350
- nasa/cFE#2354
- nasa/cFE#2355
- nasa/cFE#2366
- nasa/cFE#2364
- nasa/cFE#2356
- nasa/cFE#2361

*osal*
- nasa/osal#1393

**Testing performed**

Bundle Checks <https://github.com/nasa/cFS/pull/677/checks>

**Expected behavior changes**
See PRs

**System(s) tested on**
Ubuntu 20.04

**Additional context**
None

**Code contributions**
The cFS repository is provided to bundle the cFS Framework.  It is utilized for bundling submodules, continuous integration testing, and version management and does not contain any software.  Code contributions should be directed to the appropriate submodule.

**Contributor Info - All information REQUIRED for consideration of pull request**
@dmknutsen
@CDKnightNASA
@chillfig",,https://github.com/nasa/cFS/pull/677
