Title,Body,Labels,URL
"Fix #140, Move function prototypes to header file","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- Fixes #140
  - Moves the function prototypes that were in `ci_lab_app.c` over to the header file

**Testing performed**
GitHub CI actions all passing successfully.
Local testing with full cFS suite confirms app performance unaffected.

**Expected behavior changes**
No change to behavior.
Makes the file content more consistent with the rest of cFS.

**Contributor Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/ci_lab/pull/141
Function prototypes can be moved out of `ci_lab_app.c`,"**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Describe the bug**
These prototypes can/should be moved out of `ci_lab_app.c` into the header file, along with the global data struct definition.

**Code snips**
https://github.com/nasa/ci_lab/blob/6fef38e47b8963c29142ecf13b38e47f107a2f9f/fsw/src/ci_lab_app.c#L39-L65

**Expected behavior**
Consistent content of implementation/header files across cFS.

**Reporter Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/ci_lab/issues/140
"Fix #138, Convert `int32` return codes and variables to `CFE_Status_t`","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- Fixes #138
  - `int32` return codes converted over to `CFE_Status_t`
  - a couple of `int32` `status`/`return` variables holding cFE return codes converted to `CFE_Status_t`

**Testing performed**
GitHub CI actions all passing successfully.
Local testing with full cFS suite passing all tests and showing not change to coverage.

**Expected behavior changes**
No change to behavior.
`CFE_Status_t` is more expressive and improves consistency with cFE/cFS.

**Contributor Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/ci_lab/pull/139
ci_lab `int32` return codes and variables should be converted to `CFE_Status_t`,"**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Describe the bug**
ci_lab has a few return codes (as well as local `status`/`return` variables which hold CFE return codes) that can be easily converted over to the `CFE_Status_t` typedef.

**Expected behavior**
Use the more expressive `CFE_Status_t` and improve consistency with cFS.

**Reporter Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/ci_lab/issues/138
ci_lab Integration candidate: Caelum-rc4+dev45,"**Checklist (Please check before submitting)**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/PSP/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- PR #136. Addresses Issue #135

**Testing performed**
[cFS Bundle Checks](https://github.com/nasa/cFS/pull/667/checks)
[PSP Checks](https://github.com/nasa/ci_lab/pull/137/checks)

**Expected behavior changes**
See PRs

**System(s) tested on**
Ubuntu 22.04

**Additional context**
Add any other context about the contribution here.

**Third party code**
If included, identify any third party code and provide text file of license

**Contributor Info - All information REQUIRED for consideration of pull request**
@jphickey",,https://github.com/nasa/ci_lab/pull/137
"Fix #135, update cmake recipe","**Describe the contribution**
Prefer target-scope properties over directory scope where applicable

Fixes #135

**Testing performed**
Build and run tests, sanity check

**Expected behavior changes**
No impact

**System(s) tested on**
Debian

**Contributor Info - All information REQUIRED for consideration of pull request**
Joseph Hickey, Vantage Systems, Inc.
",CCB:Approved,https://github.com/nasa/ci_lab/pull/136
Update cmake script to use current best practices,"**Is your feature request related to a problem? Please describe.**
Build recipes should publish the module's include directories via the `INTERFACE_INCLUDE_DIRECTORIES` in property in cmake.  This is what CFE modules do, but some of the framework apps are still using directory-scope include directories (old way).

Also, table names should match the app names they are associated with, unless there is a good reason not to.

**Describe the solution you'd like**
Change these to target-scope include directories (use `target_include_directories`, not `include_directories`)

**Additional context**
Notably this is important in order to be able to easily provide an alternative table content via the mission-provided files.

**Requester Info**
Joseph Hickey, Vantage Systems, Inc.
",,https://github.com/nasa/ci_lab/issues/135
"Fix #133, Moves interface definition files to inc","**Describe the contribution**
- Fixes #133

**Testing performed**
make install

**Expected behavior changes**
No impact to behavior

**System(s) tested on**
-Ubuntu 18.04

**Additional context**
Depends on similar pull request in [sch_lab](https://github.com/nasa/sch_lab).

**Third party code**
If included, identify any third party code and provide text file of license

**Contributor Info - All information REQUIRED for consideration of pull request**
-Justin Figueroa, Vantage
",CCB:Ignore,https://github.com/nasa/ci_lab/pull/134
Moves interface definition to inc,"**Is your feature request related to a problem? Please describe.**
The interface definition files of all open source apps currently exist in the ""src"" directory.

**Describe the solution you'd like**
Create an ""inc"" dir to go with the ""src"" dir.  Move the interface definitions into this location: ""_msg.h"", ""_msgdefs.h"", ""_tbldefs.h"", and ""_events.h"". Consider moving header files in both ""platform_inc"" and ""mission_inc"" to ""inc""

**Describe alternatives you've considered**
Leaving as is.

**Additional context**
N/A

**Requester Info**
Justin Figueroa, Vantage Systems
",,https://github.com/nasa/ci_lab/issues/133
"Fix #96, Check returns from CFE calls during init","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- Fixes #96 
  - Returns from `CFE_EVS_Register()`, `CFE_SB_CreatePipe()`,  and `CFE_SB_Subscribe()` during CI_LAB initialization sequence that are `!= CFE_SUCCESS` will now generate an EVS event reporting the error.
  - Also added new Event IDs for these error events.

**Testing performed**
Build + Run cFS locally to confirm CI_LAB still running fine with these changes.
![Screenshot 2022-11-08 11 13 53](https://user-images.githubusercontent.com/9024662/200450955-4c9f0885-f607-4936-a477-ed7826f41213.png)
Also ran with inverse for each event (checking if `status == CFE_SUCCESS`) to confirm structure and format of events is fine - they are shown here:
![Screenshot 2023-03-21 08 53 55](https://user-images.githubusercontent.com/9024662/226484963-852ebcc2-9b19-4d39-819e-d23ddf827ff0.png)

**Expected behavior changes**
Program logic not changed, but new events reports will now be generated for failures generated by these CFE calls.

**System(s) tested on**
Intel(R) Celeron(R) N4100 CPU @ 1.10GHz x86_64
Debian GNU/Linux 11 (bullseye)
Current main branch cFS bundle.

**Contributor Info**
Avi @thnkslprpt",,https://github.com/nasa/ci_lab/pull/132
