Title,Body,Labels,URL
"Fix #132, Adds CheckStatus helper functions","**Describe the contribution**
- Fixes #132, This improvement reduces the cyclomatic complexity of the main() function from 21 to 8 which is less than the recommended 15 cyclomatic complexity upper limit. The change accomplishes this improvement by adding two new status-checking helper functions.

**Testing performed**
CI

**Expected behavior changes**
 - No impact to behavior. This change distributes complexity to newly created helper functions.

**System(s) tested on**
 - OS: Ubuntu 20.04

**Additional context**
* Note, that this improvement doesn't reduce the overall complexity of the elf2cfetbl program. It just distributes the complexity across the two new helper functions which each have 1 cyclomatic complexity, potentially making the code easier to understand and maintain. 
* Also note that the multiple `return()` statements are replaced with `exit()`via the two new helper functions. Calling `return()` from main() when no other non-daemon threads are running, will have the same effect as calling `exit()`. It will terminate the process. I chose to use `exit()` to make use of the new helper functions since elf2cfetbl does not appear to use multi-threading.

**Third party code**
N/A

**Contributor Info - All information REQUIRED for consideration of pull request**
Justin Figueroa, Vantage Systems
","enhancement, CCB:Approved, Equuleus-rc2",https://github.com/nasa/elf2cfetbl/pull/137
"Fix #129, Reduce cyclomatic complexity of GetElfHeader","**Describe the contribution**
- Fixes #129 
This change reduces the cyclomatic complexity by 5. The changes specifically condense extraneous ""Verbose"" if statements for printing header as well as extraneous status assignments when checking the elf magic number.

**Testing performed**
None

**Expected behavior changes**
No expected impact to behavior.

**System(s) tested on**
 - OS: Ubuntu 22.04

**Additional context**
The cyclomatic complexity for this function still remains above the recommended 15, however the code is relatively clean and follows a pretty straightforward process. If desired, further reduction of cylomatic complexity by 8 can be achieved by creating new functions for the [processor class type](https://github.com/nasa/elf2cfetbl/blob/46b29f82c76429be97687203f75f4b1b25227c60/elf2cfetbl.c#L1521-L1547) verification and [data encoding type](https://github.com/nasa/elf2cfetbl/blob/46b29f82c76429be97687203f75f4b1b25227c60/elf2cfetbl.c#L1559-L1589) verification switch/case.

**Third party code**
N/A

**Contributor Info - All information REQUIRED for consideration of pull request**
Justin Figueroa, Vantage Systems
","enhancement, CCB:Ready",https://github.com/nasa/elf2cfetbl/pull/136
Inconsistent prototype in elf2cfetbl.c : OutputDataToTargetFile,"**Describe the bug**

The function `OutputDataToTargetFile` in `elf2cfetbl.c` is prototyped on line 84 with a `void` argument list but defined on line 2486 with an empty argument list.  This causes the compilation to error out if the compiler and its flags are sufficiently strict.

```
...
int32 OutputDataToTargetFile(void);
...
int32 OutputDataToTargetFile()
```


The fix is to change the line 2486 argument list to `void`

**To Reproduce**

By inspection:

[e.g. This description here](https://wiki.sei.cmu.edu/confluence/display/c/DCL20-C.+Explicitly+specify+void+when+a+function+accepts+no+arguments)

> According to the C Standard, subclause 6.7.6.3, paragraph 14 [[ISO/IEC 9899:2011](https://wiki.sei.cmu.edu/confluence/display/c/AA.+Bibliography#AA.Bibliography-ISO-IEC9899-2011)],
>> An identifier list declares only the identifiers of the parameters of the function. An empty list in a function declarator that is part of a definition of that function specifies that the function has no parameters. The empty list in a function declarator that is not part of a definition of that function specifies that no information about the number or types of the parameters is supplied.
> Subclause 6.11.6 states that
>> The use of function declarators with empty parentheses (not prototype-format parameter type declarators) is an obsolescent feature.
> Consequently, functions that accept no arguments should explicitly declare a void parameter in their parameter list. This holds true in both the declaration and definition sections (which should match).
> 


This is caught and rejected by sufficiently-strict (with flags) compilers. One example is the current Apple Mac Clang compiler
```
% cc --version
Apple clang version 14.0.3 (clang-1403.0.22.14.1)
Target: x86_64-apple-darwin22.4.0
Thread model: posix
```
with flags including `-std=c99 -pedantic -Wall -Wstrict-prototypes`.

Admittedly, the Mac is not a cFS supported system, but `clang` is a pretty standard compiler, and eventually you can expect `gcc` to complain as well.

**System observed on:**
 - MacBook Pro (Intel)
 - OS: MacOS Ventura 13.3.1
 - Versions: clang version 14.0.3
",,https://github.com/nasa/elf2cfetbl/issues/135
"Fix #133, Update references to CFE_FS_Header_t time members","**Describe the contribution**
- Fixes #133 
  - References to the `CFE_FS_Header_t` file create time members are updated to go through to the `CFE_TIME_SysTime_t` substruct.

**Testing performed**
GitHub CodeqL tasks failing to build because this goes along with updates to cFE: https://github.com/nasa/cFE/pull/2246

Local testing confirms all working together successfully when both changes implemented together. 100% of tests passing and net coverage unaffected.
![Screenshot 2023-04-03 09 35 59](https://user-images.githubusercontent.com/9024662/229385655-b6e0bd83-660d-4e09-91a9-013bae009e1d.png)
![Screenshot 2023-04-03 09 35 33](https://user-images.githubusercontent.com/9024662/229385660-6f91514b-ba77-43fb-9c83-50b069feaa4c.png)

**Expected behavior changes**
No change to behavior.

**System(s) tested on**
Intel(R) Celeron(R) N4100 CPU @ 1.10GHz x86_64
Debian GNU/Linux 11 (bullseye)
Current main branch of cFS.

**Contributor Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/elf2cfetbl/pull/134
References to time members in CFE_FS_Header_t should be converted to CFE_TIME_SysTime_t,"**Describe the bug**
cFE PR https://github.com/nasa/cFE/pull/2246 converts all remaining seconds/subseconds time struct members to use `CFE_TIME_SysTime_t` that were not already doing so.
elf2cfetbl requires some updates as it references one of them directly (for cFE FS) in a few locations.

**Code snips**
https://github.com/nasa/elf2cfetbl/blob/46b29f82c76429be97687203f75f4b1b25227c60/elf2cfetbl.c#L2528-L2536

**Expected behavior**
Needs to be updated to reference the time members through the `CFE_TIME_SysTime_t` sub-struct.

**Reporter Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/elf2cfetbl/issues/133
main - cyclomatic complexity of 21,"**Is your feature request related to a problem? Please describe.**
NASA guidelines in NPR 7150.2D recommends maintaining a cyclomatic complexity in software, in particular flight software of 15.

elf2cfetbl.c::[main](https://github.com/nasa/elf2cfetbl/blob/46b29f82c76429be97687203f75f4b1b25227c60/elf2cfetbl.c#L603) unnecessarily violates the recommendation with a cyclomatic complexity of 21.  

**Describe the solution you'd like**
Clean up main such that it has a cyclomatic complexity of 15 or less.

**Describe alternatives you've considered**
Leave as-is

**Additional context**
Imported from JSC static analysis audit

**Requester Info**
Justin Figueroa, Vantage Systems
",enhancement,https://github.com/nasa/elf2cfetbl/issues/132
LocateAndReadUserObject - cyclomatic complexity of 29,"**Is your feature request related to a problem? Please describe.**
NASA guidelines in NPR 7150.2D recommends maintaining a cyclomatic complexity in software, in particular flight software of 15.

elf2cfetbl.c::[LocateAndReadUserObject](https://github.com/nasa/elf2cfetbl/blob/46b29f82c76429be97687203f75f4b1b25227c60/elf2cfetbl.c#L2328) unnecessarily violates the recommendation with a cyclomatic complexity of 29.  

**Describe the solution you'd like**
Clean up GetElfHeader such that it has a cyclomatic complexity of 15 or less.

**Describe alternatives you've considered**
Leave as-is

**Additional context**
Imported from JSC static analysis audit

**Requester Info**
Justin Figueroa, Vantage Systems
",enhancement,https://github.com/nasa/elf2cfetbl/issues/131
GetSectionHeader - cyclomatic complexity of 35,"**Is your feature request related to a problem? Please describe.**
NASA guidelines in NPR 7150.2D recommends maintaining a cyclomatic complexity in software, in particular flight software of 15.

elf2cfetbl.c::[GetSectionHeader](https://github.com/nasa/elf2cfetbl/blob/46b29f82c76429be97687203f75f4b1b25227c60/elf2cfetbl.c#L1679) unnecessarily violates the recommendation with a cyclomatic complexity of 35.  

**Describe the solution you'd like**
Clean up GetElfHeader such that it has a cyclomatic complexity of 15 or less.

**Describe alternatives you've considered**
Leave as-is

**Additional context**
Imported from JSC static analysis audit

**Requester Info**
Justin Figueroa, Vantage Systems
",enhancement,https://github.com/nasa/elf2cfetbl/issues/130
GetElfHeader - cyclomatic complexity of 36,"**Is your feature request related to a problem? Please describe.**
NASA guidelines in NPR 7150.2D recommends maintaining a cyclomatic complexity in software, in particular flight software of 15.

elf2cfetbl.c::[GetElfHeader](https://github.com/nasa/elf2cfetbl/blob/46b29f82c76429be97687203f75f4b1b25227c60/elf2cfetbl.c#L1467) unnecessarily violates the recommendation with a cyclomatic complexity of 36.  

**Describe the solution you'd like**
Clean up GetElfHeader such that it has a cyclomatic complexity of 15 or less.

**Describe alternatives you've considered**
Leave as-is

**Additional context**
Imported from JSC static analysis audit

**Requester Info**
Justin Figueroa, Vantage Systems
",enhancement,https://github.com/nasa/elf2cfetbl/issues/129
ProcessCmdLineOptions - cyclomatic complexity of 45,"**Is your feature request related to a problem? Please describe.**
NASA guidelines in NPR 7150.2D recommends maintaining a cyclomatic complexity in software, in particular flight software of 15.

elf2cfetbl.c::[ProcessCmdLineOptions](https://github.com/nasa/elf2cfetbl/blob/46b29f82c76429be97687203f75f4b1b25227c60/elf2cfetbl.c#L921) unnecessarily violates the recommendation with a cyclomatic complexity of 45.  

**Describe the solution you'd like**
Clean up ProcessCmdLineOptions such that it has a cyclomatic complexity of 15 or less.

**Describe alternatives you've considered**
Leave as-is

**Additional context**
Imported from JSC static analysis audit

**Requester Info**
Justin Figueroa, Vantage Systems
",enhancement,https://github.com/nasa/elf2cfetbl/issues/128
