Title,Body,Labels,URL
"Fix #1402, Fixes errors in IC Bundle workflow file","**Checklist (Please check before submitting)**

* [X] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [X] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Addresses issue #1402.

**Testing performed**
Generated IC branch in fork.

**Expected behavior changes**
No additional ""#"" is placed in front of ""#Changelog"" in Changelog.md
No additional ""#"" is placed in front of ""#define OS_BUILD_NUMBER ..."" in src/os/inc/osapi-version.h
Additional occurrences of the string ""Changelog"" are not replaced in the Changelog.md file

**System(s) tested on**
GitHub

**Contributor Info - All information REQUIRED for consideration of pull request**
Dylan Z. Baker/NASA GSFC",,https://github.com/nasa/osal/pull/1403
Formatting Issues with ICBundle Workflow,"**Describe the bug**
Similar to nasa/cFE#2419. There are some small formatting issues that should be corrected in the changelog/version.h updates made by the ICBundle workflow:
1. An additional ""#"" is placed in front of ""#Changelog"" in Changelog.md
2. An additional ""#"" is placed in front of ""#define OS_BUILD_NUMBER ..."" in src/os/inc/osapi-version.h
3. Additional occurrences of the string ""Changelog"" are replaced in the Changelog.md file

**To Reproduce**
Steps to reproduce the behavior:
1. Push a code change to a user-owned feature branch
2. Submit a pull request for that code change
3. Go to the ""Actions"" tab in GitHub and run the ""Integration Candidate Bundle Generation"" workflow with the PR number as the input argument for the field labeled ""The pull request numbers to include (Comma separated):""
4. Wait for the workflow to complete
5. Inspect the newly updated/generated ""integration-candidate branch""
6. Observe the changes made to the Changelog.md and src/os/inc/osapi-version.h files by the workflow

**Expected behavior**
1. No additional ""#"" is placed in front of ""#Changelog"" in Changelog.md
2. No additional ""#"" is placed in front of ""#define OS_BUILD_NUMBER ..."" in src/os/inc/osapi-version.h
3. Additional occurrences of the string ""Changelog"" are not replaced in the Changelog.md file

**System observed on:**
GitHub

**Reporter Info**
Dylan Z. Baker/NASA GSFC",,https://github.com/nasa/osal/issues/1402
Message Receive timeout if system clock changes?,"**Is your feature request related to a problem? Please describe.**

### Discussed in https://github.com/nasa/cFS/discussions/691

<div type='discussions-op-text'>

<sup>Originally posted by **irowebbn** August  1, 2023</sup>
The cFE call for receiving a software bus message,  `CFE_SB_ReceiveBuffer`, uses the `OS_QueueGet` call to manage the OS-level interface for the message passing. Unlike the RTEMS and VxWorks implementations, the POSIX implementation of `OS_QueueGet` [uses an absolute timestamp from `CLOCK_REALTIME`](https://github.com/nasa/osal/blob/main/src/os/posix/src/os-impl-common.c#L149) to set the timeout periods to wait for a message. This appears to be because the [POSIX mqueue API requires it.](https://pubs.opengroup.org/onlinepubs/9699919799/functions/mq_timedreceive.html). 

The problem with basing the timeout off the absolute system clock rather than as a duration based on clock ticks (as RTEMS and Vxworks do), is that if they system clock changes, the timeout is affected. I have observed a situation if the system clock is updated (for example, after resetting the clock based on acquired GPS signal after being suspended) calls to `CFE_SB_ReceiveBuffer` that specify timeouts will be stuck forever if a message isn't sent. It is no longer possible to have task occur after a certain amount of time if a message isn't sent.

**Describe the solution you'd like**
 OS_QueueGet call should still wake up after its indicated timeout even if/when CLOCK_REALTIME gets updated in the background.

**Additional context**
This is an underlying limitation with the POSIX API, the mq_timedwait call uses CLOCK_REALTIME as its reference.  See https://stackoverflow.com/questions/33873374/pthreads-mq-timedreceive-pthread-cond-timedwait-and-clock-realtime 

**Requester Info**
Originally from @irowebbn in cFS discussion

",,https://github.com/nasa/osal/issues/1401
osal Integration candidate: Caelum-rc4+dev54,"**Checklist (Please check before submitting)**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- PR #1397. Addresses Issue #1396
- PR #1399. Addresses Issue #1398

**Testing performed**
[cFS Bundle Checks](https://github.com/nasa/cFS/pull/690/checks)
[osal Checks](https://github.com/nasa/osal/pull/1400/checks)

**Expected behavior changes**
See PRs

**System(s) tested on**
Ubuntu 20.04

**Additional context**
Add any other context about the contribution here.

**Third party code**
If included, identify any third party code and provide text file of license

**Contributor Info - All information REQUIRED for consideration of pull request**
@jphickey",,https://github.com/nasa/osal/pull/1400
"Fix #1398, separate bind and listen calls for streams","**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Add OS_SocketBindAddress() and OS_SocketListen() to allow users to bind an address without also calling listen().  The use case is for client side connections where the source port needs to be controlled.

Fixes #1398

**Testing performed**
Steps taken to test the contribution:
1. Build steps '...'
1. Execution steps '...'

**Expected behavior changes**
Users can call `OS_SocketBindAddress()` to bind a specific port/address for client-side connections

**System(s) tested on**
Debian

**Contributor Info - All information REQUIRED for consideration of pull request**
Joseph Hickey, Vantage Systems, Inc.
",CCB:Approved,https://github.com/nasa/osal/pull/1399
Socket API needs method to control source port for TCP client,"**Is your feature request related to a problem? Please describe.**
The `bind()` call could be used on a client-side role (without `listen()`) to control the source port for outgoing TCP connections.  

The `OS_SocketBind()` API assumes a server-side role, in that it does both a `bind()` and `listen()` call underneath.

Currently, the OSAL API does not have any way to control the port used for a TCP connection on the client side.  

**Describe the solution you'd like**
Introduce a method that can be used to control the source port used for client-side connections

For example: `OS_SocketBindClient()` and `OS_SocketBindServer()` (retaining existing OS_SocketBind for compatibility)

**Describe alternatives you've considered**
This could potentially be done in OS_SocketConnect, such as `OS_SocketConnectWithSourcePort()` ... but keeping it in bind keeps it more closely related to standard sockets API.

**Additional context**
This must be done with only new functions, cannot change definition of current OS_SocketBind.

**Requester Info**
Joseph Hickey, Vantage Systems, Inc.
",,https://github.com/nasa/osal/issues/1398
"Fix #1396, do not use intmax_t/uintmax_t types","**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Replace these with long and unsigned long, respectively, as some old systems might not have these types even if it does provide stdint.h

Fixes #1396

**Testing performed**
Build on vxworks 6.9 (gcc 4.3.3)

**Expected behavior changes**
Build should succeed

**System(s) tested on**
GSFC VxWorks build host

**Contributor Info - All information REQUIRED for consideration of pull request**
Joseph Hickey, Vantage Systems, Inc.
",CCB:Approved,https://github.com/nasa/osal/pull/1397
"Some systems do not provide an ""intmax_t"" via stdint.h","**Describe the bug**
Although specified in C99, there are some old systems out there that do not provide an `intmax_t` or `uintmax_t` type in `stdint.h`.  Example is VxWorks 6.9 / Workbench 3.3 using gcc 4.3.3.

UtAssert uses these types, so it fails to build on this platform.

**To Reproduce**
Build UtAssert on VxWorks 6.9 - fails on missing types `intmax_t` and `uintmax_t`.

**Expected behavior**
Build should succeed

**System observed on:**
GSFC VxWorks build host

**Additional context**
Workaround would be to use `long` and `unsigned long` instead.

**Reporter Info**
Joseph Hickey, Vantage Systems, Inc.
",,https://github.com/nasa/osal/issues/1396
osal Integration candidate: Caelum-rc4+dev52,"**Checklist (Please check before submitting)**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- PR #1393. Addresses Issue #1392

**Testing performed**
[cFS Bundle Checks](https://github.com/nasa/cFS/pull/677/checks)
[osal Checks](https://github.com/nasa/osal/pull/1395/checks)

**Expected behavior changes**
See PRs

**System(s) tested on**
Ubuntu 20.04

**Additional context**
Add any other context about the contribution here.

**Third party code**
If included, identify any third party code and provide text file of license

**Contributor Info - All information REQUIRED for consideration of pull request**
@dmknutsen",,https://github.com/nasa/osal/pull/1395
Task API provides no mechanism to provide an instance parameter,"**Is your feature request related to a problem? Please describe.**
There is currently no way to provide a runtime parameter to a task that is visible to the specific function executed in the task thread.

**Describe the solution you'd like**
Both [POSIX](https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_create.html) and [RTEMS](https://docs.rtems.org/branches/master/c-user/rtems_data_types.html?highlight=rtems_task_argument#index-43) provide the ability to provide a single task function argument in the form of an opaque pointer (RTEMS isn't typed as a pointer but has a guaranteed size able to hold a pointer).

**Describe alternatives you've considered**
Without a mechanism to give a parameter to a task function, the only way to provide task-instance-specific data is some kind of an external thread-safe queue for each task function, and all of the excess bookkeeping required for that queue.

**Requester Info**
Brian Sipos, JHU/APL",,https://github.com/nasa/osal/issues/1394
