Title,Body,Labels,URL
"Fix #45, Move cmds and utils into separate files","**Describe the contribution**
- Fixes #45
  - Moves the command and utility functions into their own separate source files.

**Testing performed**
GitHub CI actions all passing successfully.

Local testing confirms 100% of cFS suite tests passing (incl. Sample App tests) and coverage unaffected.

Prior to changes:
![Screenshot 2023-04-17 09 23 08](https://user-images.githubusercontent.com/9024662/232349151-649d4772-8610-49ff-8e98-a922aeb75b77.png)

After changes:
![Screenshot 2023-04-17 09 23 47](https://user-images.githubusercontent.com/9024662/232349147-26f0e1c9-a48c-4f6a-a948-a955b302897c.png)

**Expected behavior changes**
No change to behavior.
The Sample App now more closely matches the recommended structure/style for cFS apps.

**System(s) tested on**
Debian GNU/Linux 11 (bullseye)
Current main branch of cFS bundle.

**Contributor Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/sample_app/pull/205
sample_app Integration candidate: Caelum-rc4+dev45,"**Checklist (Please check before submitting)**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/PSP/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- PR #203. Addresses Issue #202

**Testing performed**
[cFS Bundle Checks](https://github.com/nasa/cFS/pull/667/checks)
[PSP Checks](https://github.com/nasa/sample_app/pull/204/checks)

**Expected behavior changes**
See PRs

**System(s) tested on**
Ubuntu 22.04

**Additional context**
Add any other context about the contribution here.

**Third party code**
If included, identify any third party code and provide text file of license

**Contributor Info - All information REQUIRED for consideration of pull request**
@jphickey",,https://github.com/nasa/sample_app/pull/204
"Fix #202, update cmake recipe","**Describe the contribution**
Prefer target-scope properties over directory scope where applicable

Fixes #202

**Testing performed**
Build and run tests, sanity check

**Expected behavior changes**
No impact

**System(s) tested on**
Debian

**Contributor Info - All information REQUIRED for consideration of pull request**
Joseph Hickey, Vantage Systems, Inc.
",CCB:Approved,https://github.com/nasa/sample_app/pull/203
Update cmake script to use current best practices,"**Is your feature request related to a problem? Please describe.**
Build recipes should publish the module's include directories via the `INTERFACE_INCLUDE_DIRECTORIES` in property in cmake.  This is what CFE modules do, but some of the framework apps are still using directory-scope include directories (old way).

Also, table names should match the app names they are associated with, unless there is a good reason not to.

**Describe the solution you'd like**
Change these to target-scope include directories (use `target_include_directories`, not `include_directories`)

**Additional context**
Notably this is important in order to be able to easily provide an alternative table content via the mission-provided files.

**Requester Info**
Joseph Hickey, Vantage Systems, Inc.
",,https://github.com/nasa/sample_app/issues/202
"Fix #141, Zero out global data structure during initialization","**Describe the contribution**
- Fixes #141 
  - Added a `memset` to zero out the global data structure at the beginning of the app's initialization.

**Testing performed**
GitHub CI actions passing successfully and local test confirms all tests passing and no change to coverage due to these changes.

**Expected behavior changes**
No change to behavior. The entire struct is now assured to start out initialized to zero.

**System(s) tested on**
Intel(R) Celeron(R) N4100 CPU @ 1.10GHz x86_64
Debian GNU/Linux 11 (bullseye)
Current main branch of cFS.

**Contributor Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/sample_app/pull/201
"Fix #199, Add test for missing branch in SAMPLE_APP_Process()","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- Fixes #199
  - Tests added to cover missing branch.
    - The test calls `SAMPLE_APP_Process()` with a seeded failure from `CFE_TBL_ReleaseAddress()`.
    - The desired branch flow is confirmed by checking for the expected 3 additional calls to `CFE_ES_WriteToSysLog()` (in this function, only this specific path would add 3 additional calls to `CFE_ES_WriteToSysLog()`).

**Testing performed**
GitHub CI actions all passing successfully.
Tested locally confirming extra branch covered now, increasing branch coverage slightly (from 37/41 to 38/41 branches) and line cover to 100%.

Prior:
![image](https://user-images.githubusercontent.com/9024662/223366676-92a0485a-ebe6-4424-8b17-9be98488e0bf.png)
![Screenshot 2023-03-07 18 01 33](https://user-images.githubusercontent.com/9024662/223366843-59afd504-b8f4-4e38-8e7c-c1bff5ae96a0.png)

With these changes:
![Screenshot 2023-03-07 17 52 38](https://user-images.githubusercontent.com/9024662/223364492-9cd309f4-bbe0-4f5e-b20c-675481814bf1.png)
![Screenshot 2023-03-07 17 54 39](https://user-images.githubusercontent.com/9024662/223364397-11f417ed-2f20-47c1-92d2-8448a13df77e.png)

**Expected behavior changes**
Tests now cover an additional branch.

**System(s) tested on**
Intel(R) Celeron(R) N4100 CPU @ 1.10GHz x86_64
Debian GNU/Linux 11 (bullseye)
Current main branch of cFS.

**Contributor Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/sample_app/pull/200
Missing test for one branch in SAMPLE_APP_Process(),"**Describe the bug**
The tests for `SAMPLE_APP_Process()` are missing one of the branches - specifically, the branch where the call to `CFE_TBL_ReleaseAddress()` fails.

**Code snips**
![Screenshot 2023-03-07 18 01 33](https://user-images.githubusercontent.com/9024662/223363365-0708573f-eaa0-48db-aa1e-77dbfac01cc1.png)

**Expected behavior**
Tests should cover this branch - easy fix to add failing path.

**Reporter Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/sample_app/issues/199
"Fix #197, Refactor SAMPLE_APP_Init/Process to remove multiple returns","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- Fixes #197 
  - `SAMPLE_APP_Init()` and `SAMPLE_APP_Process()` were refactored to now have a single exit point.

The Sample App now exhibits the preferred pattern of cFS more closely - encouraging new users to follow the same guidelines.

A few spelling inconsistencies and spacing issues were rectified as well.

**Testing performed**
GitHub CI actions (incl. Build + Run, Unit Tests etc.) all passing successfully.

Tested locally - coverage level unchanged by this PR (testing still misses 4 branches in sample_app as per the main branch).

**Expected behavior changes**
Behavior unchanged - failures during these 2 functions will fail subsequent checks of `== CFE_SUCCESS` and fall through to the exit point at the end of the function to return the relevant error code.

**System(s) tested on**
Intel(R) Celeron(R) N4100 CPU @ 1.10GHz x86_64
Debian GNU/Linux 11 (bullseye)
Current main branch of cFS.

**Contributor Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/sample_app/pull/198
Refactor SAMPLE_APP_Init and SAMPLE_APP_Process to remove multiple returns,"**Describe the bug**
`SAMPLE_APP_Init()` and `SAMPLE_APP_Process()` use multiple returns to manage control flow.

**Expected behavior**
The Sample App should exhibit/encourage best practice (according to the cFS), of which multiple returns does not comply.
Given that it is unnecessary in this case, would be worth refactoring to the recommended pattern with a single exit point from the function.

**Reporter Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/sample_app/issues/197
"Fix #148, Update add_cfe_tables APP_NAME parameter","**Describe the contribution**
- Fixes #148
  - Corrects first parameter of `add_cfe_tables` CMake function.

**Testing performed**
GitHub CI actions (incl. Build + Run, Unit Tests etc.) all passing successfully.
Confirmed locally with start-up test and ground-system commands.

**Expected behavior changes**
No change to behavior with current implementation.

**Contributor Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/sample_app/pull/196
