Title,Body,Labels,URL
sample_lib Integration candidate: Caelum-rc4+dev30,"**Describe the contribution**

PR #89
- PR #92. Addresses Issue #91

**Testing performed**
sample_lib Checks <https://github.com/nasa/sample_lib/pull/93/checks>
cFS Bundle checks <https://github.com/nasa/cFS/620/checks>

**Expected behavior changes**
See PRs

**System(s) tested on**
Ubuntu

**Third party code**
None

**Contributor Info - All information REQUIRED for consideration of pull request**
@skliper",,https://github.com/nasa/sample_lib/pull/93
"Fix #91, Add newline at end of sample_lib.c","**Describe the contribution**
- Fix #91 
- Removes a stray swap file

**Testing performed**
CI, also built w/ clang and it resolves the warning

**Expected behavior changes**
No clang warning, no impact for gnu compilers

**System(s) tested on**
CI and w/ Clang 10

**Additional context**
Related to:
- nasa/cFE#2120

**Third party code**
None

**Contributor Info - All information REQUIRED for consideration of pull request**
Jacob Hageman - NASA/GSFC",CCB:Approved,https://github.com/nasa/sample_lib/pull/92
Missing newline at end of sample_lib.c,"**Is your feature request related to a problem? Please describe.**
Clang throws an error about the missing newline at the end of sample_lib.c

**Describe the solution you'd like**
Add a new line, they are pretty cheap these days.

**Describe alternatives you've considered**
None

**Additional context**
None

**Requester Info**
Jacob Hageman - NASA/GSFC",enhancement,https://github.com/nasa/sample_lib/issues/91
sample_lib Integration candidate: Caelum-rc4+dev25,"**Describe the contribution**

PR #89
- Fix #88, Remove redundant comments

PR #86
- Fix #85, Create CHANGELOG.md


**Testing performed**
sample_lib Checks <https://github.com/nasa/sample_lib/pull/90/checks>
cFS Bundle checks <https://github.com/nasa/cFS/590/checks>

**Expected behavior changes**
See PRs

**System(s) tested on**
Ubuntu

**Third party code**
None

**Contributor Info - All information REQUIRED for consideration of pull request**
@thnkslprpt",,https://github.com/nasa/sample_lib/pull/90
"Fix #88, Remove redundant comments","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Fixes #88
Removes redundant comments (incl. `/* end of function */`, `/* end if */`, function name in function header comments).
Empty lines before the final closing brace of functions were removed as well, as they were triggering the CI checks.

**Testing performed**
None (comment changes only).

**Expected behavior changes**
No impact on behavior.
These updates will reduce clutter and inconsistency in the code, improving readability.

**Contributor Info**
@thnkslprpt ",CCB:Approved,https://github.com/nasa/sample_lib/pull/89
"Redundant comments (/* end of function */, /* end if */ etc.)","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Describe the bug**
Copy of https://github.com/nasa/to_lab/issues/68 and https://github.com/nasa/sample_app/issues/111
There are quite a few redundant comments in the code, such as:
- `/* end of function */`-type comments
- `/* end if */`-type comments
- function header comments which include the function name

**Expected behavior**
Remove redundant comments to reduce clutter and inconsistency in the code, and improve readability.

**Reporter Info**
@thnkslprpt ",,https://github.com/nasa/sample_lib/issues/88
sample_lib Integration candidate: Caelum-rc4+dev23,"**Describe the contribution**

PR #84
- Fix #83, Remove unnecessary parentheses around return values.


**Testing performed**
sample_lib Checks <https://github.com/nasa/sample_lib/pull/87/checks>
cFS Bundle checks <https://github.com/nasa/cFS/586/checks>

**Expected behavior changes**
See PRs

**System(s) tested on**
Ubuntu

**Third party code**
None

**Contributor Info - All information REQUIRED for consideration of pull request**
@thnkslprpt",,https://github.com/nasa/sample_lib/pull/87
"Fix #85, Create CHANGELOG.md","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Fixes #85

**Testing performed**
None.

**Expected behavior changes**
Minimizes unnecessary clutter in README.md

**Contributor Info**
@thnkslprpt ",CCB:Approved,https://github.com/nasa/sample_lib/pull/86
Use a changelog to keep track of changes instead of having them in the Readme,"Copy of https://github.com/nasa/osal/issues/552

**Is your feature request related to a problem? Please describe.**
The version history in the Readme file clutters useful information

**Describe the solution you'd like**
Move the ""version history"" from `Readme.md` to `CHANGELOG.md`

**Requester Info**
@thnkslprpt 
",,https://github.com/nasa/sample_lib/issues/85
"Fix #83, Remove unnecessary parentheses around return values.","**Checklist (Please check before submitting)**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Fixes #83 
Removes parentheses in return statements in sample_lib that return a single value/term.
This is aligns these return statements with the predominant style of cFS.

**Testing performed**
None, prior to submission of the pull request.

**Expected behavior changes**
No impact on behavior.

**Contributor Info - All information REQUIRED for consideration of pull request**
@thnkslprpt ",CCB:Approved,https://github.com/nasa/sample_lib/pull/84
