Title,Body,Labels,URL
[Question] Comparison of use cases of SCH x SCH_LAB,"**Usability and use-case questions:**
- As far as I understood, the open issue https://github.com/nasa/SCH/issues/25 has no target date to be reached. How close is SCH to being CFE draco-rc4 compliant?
- Could you explain the differences in approach between SCH and SCH_LAB?
- Can the features of SCH_LAB fully comply with the capabilities of SCH 2.2.2?
- Is SCH_LAB a test or mockup app? I mean, is it not supposed to be production compliant and only used for simulation purposes?
- Is the SCH app required for draco-rc4 operation? I mean, is SCH_LAB the only one supposed to be working with draco-rc4? 

**Describe the solution you'd like:**
I would like a clear and objective description of the use-cases and usability of both apps, including guidance on when to use one over the other or if both are needed.

",,https://github.com/nasa/sch_lab/issues/146
sch_lab Integration candidate: Caelum-rc4+dev51,"**Checklist (Please check before submitting)**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/PSP/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- PR #144. Addresses Issue #143

**Testing performed**
[cFS Bundle Checks](https://github.com/nasa/cFS/pull/675/checks)
[PSP Checks](https://github.com/nasa/sch_lab/pull/145/checks)

**Expected behavior changes**
See PRs

**System(s) tested on**
Ubuntu 22.04

**Additional context**
Add any other context about the contribution here.

**Third party code**
If included, identify any third party code and provide text file of license

**Contributor Info - All information REQUIRED for consideration of pull request**
@dmknutsen",,https://github.com/nasa/sch_lab/pull/145
"Fix #143, Add support for cmds w/args","**Describe the contribution**
Adds support for commands w/args.
Fixes issue #143 

**Testing performed**
Tested LC sample action point command via build verification scripts.

**Expected behavior changes**
A clear and concise description of how this contribution will change behavior and level of impact.
 - API Change: xxx (if applicable)
 - Behavior Change: xxx (if applicable)
 - Or no impact to behavior

**System(s) tested on**
 - OS: [e.g. Ubuntu 20.04



**Contributor Info - All information REQUIRED for consideration of pull request**
Dan Knutsen
NASA Goddard
",CCB:Approved,https://github.com/nasa/sch_lab/pull/144
SCH_LAB does not support sending commands with arguments,"**Is your feature request related to a problem? Please describe.**
sch_lab does not support sending commands with arguments.  This is needed when scheduling messages such as LC's sample action point command & HK's send combined packet command.

**Describe the solution you'd like**
sch_lab supports sending commands with arguments.

**Requester Info**
Dan Knutsen
NASA Goddard
",enhancement,https://github.com/nasa/sch_lab/issues/143
"Fix #141, Convert `int32` return codes and variables to `CFE_Status_t`","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- Fixes #141 
  - `int32` return codes converted over to `CFE_Status_t`

edit: some formatting issues cropped up after a recent PR went through

**Testing performed**
GitHub CI actions all passing successfully.
Local testing with full cFS suite passing all tests and showing not change to coverage.

**Expected behavior changes**
No change to behavior.
`CFE_Status_t` is more expressive and improves consistency with cFE/cFS.

**Contributor Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/sch_lab/pull/142
sch_lab `int32` return codes and variables should be converted to `CFE_Status_t`,"**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Describe the bug**
sch_lab has a couple of return codes that can be easily converted over to the `CFE_Status_t` typedef.

**Expected behavior**
Use the more expressive `CFE_Status_t` and improve consistency with cFS.

**Reporter Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/sch_lab/issues/141
sch_lab Integration candidate: Caelum-rc4+dev46,"**Checklist (Please check before submitting)**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/PSP/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- PR #139. Addresses Issue #138

**Testing performed**
[cFS Bundle Checks](https://github.com/nasa/cFS/pull/668/checks)
[PSP Checks](https://github.com/nasa/sch_lab/pull/140/checks)

**Expected behavior changes**
See PRs

**System(s) tested on**
Ubuntu 22.04

**Additional context**
Add any other context about the contribution here.

**Third party code**
If included, identify any third party code and provide text file of license

**Contributor Info - All information REQUIRED for consideration of pull request**
@jphickey",,https://github.com/nasa/sch_lab/pull/140
"Fix #138, adjust table based on apps present","**Describe the contribution**
Create an inclusion preprocessor macro for each app referred to in the subscription table, and only include that line if the app is present in the current configuration.

In particular, do not assume that sample_app will always be there.

Fixes #138

**Testing performed**
Build SCH_LAB without SAMPLE_APP and confirm successful

**Expected behavior changes**
Presence of other apps is not assumed/hardcoded in the table

**System(s) tested on**
Debian

**Additional context**
This should fix workflow errors where apps are built with SCH_LAB but without SAMPLE_APP.

**Contributor Info - All information REQUIRED for consideration of pull request**
Joseph Hickey, Vantage Systems, Inc.
",CCB:Approved,https://github.com/nasa/sch_lab/pull/139
Default/Example table assumes presence of other apps,"**Describe the bug**
The default value for the SCH_LAB table directly refers to `sample_app` Msg ID, assuming this these app will be present.  This is fine for a user who is cloning the http://github.com/nasa/cFS bundle repo, because it includes all submodules.  But in other cases if sample_app is not present, the table fails to build.

This issue is now detected at configuration (CMake) time, if there is a reference to the include directories of a target that does not exist in this configuration.

**To Reproduce**
Notably, this change from compile to config time caused an unintended side effect- workflows for the other CFS apps seem to do this - it clones the CFS but modifies the `targets.cmake` configuration in such a way that it no longer includes the `sample_app`.

**Expected behavior**
Should not assume/require that `sample_app` will always be part of the config.

**Code snips**
Problematic assumption is here in the table:
https://github.com/nasa/sch_lab/blob/74d112908a9671554e4126345e3a513c2bb72a72/fsw/tables/sch_lab_table.c#L57

**System observed on:**
Github workflow (see https://github.com/nasa/LC/actions/runs/4681105860/jobs/8293280167)

**Additional context**
Same issue in to_lab, see nasa/to_lab#152

**Reporter Info**
Joseph Hickey, Vantage Systems, Inc.
",,https://github.com/nasa/sch_lab/issues/138
sch_lab Integration candidate: Caelum-rc4+dev45,"**Checklist (Please check before submitting)**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/PSP/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- PR #136. Addresses Issue #135

**Testing performed**
[cFS Bundle Checks](https://github.com/nasa/cFS/pull/667/checks)
[PSP Checks](https://github.com/nasa/sch_lab/pull/137/checks)

**Expected behavior changes**
See PRs

**System(s) tested on**
Ubuntu 22.04

**Additional context**
Add any other context about the contribution here.

**Third party code**
If included, identify any third party code and provide text file of license

**Contributor Info - All information REQUIRED for consideration of pull request**
@jphickey",,https://github.com/nasa/sch_lab/pull/137
