Title,Body,Labels,URL
tblCRCTool Integration candidate: Caelum-rc4+dev40,"**Checklist (Please check before submitting)**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- PR #77. Addresses Issue #76

**Testing performed**
[cFS Bundle Checks](https://github.com/nasa/cFS/pull/654/checks)
[tblCRCTool Checks](https://github.com/nasa/tblCRCTool/pull/78/checks)

**Expected behavior changes**
See PRs

**System(s) tested on**
Ubuntu 20.04

**Additional context**
Add any other context about the contribution here.

**Third party code**
If included, identify any third party code and provide text file of license

**Contributor Info - All information REQUIRED for consideration of pull request**
@thnkslprpt",,https://github.com/nasa/tblCRCTool/pull/78
"Fix #76, Replace exit(1) with preferred macro EXIT_FAILURE","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Fixes #76 
`exit(1)` replaced in 5 locations with the equivalent, but more portable and expressive, `EXIT_FAILURE` macro.

**Testing performed**
GitHub CI actions (incl. Build + Run, Unit Tests etc.) all passing successfully.

**Expected behavior changes**
No change to code logic/behavior.

**Contributor Info**
Avi Weiss @thnkslprpt",CCB:Approved,https://github.com/nasa/tblCRCTool/pull/77
Replace exit(1) statements with preferred macro EXIT_FAILURE ,"**Describe the bug**
Use of `exit(1)` (or `exit(0)` for that matter) as input to exit() is less clear and less portable than using the standard macros `EXIT_SUCCESS` and `EXIT_FAILURE`.

**Expected behavior**
Recommend replacing with the more portable and less magic-numbery `EXIT_FAILURE` macro.

**Code snips**
https://github.com/nasa/tblCRCTool/blob/9abe3a7a50e8c0ecd1afeefe325403838d3579cc/cfe_ts_crc.c#L113-L128

**Reporter Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/tblCRCTool/issues/76
tblCRCTool Integration candidate: Caelum-rc4+dev25,"**Describe the contribution**

PR #73
- Fix #72, Create CHANGELOG.md


**Testing performed**
cFS-GroundSystem Checks <https://github.com/nasa/sample_lib/pull/75/checks>
cFS Bundle checks <https://github.com/nasa/cFS/590/checks>

**Expected behavior changes**
See PRs

**System(s) tested on**
Ubuntu

**Third party code**
None

**Contributor Info - All information REQUIRED for consideration of pull request**
@thnkslprpt",,https://github.com/nasa/tblCRCTool/pull/75
tblCRCTool Integration candidate: Caelum-rc4+dev23,"**Describe the contribution**


PR #70
    
- Fix #69, Remove unnecessary parentheses around return values.


**Testing performed**

[sch_lab Checks](https://github.com/nasa/tblCRCTool/pull/74/checks)
[cFS Bundle Checks](https://github.com/nasa/cFS/pull/586/checks)

**Expected behavior changes**

See PRs

**System(s) tested on**
Ubuntu 18.04

**Third party code**
None

**Contributor Info - All information REQUIRED for consideration of pull request**
@thnkslprpt",,https://github.com/nasa/tblCRCTool/pull/74
"Fix #72, Create CHANGELOG.md","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Fixes #72

**Testing performed**
None.

**Expected behavior changes**
Minimizes unnecessary clutter in README.md

**Contributor Info**
@thnkslprpt ",CCB:Approved,https://github.com/nasa/tblCRCTool/pull/73
Use a changelog to keep track of changes instead of having them in the Readme,"Copy of https://github.com/nasa/osal/issues/552

**Is your feature request related to a problem? Please describe.**
The version history in the Readme file clutters useful information

**Describe the solution you'd like**
Move the ""version history"" from `Readme.md` to `CHANGELOG.md`

**Requester Info**
@thnkslprpt 
",,https://github.com/nasa/tblCRCTool/issues/72
Uncontrolled data used in path expression,"**Describe the bug**
Accessing paths controlled by users can allow an attacker to access unexpected resources.

**Expected behavior**
Same behavior, fix warning. 

**Code snips**
https://github.com/nasa/tblCRCTool/blob/f569bf52e5e3ef3c51b59d367f8d404c05cf3180/cfe_ts_crc.c#L123

**Additional context**
From CodeQL.
May use something like `const char *filename = argv[1];`

**Reporter Info**
Ariel Adams, MCSG Tech
",,https://github.com/nasa/tblCRCTool/issues/71
"Fix #69, Remove unnecessary parentheses around return values.","**Checklist (Please check before submitting)**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
Fixes #69 
Removes parentheses in return statements in tblCRCTool that return a single value/term.
This is aligns these return statements with the predominant style of cFS.

**Testing performed**
None, prior to submission of the pull request.

**Expected behavior changes**
No impact on behavior.

**Contributor Info - All information REQUIRED for consideration of pull request**
@thnkslprpt ",CCB:Approved,https://github.com/nasa/tblCRCTool/pull/70
Scrub use of () in return statements,"**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Describe the bug**
Unnecessary parentheses around return values in tblCRCTool
Copy of https://github.com/nasa/osal/issues/866

**Reporter Info**
@thnkslprpt ",,https://github.com/nasa/tblCRCTool/issues/69
