Title,Body,Labels,URL
"Fix #157, Move function prototypes to header file","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- Fixes #157
  - Moves the function prototypes that were in `to_lab_app.c` over to the header file

**Testing performed**
GitHub CI actions all passing successfully.
Local testing with full cFS suite confirms app performance unaffected.

**Expected behavior changes**
No change to behavior.
Makes the file content more consistent with the rest of cFS.

**Contributor Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/to_lab/pull/158
Function prototypes can be moved out of `to_lab_app.c`,"**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Describe the bug**
These prototypes can/should be moved out of `to_lab_app.c` into the header file, along with the global data struct definition.

**Code snips**
https://github.com/nasa/to_lab/blob/81d85da6c3ef5b3b3109f70918f7c4f9cf3c8677/fsw/src/to_lab_app.c#L35-L72

**Expected behavior**
Consistent content of implementation/header files across cFS.

**Reporter Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/to_lab/issues/157
"Fix #155, Convert `int32` return codes and variables to `CFE_Status_t`","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- Fixes #155
  - `int32` return codes converted over to `CFE_Status_t`
  - a few `int32` `status`/`return` variables holding cFE return codes converted to `CFE_Status_t`

**Testing performed**
GitHub CI actions all passing successfully.
Local testing with full cFS suite passing all tests and showing not change to coverage.

**Expected behavior changes**
No change to behavior.
`CFE_Status_t` is more expressive and improves consistency with cFE/cFS.

**Contributor Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/to_lab/pull/156
to_lab `int32` return codes and variables should be converted to `CFE_Status_t`,"**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md).
* [x] I performed a cursory search to see if the bug report is relevant, not redundant, nor in conflict with other tickets.

**Describe the bug**
to_lab has a few return codes (as well as local `status`/`return` variables which hold CFE return codes) that can be easily converted over to the `CFE_Status_t` typedef.

**Expected behavior**
Use the more expressive `CFE_Status_t` and improve consistency with cFS.

**Reporter Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/to_lab/issues/155
to_lab Integration candidate: Caelum-rc4+dev46,"**Checklist (Please check before submitting)**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/PSP/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- PR #153. Addresses Issue #152

**Testing performed**
[cFS Bundle Checks](https://github.com/nasa/cFS/pull/668/checks)
[PSP Checks](https://github.com/nasa/to_lab/pull/154/checks)

**Expected behavior changes**
See PRs

**System(s) tested on**
Ubuntu 22.04

**Additional context**
Add any other context about the contribution here.

**Third party code**
If included, identify any third party code and provide text file of license

**Contributor Info - All information REQUIRED for consideration of pull request**
@jphickey",,https://github.com/nasa/to_lab/pull/154
"Fix #152, adjust subscription table based on apps present","**Describe the contribution**
Create an inclusion preprocessor macro for each app referred to in the subscription table, and only include that line if the app is present in the current configuration.

In particular, do not assume that sample_app will always be there.

Fixes #152

**Testing performed**
Build TO_LAB without SAMPLE_APP and confirm successful

**Expected behavior changes**
Presence of other apps is not assumed/hardcoded in the subscription table

**System(s) tested on**
Debian

**Additional context**
This should fix workflow errors where apps are built with TO_LAB but without SAMPLE_APP.

**Contributor Info - All information REQUIRED for consideration of pull request**
Joseph Hickey, Vantage Systems, Inc.
",CCB:Approved,https://github.com/nasa/to_lab/pull/153
Default/Example table assumes presence of other apps,"**Describe the bug**
The default value for the TO_LAB subscription table directly refers to `ci_lab` and `sample_app` Msg IDs, assuming these apps will be present.  This is fine for a user who is cloning the http://github.com/nasa/cFS bundle repo, because it includes these submodules.  But in other cases if these other apps are not present, the table fails to build.

This issue is now detected at configuration (CMake) time, if there is a reference to the include directories of a target that does not exist in this configuration.

**To Reproduce**
Notably, this change from compile to config time caused an unintended side effect- workflows for the other CFS apps seem to do this - it clones the CFS but modifies the `targets.cmake` configuration in such a way that it no longer includes the `sample_app`.

**Expected behavior**
Should not assume/require that `sample_app` will always be part of the config.

**Code snips**
Problematic assumption is here in the table:
https://github.com/nasa/to_lab/blob/41516d4f567e96b1ef885c84ef74c88f2e3f912c/fsw/tables/to_lab_sub.c#L52

**System observed on:**
Github workflow (see https://github.com/nasa/LC/actions/runs/4681105860/jobs/8293280167)

**Additional context**
This assumption is also true for CI_LAB and SCH_LAB, but these lab apps are still included in the workflow runs, so it doesn't cause an error at this time.  With the way that the CFS app workflow runs, it effectively replaces `sample_app` with the app under test, while leaving the rest of the default bundle config alone, hence why an assumption of  `sample_app` being present is more of an issue than the others.

**Reporter Info**
Joseph Hickey, Vantage Systems, Inc.
",,https://github.com/nasa/to_lab/issues/152
to_lab Integration candidate: Caelum-rc4+dev45,"**Checklist (Please check before submitting)**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/PSP/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- PR #150. Addresses Issue #149

**Testing performed**
[cFS Bundle Checks](https://github.com/nasa/cFS/pull/667/checks)
[PSP Checks](https://github.com/nasa/to_lab/pull/151/checks)

**Expected behavior changes**
See PRs

**System(s) tested on**
Ubuntu 22.04

**Additional context**
Add any other context about the contribution here.

**Third party code**
If included, identify any third party code and provide text file of license

**Contributor Info - All information REQUIRED for consideration of pull request**
@jphickey",,https://github.com/nasa/to_lab/pull/151
"Fix #149, update cmake recipe","**Describe the contribution**
Prefer target-scope properties over directory scope where applicable

Fixes #149

**Testing performed**
Build and run, sanity check

**Expected behavior changes**
No impact

**System(s) tested on**
Debian 

**Contributor Info - All information REQUIRED for consideration of pull request**
Joseph Hickey, Vantage Systems, Inc.
",CCB:Approved,https://github.com/nasa/to_lab/pull/150
Update cmake script to use current best practices,"**Is your feature request related to a problem? Please describe.**
Build recipes should publish the module's include directories via the `INTERFACE_INCLUDE_DIRECTORIES` in property in cmake.  This is what CFE modules do, but some of the framework apps are still using directory-scope include directories (old way).

Also, table names should match the app names they are associated with, unless there is a good reason not to.

**Describe the solution you'd like**
Change these to target-scope include directories (use `target_include_directories`, not `include_directories`)

**Additional context**
Notably this is important in order to be able to easily provide an alternative table content via the mission-provided files.

**Requester Info**
Joseph Hickey, Vantage Systems, Inc.
",,https://github.com/nasa/to_lab/issues/149
"Fix #147, Add check for failure of `CFE_EVS_Register()` during initialization","**Checklist**
* [x] I reviewed the [Contributing Guide](https://github.com/nasa/osal/blob/main/CONTRIBUTING.md).
* [x] I signed and emailed the appropriate [Contributor License Agreement](https://github.com/nasa/cFS/blob/main/CONTRIBUTING.md#contributor-license-agreement-cla) to GSFC-SoftwareRelease@mail.nasa.gov and copied cfs-program@lists.nasa.gov.

**Describe the contribution**
- Fixes #147
  - Adds checks for failure during call to `CFE_EVS_Register()` in the initialization sequence.

Recommend refactoring `TO_LAB_init()` in future to avoid the need for these early returns.

**Testing performed**
GitHub CI actions all passing successfully.
Local tests confirm builds and run fine, and cFS tests all passing.

**Expected behavior changes**
Use will be informed of failure of `CFE_EVS_Register()` rather than it failing silently.

**System(s) tested on**
Debian GNU/Linux 11 (bullseye)
Current main branch of cFS bundle.

**Contributor Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/to_lab/pull/148
No notification of failure of `CFE_EVS_Register()` in `TO_LAB_init()`,"**Describe the bug**
to_lab currently has no notification of a failure of `CFE_EVS_Register()` in `TO_LAB_init()`

**Code snips**
https://github.com/nasa/to_lab/blob/7ca124c7e9d4a4086714525e3db2869a7da059b1/fsw/src/to_lab_app.c#L146-L156

**Expected behavior**
Add `CFE_ES_WriteToSysLog()` to inform the user of failure to register with EVS.

**Reporter Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/to_lab/issues/147
"Fix #145, Refactor mutually exclusive logic in if, else if block","**Describe the contribution**
- Fixes #145 
  - Simplified `if`/`else if` block.

**Testing performed**
GitHub CI actions (incl. Build + Run, Unit Tests etc.) all passing successfully.

**Expected behavior changes**
No change to logic.

**Contributor Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/to_lab/pull/146
Refactor mutually exclusive if in TO_LAB_init(),"**Describe the bug**
Mutually exclusive logic in this `if`, `else if`, and also no final `else` clause which I believe is frowned upon in the coding guidelines.

**Code snips**
https://github.com/nasa/to_lab/blob/7ca124c7e9d4a4086714525e3db2869a7da059b1/fsw/src/to_lab_app.c#L203-L215

**Expected behavior**
Refactor into a simpler `if`, `else` block.

**Reporter Info**
Avi Weiss @thnkslprpt",,https://github.com/nasa/to_lab/issues/145
"HotFix #142, correct errors with whitespace application","**Describe the contribution**
Corrects errors from PR 142 where return and break appear to have been inadvertently removed

**Testing performed**
Run all tests

**Expected behavior changes**
Fixes regression from previous PR

**Contributor Info - All information REQUIRED for consideration of pull request**
Joseph Hickey, Vantage Systems, Inc.
",CCB:Approved,https://github.com/nasa/to_lab/pull/144
